layer,auc,balacc
0,0.8254305891169995,0.7576481058487379
1,0.8349419865374602,0.7545400941771622
2,0.847266575373416,0.7793904109022878
3,0.8574309858844469,0.776210760663814
4,0.8490410075688901,0.7789605795008996
5,0.8603488798207933,0.7837300548586102
6,0.8687361028068543,0.7866162625057518
7,0.8757181077499152,0.792753758958265
8,0.8894313826518945,0.813049516026374
9,0.8816117575420257,0.794916692612686
10,0.8811957027881179,0.7997578065372948
11,0.8996646764003273,0.8315474205982922
12,0.9102837162782111,0.8377565556177036
13,0.9044644603824947,0.8264197524060914
14,0.9048502065119458,0.8234550178683118
15,0.9085258160597135,0.8280095775253284
16,0.917643201362235,0.8440442175277532
17,0.9219883559775496,0.8449824072211676
18,0.9206850851259049,0.8442591332284471
19,0.9248566539829666,0.8526380902260198
20,0.9326377044798901,0.858703948111635
21,0.934723488908421,0.8595773875618915
22,0.9259091898504682,0.8412943986906674
23,0.9232558075457453,0.8394180193038385
24,0.914003411097916,0.8299575954790555
25,0.9192412924699601,0.8476536991676149
26,0.9144580404647691,0.8274226923426637
27,0.9116531150377618,0.8430275009437004
28,0.9127855554606499,0.8347201825130258
29,0.9093882341919859,0.8223735510411012
30,0.9146812221539512,0.8373914744594733
31,0.9060239768772748,0.8373198358925752
32,0.89452047623115,0.8196168438802754
