target,n,model,pearson_r,pearson_lo,pearson_hi,ccc_recomputed,r2_recomputed,rho_recomputed,null_pearson_mean,null_pearson_p95,perm_p_pearson,n_perm
PHQ8_1_NoInterest,275,demo,-0.087,-0.204,0.033,-0.008,-0.011,-0.071,-0.102,0.022,0.3134,200
PHQ8_1_NoInterest,275,acou,-0.092,-0.193,0.004,-0.013,-0.017,-0.116,-0.083,0.061,0.4677,200
PHQ8_1_NoInterest,275,demo+acou,-0.088,-0.187,0.007,-0.012,-0.016,-0.118,-0.082,0.06,0.4577,200
PHQ8_1_NoInterest,275,enc,0.219,0.1,0.33,0.125,0.04,0.217,-0.034,0.096,0.01,200
PHQ8_1_NoInterest,275,demo+enc,0.22,0.105,0.33,0.125,0.04,0.218,-0.034,0.097,0.01,200
PHQ8_2_Depressed,275,demo,-0.116,-0.231,-0.003,-0.01,-0.012,-0.079,-0.097,0.051,0.5274,200
PHQ8_2_Depressed,275,acou,-0.201,-0.312,-0.085,-0.015,-0.017,-0.196,-0.084,0.076,0.9403,200
PHQ8_2_Depressed,275,demo+acou,-0.199,-0.305,-0.082,-0.015,-0.017,-0.195,-0.084,0.064,0.9453,200
PHQ8_2_Depressed,275,enc,0.171,0.046,0.289,0.092,0.014,0.129,-0.034,0.093,0.005,200
PHQ8_2_Depressed,275,demo+enc,0.171,0.042,0.289,0.092,0.014,0.128,-0.033,0.093,0.005,200
PHQ8_3_Sleep,275,demo,-0.083,-0.201,0.034,-0.003,-0.004,-0.063,-0.106,0.017,0.3085,200
PHQ8_3_Sleep,275,acou,-0.213,-0.312,-0.107,-0.027,-0.031,-0.145,-0.092,0.068,0.9453,200
PHQ8_3_Sleep,275,demo+acou,-0.213,-0.303,-0.107,-0.027,-0.031,-0.143,-0.092,0.053,0.9552,200
PHQ8_3_Sleep,275,enc,0.092,-0.024,0.207,0.044,-0.019,0.077,-0.039,0.089,0.0547,200
PHQ8_3_Sleep,275,demo+enc,0.085,-0.032,0.201,0.039,-0.017,0.073,-0.039,0.083,0.0547,200
PHQ8_4_Tired,275,demo,-0.077,-0.2,0.05,-0.007,-0.01,-0.028,-0.1,0.034,0.2836,200
PHQ8_4_Tired,275,acou,-0.194,-0.308,-0.079,-0.011,-0.012,-0.171,-0.089,0.045,0.8905,200
PHQ8_4_Tired,275,demo+acou,-0.188,-0.299,-0.066,-0.011,-0.012,-0.164,-0.089,0.043,0.8856,200
PHQ8_4_Tired,275,enc,0.156,0.034,0.278,0.065,0.02,0.183,-0.04,0.071,0.005,200
PHQ8_4_Tired,275,demo+enc,0.156,0.037,0.268,0.066,0.02,0.183,-0.04,0.071,0.005,200
PHQ8_5_Appetite,275,demo,0.007,-0.104,0.116,0.001,-0.005,0.034,-0.104,0.044,0.0746,200
PHQ8_5_Appetite,275,acou,-0.11,-0.205,-0.005,-0.008,-0.01,-0.1,-0.091,0.063,0.5473,200
PHQ8_5_Appetite,275,demo+acou,-0.101,-0.201,0.005,-0.008,-0.009,-0.088,-0.092,0.053,0.5274,200
PHQ8_5_Appetite,275,enc,0.28,0.165,0.382,0.167,0.076,0.246,-0.036,0.098,0.005,200
PHQ8_5_Appetite,275,demo+enc,0.281,0.171,0.387,0.167,0.076,0.246,-0.036,0.099,0.005,200
PHQ8_6_Failure,275,demo,-0.184,-0.289,-0.072,-0.018,-0.02,-0.154,-0.096,0.044,0.9353,200
PHQ8_6_Failure,275,acou,-0.167,-0.268,-0.062,-0.019,-0.023,-0.163,-0.086,0.068,0.806,200
PHQ8_6_Failure,275,demo+acou,-0.17,-0.27,-0.067,-0.02,-0.024,-0.167,-0.085,0.072,0.8159,200
PHQ8_6_Failure,275,enc,0.271,0.141,0.383,0.19,0.055,0.254,-0.037,0.111,0.005,200
PHQ8_6_Failure,275,demo+enc,0.27,0.146,0.382,0.189,0.054,0.252,-0.037,0.11,0.005,200
PHQ8_7_Concentration,275,demo,-0.14,-0.262,-0.018,-0.009,-0.01,-0.117,-0.101,0.042,0.7363,200
PHQ8_7_Concentration,275,acou,-0.148,-0.271,-0.016,-0.016,-0.019,-0.067,-0.091,0.033,0.7761,200
PHQ8_7_Concentration,275,demo+acou,-0.149,-0.269,-0.019,-0.016,-0.019,-0.066,-0.09,0.035,0.7861,200
PHQ8_7_Concentration,275,enc,0.131,0.012,0.25,0.079,-0.025,0.162,-0.032,0.099,0.0299,200
PHQ8_7_Concentration,275,demo+enc,0.131,0.013,0.246,0.079,-0.025,0.162,-0.032,0.099,0.0299,200
PHQ8_8_Psychomotor,275,demo,-0.08,-0.194,0.028,-0.003,-0.004,-0.092,-0.096,0.03,0.2985,200
PHQ8_8_Psychomotor,275,acou,-0.1,-0.196,-0.007,-0.01,-0.013,-0.099,-0.072,0.069,0.5821,200
PHQ8_8_Psychomotor,275,demo+acou,-0.107,-0.21,-0.012,-0.011,-0.014,-0.11,-0.073,0.061,0.6219,200
PHQ8_8_Psychomotor,275,enc,0.098,-0.026,0.225,0.038,-0.0,0.106,-0.039,0.077,0.0398,200
PHQ8_8_Psychomotor,275,demo+enc,0.098,-0.024,0.218,0.038,-0.0,0.106,-0.039,0.078,0.0398,200
Depression_severity,275,demo,-0.099,-0.222,0.016,-0.006,-0.007,-0.083,-0.101,0.034,0.403,200
Depression_severity,275,acou,-0.15,-0.268,-0.031,-0.01,-0.011,-0.105,-0.087,0.044,0.7612,200
Depression_severity,275,demo+acou,-0.147,-0.257,-0.026,-0.01,-0.011,-0.105,-0.087,0.046,0.7662,200
Depression_severity,275,enc,0.282,0.165,0.394,0.213,0.049,0.29,-0.038,0.082,0.005,200
Depression_severity,275,demo+enc,0.282,0.176,0.388,0.213,0.049,0.29,-0.037,0.082,0.005,200
PTSD_severity,273,demo,-0.179,-0.302,-0.063,-0.016,-0.018,-0.148,-0.097,0.019,0.9154,200
PTSD_severity,273,acou,-0.203,-0.318,-0.09,-0.018,-0.021,-0.134,-0.091,0.073,0.9502,200
PTSD_severity,273,demo+acou,-0.205,-0.316,-0.082,-0.019,-0.021,-0.135,-0.091,0.064,0.9602,200
PTSD_severity,273,enc,0.082,-0.059,0.216,0.048,-0.053,0.108,-0.036,0.089,0.0746,200
