measure,subset,task,n,n_pd,n_hc,auc,ci_lo,ci_hi,perm_null_mean,perm_null_p95,perm_p,n_perm,layer_mode,layer_spread,best_single_layer,best_single_layer_auc,layer_curve,n_clips,speaker_auc,speaker_ci_lo,speaker_ci_hi,mean_wer_pd,mean_wer_hc,mannwhitney_p,n_draws,matched_auc,frac_random_below_matched
encoder,FULL,read,107,52,55,0.949,0.9053,0.9821,0.4928,0.6158,0.001,1000.0,20.0,5.39,26.0,0.9682,0.8769;0.8825;0.9028;0.9024;0.9014;0.9241;0.9077;0.9297;0.9294;0.9304;0.928;0.9378;0.9364;0.942;0.9469;0.928;0.9514;0.949;0.9601;0.9549;0.9612;0.9497;0.9542;0.9619;0.9622;0.9448;0.9682;0.9636;0.9427;0.9528;0.949;0.9325;0.9318,,,,,,,,,,
encoder,FULL,vowel,107,52,55,0.8752,0.7998,0.9394,0.4927,0.6067,0.001,1000.0,21.0,7.13,21.0,0.9038,0.7545;0.8811;0.8329;0.8168;0.8503;0.8315;0.8227;0.8755;0.8713;0.8811;0.8619;0.8584;0.8738;0.8416;0.8339;0.8507;0.8308;0.8745;0.8549;0.8682;0.8951;0.9038;0.8689;0.7927;0.8696;0.8629;0.8465;0.8339;0.8203;0.8395;0.8297;0.8479;0.8077,,,,,,,,,,
encoder,FULL,ddk,108,53,55,0.953,0.9047,0.9876,0.4883,0.6062,0.001,1000.0,22.0,7.03,31.0,0.9561,0.8233;0.9094;0.8899;0.8758;0.905;0.9132;0.9221;0.9314;0.9225;0.9262;0.9328;0.9259;0.9166;0.9132;0.9256;0.9252;0.9386;0.941;0.9479;0.9523;0.9352;0.9383;0.9547;0.9304;0.942;0.9293;0.9427;0.9365;0.9413;0.9286;0.9389;0.9561;0.9472,,,,,,,,,,
encoder,FULL,all,108,53,55,0.9564,0.9074,0.9911,0.492,0.6162,0.001,1000.0,19.0,3.8,16.0,0.9588,0.813;0.8645;0.8847;0.884;0.8864;0.9098;0.9156;0.9341;0.916;0.9077;0.9413;0.9314;0.9355;0.9338;0.9544;0.9513;0.9588;0.9516;0.9461;0.9509;0.9509;0.9527;0.9468;0.9533;0.9424;0.9523;0.9527;0.9571;0.9551;0.9458;0.9417;0.9348;0.9365,,,,,,,,,,
encoder,MATCH_AGE,read,79,39,40,0.9064,0.8378,0.9636,0.4897,0.6379,0.001,1000.0,20.0,5.59,20.0,0.9359,0.7917;0.8128;0.8109;0.8404;0.8199;0.8474;0.8449;0.8282;0.8385;0.8699;0.8891;0.8917;0.9115;0.8878;0.8872;0.8936;0.9013;0.9064;0.9006;0.9269;0.9359;0.9353;0.934;0.9141;0.891;0.8936;0.9321;0.9135;0.8891;0.9276;0.9147;0.8724;0.8821,,,,,,,,,,
encoder,MATCH_AGE,vowel,79,39,40,0.7981,0.6938,0.8898,0.4909,0.6321,0.002,1000.0,25.0,5.48,20.0,0.8494,0.6622;0.7404;0.759;0.7442;0.7333;0.6558;0.6853;0.7551;0.7545;0.7596;0.7147;0.7442;0.691;0.7051;0.7327;0.7378;0.741;0.7724;0.7756;0.8212;0.8494;0.8115;0.8423;0.7987;0.8071;0.8237;0.8224;0.7692;0.7596;0.7526;0.7705;0.7487;0.7353,,,,,,,,,,
encoder,MATCH_AGE,ddk,80,40,40,0.9031,0.8286,0.9616,0.4933,0.6319,0.001,1000.0,22.0,7.19,32.0,0.9381,0.7169;0.8612;0.85;0.7987;0.84;0.8313;0.8413;0.8631;0.8363;0.8775;0.9038;0.8969;0.8856;0.8906;0.8775;0.8912;0.8981;0.885;0.89;0.91;0.9031;0.9038;0.9094;0.905;0.8862;0.8794;0.8925;0.8994;0.8619;0.8894;0.9056;0.9281;0.9381,,,,,,,,,,
encoder,MATCH_AGE,all,80,40,40,0.9219,0.8492,0.9792,0.4923,0.6326,0.001,1000.0,20.0,3.93,16.0,0.9437,0.71;0.795;0.8181;0.8275;0.8337;0.8562;0.8662;0.88;0.8612;0.8575;0.8725;0.8638;0.8788;0.9163;0.9306;0.9263;0.9437;0.9313;0.9213;0.9325;0.9256;0.925;0.93;0.91;0.93;0.9163;0.9231;0.9375;0.9231;0.9313;0.9275;0.9062;0.9,,,,,,,,,,
encoder,MATCH_AGE_SEX,read,73,36,37,0.9354,0.8689,0.9837,0.4891,0.6367,0.001,1000.0,19.0,5.51,29.0,0.9302,0.783;0.8221;0.8686;0.8491;0.8724;0.8874;0.8679;0.8679;0.8896;0.8671;0.9084;0.9024;0.9189;0.8949;0.8844;0.8844;0.9084;0.9249;0.8956;0.9294;0.9144;0.9099;0.9257;0.9182;0.9189;0.9069;0.9047;0.9159;0.8911;0.9302;0.9189;0.8866;0.9129,,,,,,,,,,
encoder,MATCH_AGE_SEX,vowel,73,36,37,0.7875,0.6759,0.8894,0.4899,0.6299,0.001,1000.0,25.0,9.16,25.0,0.8273,0.6389;0.8011;0.711;0.7365;0.792;0.7252;0.7568;0.7598;0.7965;0.753;0.7312;0.7913;0.7222;0.759;0.7387;0.7417;0.6922;0.7275;0.7192;0.6974;0.7628;0.792;0.7252;0.7447;0.7898;0.8273;0.7883;0.7973;0.8108;0.762;0.774;0.7553;0.714,,,,,,,,,,
encoder,MATCH_AGE_SEX,ddk,74,37,37,0.943,0.877,0.9894,0.4924,0.6333,0.001,1000.0,22.0,7.57,22.0,0.9445,0.7743;0.8393;0.8517;0.8473;0.8598;0.8101;0.8912;0.9138;0.8904;0.9007;0.9116;0.9167;0.8963;0.9233;0.8985;0.916;0.9131;0.8839;0.8992;0.8904;0.9058;0.9109;0.9445;0.9357;0.9211;0.9138;0.935;0.8963;0.908;0.9306;0.9379;0.9153;0.9335,,,,,,,,,,
encoder,MATCH_AGE_SEX,all,74,37,37,0.9175,0.8385,0.9757,0.4908,0.629,0.001,1000.0,19.0,4.46,17.0,0.9474,0.664;0.8349;0.8576;0.8641;0.8532;0.8729;0.8539;0.8809;0.8846;0.8795;0.8802;0.8802;0.878;0.9196;0.9036;0.9226;0.9182;0.9474;0.9284;0.9394;0.924;0.9211;0.9182;0.9196;0.9218;0.9211;0.935;0.9233;0.9291;0.9131;0.9094;0.8977;0.9116,,,,,,,,,,
silence_env,FULL,ALL,107,52,55,0.7239,0.6172,0.8231,0.4946,0.5836,0.002,500.0,,,,,,992.0,0.8024,0.7118,0.8823,,,,,,
silence_env,FULL,read,105,50,55,0.7401,0.6337,0.8425,0.4916,0.5916,0.002,500.0,,,,,,641.0,0.8131,0.7223,0.8916,,,,,,
silence_env,FULL,ddk,98,43,55,0.6944,0.5951,0.7911,0.4936,0.6038,0.00399,500.0,,,,,,337.0,0.7708,0.6705,0.8615,,,,,,
silence_env,MATCH_AGE,ALL,80,40,40,0.5795,0.4542,0.7109,0.4931,0.6068,0.12774,500.0,,,,,,736.0,0.6831,0.5603,0.8024,,,,,,
silence_env,MATCH_AGE,read,78,38,40,0.6067,0.4747,0.7466,0.4901,0.6111,0.06387,500.0,,,,,,472.0,0.6842,0.5586,0.8007,,,,,,
silence_env,MATCH_AGE,ddk,75,35,40,0.5928,0.4771,0.7115,0.4911,0.6054,0.07385,500.0,,,,,,254.0,0.7071,0.5814,0.8265,,,,,,
silence_env,MATCH_AGE_SEX,ALL,73,36,37,0.5929,0.4685,0.7258,0.4901,0.6067,0.08982,500.0,,,,,,670.0,0.7012,0.5743,0.8168,,,,,,
silence_env,MATCH_AGE_SEX,read,71,34,37,0.5645,0.4243,0.7117,0.4892,0.6281,0.18762,500.0,,,,,,430.0,0.6423,0.4968,0.7774,,,,,,
silence_env,MATCH_AGE_SEX,ddk,69,32,37,0.5209,0.4119,0.6362,0.491,0.6158,0.37924,500.0,,,,,,230.0,0.6081,0.4739,0.7371,,,,,,
wer_read,FULL,read,89,44,45,0.6755,0.5648,0.7806,0.4993,0.5982,0.0014,5000.0,,,,,,,,,,0.0599,0.0192,0.00329,,,
wer_read,MATCH_AGE,read,72,38,34,0.6378,0.5102,0.7595,0.5001,0.6142,0.021,5000.0,,,,,,,,,,0.0569,0.0228,0.03897,,,
wer_read,MATCH_AGE_SEX,read,68,36,32,0.6302,0.4978,0.755,0.5007,0.6111,0.02699,5000.0,,,,,,,,,,0.058,0.0231,0.05774,,,
encoder,SIZE_CTRL_random,read,80,40,40,0.939,0.8973,0.9781,,,,,,,,,,,,,,,,,50.0,0.9064,0.1
encoder,SIZE_CTRL_random,vowel,80,40,40,0.831,0.7656,0.9116,,,,,,,,,,,,,,,,,50.0,0.7981,0.16
encoder,SIZE_CTRL_random,ddk,80,40,40,0.9326,0.8951,0.9766,,,,,,,,,,,,,,,,,50.0,0.9031,0.12
encoder,SIZE_CTRL_random,all,80,40,40,0.9442,0.9145,0.9742,,,,,,,,,,,,,,,,,50.0,0.9219,0.12
silence_env,SIZE_CTRL_random,ALL,80,40,40,0.7126,0.6241,0.7784,,,,,,,,,,,,,,,,,50.0,0.5795,0.0
silence_env,SIZE_CTRL_random,read,80,40,40,0.7174,0.6187,0.8102,,,,,,,,,,,,,,,,,50.0,0.6067,0.02
wer_read,SIZE_CTRL_random,read,80,40,40,0.672,0.6377,0.7025,,,,,,,,,,,,,,,,,200.0,0.6378,0.025
