layer,auc,balacc
0,0.7884068718329007,0.7186941719755958
1,0.8584397928113168,0.793052887046213
2,0.8697205649374726,0.8044741070325052
3,0.875046347793845,0.8042493904562871
4,0.8763047606206671,0.8165694767474523
5,0.8894282086718126,0.8179121582903564
6,0.8932034471522792,0.8176930596285436
7,0.9017202053909508,0.8273221649194953
8,0.9018100920214379,0.8394175346344424
9,0.9065853192660757,0.8270974483432771
10,0.9119111021224481,0.8418837990584376
11,0.910259435287244,0.8257547668003731
12,0.916652621880653,0.8376254199391018
13,0.9181694587701261,0.8472545252300536
14,0.9087987775418254,0.8456871271109314
15,0.9148885967573398,0.8421028977202503
16,0.918057100482017,0.842777047448905
17,0.928180582240649,0.8537544521971663
18,0.9299333715351513,0.8568892484354108
19,0.9496859585847349,0.8748047774744103
20,0.941101785373198,0.8546420826732284
21,0.9462477949685959,0.8707654970168874
22,0.9446747789350681,0.8597937101830317
23,0.935607465084662,0.850608420130111
24,0.9304951629756969,0.8459062257727441
25,0.9342029864832979,0.8427714295344997
26,0.9464725115448143,0.8696475320502017
27,0.9310794260738643,0.8273221649194953
28,0.9198548330917631,0.8199289895619151
29,0.9266749811799867,0.8450129773822765
30,0.9170571117178458,0.8369512702104471
31,0.9252143234345682,0.8452376939584949
32,0.9177312614465006,0.8423276142964686
