orig,norm,speaker_id,lufs_before,lufs_after_crop,gain_db,lufs_out,peak_out,dur_before,dur_after
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_ABLANDADA_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_ABLANDADA_0034.wav,34,-36.29920181404607,-36.29922405134711,13.29922405134711,-23.0,0.45010856082851564,2.245,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_PIDIO_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_PIDIO_0034.wav,34,-34.557211083913856,-35.36027524789259,12.360275247892588,-22.999999999999996,0.438394536723081,4.1866875,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_BURRO_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_BURRO_0034.wav,34,-33.44169890143905,-32.93075243394443,9.930752433944427,-22.999999999999986,0.48564011137233465,2.136,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_GANGA_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_GANGA_0034.wav,34,-35.75481632321551,-36.11952838075706,13.11952838075706,-22.999999999999996,0.3974839914994225,1.913,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_MANGA_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_MANGA_0034.wav,34,-30.454996809616144,-29.073067488103888,6.073067488103888,-23.0,0.3557754700746295,2.015,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_PERRO_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_PERRO_0034.wav,34,-34.9691327877474,-34.98251622056863,11.982516220568627,-23.000000000000004,0.5146999429950497,1.92525,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_SOMBRA_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_SOMBRA_0034.wav,34,-34.07670293906979,-37.584463288771225,14.584463288771225,-23.0,0.4119848545460218,3.884,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_BARBAS_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_BARBAS_0034.wav,34,-33.82913207940465,-37.480127959840004,14.480127959840004,-22.999999999999986,0.4132457128664615,4.688875,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_DIABLO_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_DIABLO_0034.wav,34,-32.27507697847167,-34.22379761133993,11.223797611339933,-22.999999999999996,0.47125949864802386,4.0485625,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_TOMAS_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_TOMAS_0034.wav,34,-31.548025280005987,-31.31605026906793,8.31605026906793,-23.0,0.43729551750515594,1.6626875,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_CARMEN_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_CARMEN_0034.wav,34,-34.031253064698625,-33.10478245882366,10.104782458823657,-23.00000000000001,0.3877589467230857,2.356375,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_CALLE_0034.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_CALLE_0034.wav,34,-33.086010602178604,-34.93154515131132,11.931545151311319,-22.999999999999996,0.4681682794380913,2.7819375,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_PIDIO_0036.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_PIDIO_0036.wav,36,-37.40617084259511,-36.56042610435125,13.56042610435125,-23.0,0.39618471862501425,3.209,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_DIABLO_0036.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_DIABLO_0036.wav,36,-34.165731057627184,-36.42463789741841,13.424637897418407,-23.0,0.6219261886259768,3.63475,1.5626875
/project2/msoleyma_946/speech_health/spanish_neurovoz/zenodo_upload/audios/HC_ABLANDADA_0036.wav,/scratch1/parwatka/norm_audio/neurovoz_read/HC_ABLANDADA_0036.wav,36,-36.026423994879394,-35.41246090043654,12.412460900436542,-23.0,0.3875473673551487,2.93125,1.5626875
