layer,auc,balacc
0,0.8149024751124864,0.7528069919241293
1,0.848506473646651,0.7771489503572284
2,0.8539482494014047,0.7837231665348701
3,0.8572711767736746,0.7887791961601729
4,0.8617210339098402,0.7879842836005544
5,0.87022122540524,0.8010610773889395
6,0.8748005830277213,0.8001228876955251
7,0.8786001824028126,0.7877693678998603
8,0.8890015512505063,0.8114596909071371
9,0.8845709814208133,0.8027941796419724
10,0.8874365240967342,0.8144244254449169
11,0.8993643454852549,0.819917174795348
12,0.9087131784654469,0.8292343214863349
13,0.9026101236316345,0.8205688102211703
14,0.9092587337056702,0.8284394089267165
15,0.9149815530690238,0.8404347358878912
16,0.9197592944152225,0.8416594798488978
17,0.9200375826943265,0.8441874946615491
18,0.9211094058683007,0.849458439987546
19,0.9235644044493061,0.847725337734513
20,0.9329958973143804,0.8563192104327797
21,0.9343928493688919,0.856899207291704
22,0.9231290623889257,0.8460638740483781
23,0.9184339809276093,0.8317623362989863
24,0.9019350679050953,0.8208553644887624
25,0.9081014953173175,0.8343619896785357
26,0.9099916513516269,0.8207051990312262
27,0.9053020805493024,0.8329154416930948
28,0.9050072602932222,0.8227317438755913
29,0.9034615204459225,0.8227317438755913
30,0.9029049438877149,0.8155775308390254
31,0.8953415644209813,0.8092182303620779
32,0.8862655090609011,0.807413489542147
