dataset,featset,task,target,perm_p,perm_p_sharp,q_fdr
neurovoz,qwen2_enc,read,updrs,0.0082644628099173,0.0005,0.02325
neurovoz,qwen2_enc,read,hy,0.1074380165289256,0.02099,0.10704009207749837
neurovoz,qwen2_enc,read,time_dx,0.0165289256198347,0.006997,0.05915645454545455
neurovoz,qwen2_enc,vowel,updrs,0.1239669421487603,0.1239669421487603,0.2681145492984816
neurovoz,qwen2_enc,vowel,hy,0.9090909090909092,0.9090909090909092,0.9506179605930228
neurovoz,qwen2_enc,vowel,time_dx,0.975206611570248,0.975206611570248,0.9858066834351421
neurovoz,qwen2_enc,all,updrs,0.0082644628099173,0.001499,0.03485175
neurovoz,qwen2_enc,all,hy,0.1157024793388429,0.1157024793388429,0.26585974089167325
neurovoz,qwen2_enc,all,time_dx,0.0165289256198347,0.0165289256198347,0.10704009207749837
neurovoz,interp_core,read,updrs,0.256857855361596,0.256857855361596,0.4969718560741004
neurovoz,interp_core,read,hy,0.5910224438902744,0.5910224438902744,0.796595467852109
neurovoz,interp_core,read,time_dx,0.027431421446384,0.027431421446384,0.10704009207749837
neurovoz,interp_core,vowel,updrs,0.4064837905236907,0.4064837905236907,0.6517757330810903
neurovoz,interp_core,vowel,hy,0.1770573566084788,0.1770573566084788,0.35034753541677716
neurovoz,interp_core,vowel,time_dx,0.9875311720698254,0.9875311720698254,0.9875311720698254
neurovoz,interp_core,ddk,updrs,0.1172069825436409,0.1172069825436409,0.26585974089167325
neurovoz,interp_core,ddk,hy,0.8977556109725686,0.8977556109725686,0.9506179605930228
neurovoz,interp_core,ddk,time_dx,0.1596009975062344,0.1596009975062344,0.32267158191477824
neurovoz,interp_core,all,updrs,0.6733167082294265,0.6733167082294265,0.8239270245439034
neurovoz,interp_core,all,hy,0.5361596009975063,0.5361596009975063,0.7572921730675742
neurovoz,interp_core,all,time_dx,0.0249376558603491,0.0249376558603491,0.10704009207749837
neurovoz,interp_mfcc,read,updrs,0.2618453865336658,0.2618453865336658,0.4969718560741004
neurovoz,interp_mfcc,read,hy,0.6184538653366584,0.6184538653366584,0.8133091927714958
neurovoz,interp_mfcc,read,time_dx,0.0174563591022443,0.0174563591022443,0.10704009207749837
