layer,auc,balacc
0,0.8442965642670875,0.7566266943569817
1,0.8402670775552132,0.7619153956663168
2,0.8467480007642131,0.7720697518044608
3,0.8556530671490141,0.7829250500584326
4,0.8671286681603556,0.7940235069932933
5,0.8824526274784197,0.8034074471067839
6,0.8852613583637903,0.7969314863198429
7,0.8835617288085968,0.7905249994417276
8,0.8904545330484903,0.805017753064916
9,0.901977277069392,0.8231889020393073
10,0.901428929431877,0.8193368219160408
11,0.9107930198571318,0.8344957807006443
12,0.923747422642043,0.8375079708904323
13,0.9215490696699246,0.8367722918201916
14,0.9209287669125547,0.8334822059951021
15,0.9184153001396922,0.8358976649323002
16,0.931191055730481,0.8483632691444041
17,0.935964905751199,0.8515144071518427
18,0.942229963600634,0.8617035002443992
19,0.9399621367196902,0.8634180170657695
20,0.9449047090904128,0.8663954703011445
21,0.9447657612727619,0.8767929851201774
22,0.9462222321470664,0.8754258378429344
23,0.9399919112520438,0.8617035002443992
24,0.9494850246508315,0.8681099871225147
25,0.9467606549404635,0.8713653359931915
26,0.9443017748102495,0.8722052259266704
27,0.9342032459202687,0.8548044929769322
28,0.938366718027735,0.8604405638303944
29,0.9280051807686296,0.8554706981383473
30,0.9425698895116729,0.8714000729476044
31,0.9215068890824233,0.8421999409471774
32,0.917110183138186,0.8452816050457908
