layer,auc,balacc
0,0.8702040816326531,0.8081632653061225
1,0.8914285714285715,0.7777551020408163
2,0.8767346938775511,0.7675510204081633
3,0.8885714285714286,0.7979591836734694
4,0.917142857142857,0.8281632653061224
5,0.9195918367346939,0.8179591836734694
6,0.9289795918367347,0.8279591836734694
7,0.9224489795918367,0.8181632653061224
8,0.9073469387755102,0.8281632653061224
9,0.9175510204081633,0.8383673469387756
10,0.9355102040816327,0.8685714285714285
11,0.9261224489795918,0.8585714285714285
12,0.9363265306122449,0.8583673469387756
13,0.9346938775510204,0.8685714285714285
14,0.9253061224489797,0.8787755102040816
15,0.9322448979591837,0.8585714285714285
16,0.9183673469387754,0.8683673469387756
17,0.9253061224489796,0.8681632653061224
18,0.9163265306122449,0.8277551020408163
19,0.9371428571428573,0.8279591836734694
20,0.959591836734694,0.8581632653061224
21,0.9477551020408164,0.8683673469387756
22,0.9085714285714286,0.8179591836734694
23,0.8987755102040816,0.8181632653061224
24,0.8938775510204081,0.8383673469387756
25,0.9024489795918367,0.8281632653061224
26,0.9036734693877551,0.8181632653061224
27,0.9187755102040817,0.8283673469387756
28,0.9085714285714286,0.8383673469387756
29,0.9130612244897959,0.8181632653061224
30,0.8975510204081633,0.8283673469387756
31,0.9089795918367347,0.8285714285714285
32,0.9106122448979591,0.8483673469387756
