pid,speaker,fold,seed,p_yes,p_yes_set,answer_mass,p_yes_tok,p_no_tok,top1_id,top1_p,audio_tok,dur_s,seq_len
304,304,0,1,0.019271135330200195,0.03754726429969739,0.9858411774039268,7.113363835742348e-07,3.620066854637116e-05,2753,0.9035418629646301,22500,900.0,22548
309,309,0,1,0.8056321740150452,0.9050725307434462,0.9962756112217903,1.785061613190919e-05,4.306661594455363e-06,9454,0.8587971925735474,4817,192.7,4865
314,314,0,1,0.01374232117086649,0.03964529944029101,0.9290546365082264,4.961316903973056e-07,3.5606335586635396e-05,2753,0.88870769739151,22500,900.0,22548
319,319,0,1,0.8688268065452576,0.9467892732076136,0.978511668741703,1.8443653971189633e-05,2.784575144687551e-06,9454,0.860028088092804,22500,900.0,22548
324,324,0,1,0.025565212592482567,0.03746984817464858,0.9977289475500584,1.1397734169804608e-06,4.344321132521145e-05,2753,0.898924708366394,6893,275.7001,6941
329,329,0,1,0.029760094359517097,0.03962940177402074,0.9982426539063454,1.0497171842871467e-06,3.422292502364144e-05,2753,0.8812932372093201,9135,365.4,9183
334,334,0,1,0.018833130598068237,0.03503482129716798,0.9885297231376171,7.369903300968872e-07,3.839566488750279e-05,2753,0.9288426041603088,22500,900.0,22548
339,339,0,1,0.12421300262212753,0.25634032403537,0.9945899248123169,4.867491043114569e-06,3.431915683904663e-05,2753,0.7101302146911621,11087,443.5,11135
345,345,0,1,0.970687747001648,0.986995126576221,0.9916194109246135,2.0544817743939348e-05,6.203997031661856e-07,9454,0.8999627828598022,22500,900.0,22548
350,350,0,1,0.8705973029136658,0.9437337167623596,0.992190383374691,1.5043773601064458e-05,2.2360570710588945e-06,9454,0.873020350933075,22500,900.0,22548
355,355,0,1,0.28140559792518616,0.4786840865373966,0.9956079721450806,1.1173259736096952e-05,2.853191654139664e-05,2753,0.4894430339336395,8957,358.3,9005
360,360,0,1,0.10669060051441193,0.19118552038392242,0.996104821562767,5.385571967053693e-06,4.5092841901350766e-05,2753,0.7735329270362854,5457,218.3,5505
365,365,0,1,0.8104788661003113,0.9046146008882697,0.9940686523914337,1.7255590137210675e-05,4.0350196286453865e-06,9454,0.8565227389335632,17952,718.1001,18000
370,370,0,1,0.01065251138061285,0.02754763172514133,0.9838938564062119,4.2308482761654886e-07,3.9293830923270434e-05,2753,0.9505704045295715,21232,849.3001,21280
375,375,0,1,0.020645931363105774,0.027740270785733996,0.998910391703248,4.737811138966208e-07,2.2474136130767874e-05,2753,0.9541870951652527,4427,177.1,4475
380,380,0,1,0.027169233188033104,0.09013133880492,0.9598566964268684,1.758779490046436e-06,6.297545769484714e-05,2753,0.8680416941642761,22500,900.0,22548
385,385,0,1,0.05033063143491745,0.08067352967631883,0.9977908879518509,2.0396814761625137e-06,3.848596315947361e-05,2753,0.9023823738098145,2008,80.3001,2056
390,390,0,1,0.6959583163261414,0.8511957876481958,0.9956596940755844,1.6114678146550432e-05,7.039981483103475e-06,9454,0.7752807140350342,14245,569.8,14293
396,396,0,1,0.03358950465917587,0.07124171159510018,0.9964552372694016,1.6163502323252033e-06,4.650433766073547e-05,2753,0.9039646983146667,9742,389.7,9790
402,402,0,1,0.3849121630191803,0.4969423652886058,0.9962309300899506,1.3202010450186208e-05,2.1096753698657267e-05,2753,0.4503899812698364,11575,462.9999,11623
407,407,0,1,0.05184547230601311,0.11919112713763697,0.9849811941385269,1.929508243847522e-06,3.5287019272800535e-05,2753,0.8536403179168701,22500,900.0,22548
412,412,0,1,0.1755380630493164,0.323088730564997,0.966815710067749,8.065688234637491e-06,3.78826807718724e-05,2753,0.6298544406890869,22500,900.0,22548
417,417,0,1,0.04084571823477745,0.10598484497420908,0.9937764629721642,1.8066081111101084e-06,4.242344220983796e-05,2753,0.8508159518241882,11287,451.4999,11335
422,422,0,1,0.4804786741733551,0.7551744372425239,0.9375181645154953,8.67065682541579e-06,9.375215995532926e-06,9454,0.6985902190208435,20102,804.1,20150
427,427,0,1,0.3073580265045166,0.5102306209364681,0.9967674612998962,1.0398312952020206e-05,2.343295818718616e-05,9454,0.4699556231498718,8940,357.6,8988
432,432,0,1,0.052618954330682755,0.0882311412788772,0.9968299493193626,2.061464783764677e-06,3.7115762097528204e-05,2753,0.8434802293777466,10387,415.5,10435
437,437,0,1,0.017442483454942703,0.026017388852881077,0.9984543733298779,4.7090148314055114e-07,2.6526486180955544e-05,2753,0.9336842894554138,12147,485.9001,12195
442,442,0,1,0.29098084568977356,0.546060805373381,0.9799804091453552,9.478366337134503e-06,2.3095484721125104e-05,9454,0.524860143661499,22500,900.0,22548
447,447,0,1,0.013636834919452667,0.023038931172021233,0.9978057127445936,3.544451203651988e-07,2.5637300495873205e-05,2753,0.9310314059257507,11550,462.0,11598
452,452,0,1,0.019870713353157043,0.05037653395013778,0.9678920544683933,7.811199225216114e-07,3.852898589684628e-05,2753,0.9033911228179932,22500,900.0,22548
457,457,0,1,0.027585284784436226,0.04438424588310507,0.9929201677441597,8.583764952163619e-07,3.0258812330430374e-05,2753,0.910990297794342,22500,900.0,22548
463,463,0,1,0.023689471185207367,0.04467154355828159,0.9975505694746971,1.104090983972128e-06,4.550273297354579e-05,2753,0.9125720858573914,9670,386.7999,9718
468,468,0,1,0.01615283451974392,0.03490093050962117,0.9921320341527462,7.067872047628043e-07,4.3049447413068265e-05,2753,0.9190532565116882,22500,900.0,22548
473,473,0,1,0.020964238792657852,0.025988254975819535,0.9988328013569117,4.545122465060558e-07,2.1225847376626916e-05,2753,0.9593100547790527,2527,101.1,2575
478,478,0,1,0.034618839621543884,0.08043613946322714,0.9868165552616119,1.6937709688136238e-06,4.723250458482653e-05,2753,0.8898714184761047,22500,900.0,22548
483,483,0,1,0.36658975481987,0.607817379809553,0.9872022867202759,1.1031510439352132e-05,1.9060742488363758e-05,9454,0.5920703411102295,22500,900.0,22548
488,488,0,1,0.015663649886846542,0.033081102342994266,0.99708441644907,6.793349029976525e-07,4.269082273822278e-05,2753,0.9403279423713684,11387,455.5,11435
600,600,0,1,0.2120688110589981,0.32244904591675083,0.9977143704891205,8.641403837827966e-06,3.210671275155619e-05,2753,0.6643504500389099,2455,98.1999,2503
605,605,0,1,0.5660185217857361,0.7639273082363967,0.9942033290863037,1.8335198546992615e-05,1.4058083252166398e-05,9454,0.6869882941246033,5212,208.5,5260
612,612,0,1,0.018546564504504204,0.031067058202946415,0.9983791671693325,6.620869044127176e-07,3.5036540793953463e-05,2753,0.9308855533599854,7162,286.5,7210
620,620,0,1,0.017442483454942703,0.024179935477191786,0.9982581362128258,4.216880995500105e-07,2.3754231733619235e-05,2753,0.9182828068733215,9830,393.2,9878
626,626,0,1,0.03308597952127457,0.04480524533930596,0.9987876377999783,7.572116942355933e-07,2.2128971977508627e-05,2753,0.939532458782196,2245,89.8,2293
632,632,0,1,0.013636834919452667,0.01810524310641869,0.9983179960399866,2.4795986064418685e-07,1.7935133655555546e-05,2753,0.9476699829101562,14530,581.2001,14578
637,637,0,1,0.8902942538261414,0.9533757140044855,0.9879979118704796,1.3778753782389686e-05,1.6978754047158873e-06,9454,0.8781983852386475,17865,714.6001,17913
650,650,0,1,0.015663649886846542,0.03330219108139852,0.996959462761879,5.629607926493918e-07,3.537763041094877e-05,2753,0.9399478435516357,10462,418.5,10510
655,655,0,1,0.9219217896461487,0.9525415978635474,0.9987214729189873,1.9449684259598143e-05,1.647206431698578e-06,9454,0.8790357112884521,6658,266.3001,6706
660,660,0,1,0.07585817575454712,0.16427863032680756,0.9920592457056046,3.4094364309567027e-06,4.153544068685733e-05,2753,0.807377815246582,22500,900.0,22548
666,666,0,1,0.034618839621543884,0.05612640372245335,0.9959760718047619,1.1966300235144445e-06,3.336922964081168e-05,2753,0.8865867257118225,15702,628.0999,15750
676,676,0,1,0.314050555229187,0.5497670344283799,0.9810506701469421,1.445348698325688e-05,3.156931416015141e-05,9454,0.5087366104125977,17525,701.0,17573
683,683,0,1,0.7956580519676208,0.8837376139867741,0.9919409453868866,2.4120299713104032e-05,6.194605248310836e-06,9454,0.7975531816482544,22500,900.0,22548
691,691,0,1,0.9362850189208984,0.9694030429478819,0.9895657002925873,1.5260391592164524e-05,1.0384827646703343e-06,9454,0.9137028455734253,22500,900.0,22548
697,697,0,1,0.05665242671966553,0.09584733498520906,0.9943755269050598,3.0059720756980823e-06,5.005392449675128e-05,2753,0.8586364984512329,22500,900.0,22548
705,705,0,1,0.9724147915840149,0.9814356974340589,0.998620793223381,1.9510869606165215e-05,5.534807883122994e-07,9454,0.909792423248291,4957,198.3,5005
712,712,0,1,0.025565212592482567,0.05671663988384196,0.9937302060425282,8.001180731298518e-07,3.049701808777172e-05,2753,0.9181618690490723,22500,900.0,22548
718,718,0,1,0.012241275981068611,0.029262490593901593,0.9967577066272497,4.179611323706922e-07,3.372563514858484e-05,2753,0.9538466334342957,19415,776.5999,19463
