order_group,line,item_id,paper_value,matcher_file_value,matcher_file,triage,paper_ok,quantity_in_sentence,correct_file,recomputed,reason,context
red,244,claim_L244,"(claim, no number)","pcgita +0.3227 [0.2391, 0.404]; neurovoz +0.2078 [0.1588, 0.2578]; kcl -0.0149 [-0.2709, 0.2364]; edaic -0.0537 [-0.1221, 0.0152]; pitt +0.1095 [0.0454, 0.1728]; adresso +0.2096 [0.1294, 0.2867]; adress2020 +0.1443 [0.049, 0.237]; E-DAIC full window: zero-shot minus fine-tune +0.1863 [0.1098, 0.2696]",edaic_rerun/part15/C_intervals.csv,REAL,no,"projector fine tune gain, paired, per dataset",omni_final/omnisft_<ds>_oof.csv vs omni_final/omni_<ds>_zeroshot_scores.csv; edaic_rerun/variants/sft_full_oof.csv vs o25_full_zeroshot_scores.csv,"AD: Pitt 0.1095 [0.0454, 0.1728] n=468 spk=228; ADReSSo 0.2096 [0.1294, 0.2867] n=237 spk=237; ADReSS 0.1443 [0.0490, 0.2370] n=156 spk=156. MDD: E-DAIC 30 s -0.0537 [-0.1221, 0.0152] n=275 spk=275; E-DAIC full window -0.1863 [-0.2696, -0.1098] n=275 spk=275","The AD half holds (all three gains positive, intervals above zero). The MDD half is wrong: on E-DAIC 30 s the gain is negative with an interval spanning zero, and on the full window fine tuning lowers the AUC with an interval entirely below zero. The paper's own Section 3 sentence (line 226) says E-DAIC drops. Fix: say AD only.",\colorred resulting in a significant performance gain in AD and MDD detection.
added_23sep,77,L77_312,0.43 to 0.62,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,yes,"TF-IDF word logistic regression AUC, Parkinson's sets (min to max)","scores/part20/POD6/A_language_saliency/A_tfidf_{kcl,neurovoz,pcgita}_oof.csv","MDVR-KCL 0.4315 [0.2560, 0.6287] n=37 spk=37; NeuroVoz 0.5814 [0.5422, 0.6206] n=1270 spk=107; PC-GITA 0.6196 [0.5700, 0.6681] n=1100 spk=100","Matcher paired the range with the Qwen2.5-Omni transcript ANSWER set. The sentence is about the word regression: range 0.43 to 0.62. Wording note: the model is TF-IDF weighted words, not raw word counts.","A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets."
added_23sep,77,L77_350,0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,MISPAIRING,yes,"TF-IDF word logistic regression AUC, E-DAIC full interview",scores/part20/POD6/A_language_saliency/A_tfidf_edaicfull_oof.csv,"E-DAIC full 0.6778 [0.5973, 0.7549] n=275 spk=275 (first 30 s would be 0.4844 [0.4028, 0.5624] n=275 spk=275)",Matcher paired it with the Qwen2.5-Omni transcript answer (0.823). The word regression on the full interview gives 0.68.,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets."
added_23sep,77,L77_369,0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,MISPAIRING,yes,"TF-IDF word logistic regression AUC, Alzheimer's sets (min to max)","scores/part20/POD6/A_language_saliency/A_tfidf_{pitt,adresso,adress2020}_oof.csv","Pitt 0.8353 [0.7865, 0.8862] n=468 spk=228; ADReSSo 0.8471 [0.7961, 0.8922] n=237 spk=237; ADReSS 0.9254 [0.8866, 0.9587] n=156 spk=156",Matcher reused the Parkinson's answer set. Word regression range 0.84 to 0.93.,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets."
added_23sep,149,L149_308,0.35,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,MISPAIRING,"yes, with an estimator caveat","paired Delta = probe AUC minus zero shot AUC, PC-GITA","edaic_rerun/part16/M7_perclip/pcgita.csv (probe = omni_final/omni_pcgita_enc_nested_oof.csv, single split)","Delta 0.3454 [0.2636, 0.4275] n=1100 spk=100 (probe 0.9089, zero shot 0.5635); with the five repeat probe mean 0.8941 the point is 0.3306","Matcher paired 0.35 with the probe AUC 0.8941. The Delta file gives 0.35. Caveat: it uses the single split probe (0.91); the paper's PC-GITA probe is the five repeat mean 0.89, which gives 0.33. Pitt's 0.11 uses the five repeat mean, so the two Deltas use different probe estimators. No five repeat per-clip PC-GITA file exists on the Mac to put an interval on the 0.33.","The paired difference \Delta of Section \refsec:setup excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt."
added_23sep,149,L149_328,0.11,0.7846,<local data dir>/release/omni_final/q2a_pitt_nested_repeats.json,MISPAIRING,yes,"paired Delta, Pitt, five repeat probe mean minus zero shot",overnight2/part10/pitt_enc_nested5_oof.npz + omni_final/omni_pitt_zeroshot_scores.csv (= M7_pitt_FIXED),"Delta 0.1128 [0.0455, 0.1768] n=468 spk=228 (probe 0.7706, zero shot 0.6578)",Matcher paired 0.11 with the Qwen2-Audio Pitt probe AUC. The corrected M7 Delta gives 0.11.,"The paired difference \Delta of Section \refsec:setup excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt."
added_23sep,149,L149_556,0.60,0.7619,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,MISPAIRING,yes,"Qwen3-Omni zero shot AUC, PC-GITA",overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv (shipped); edaic_rerun/part16/POD3/q3o_pcgita_zeroshot_scores.csv (pod rerun),"shipped 0.5967 [0.5240, 0.6619] n=1100 spk=100; pod rerun 0.6015 [0.5304, 0.6674] n=1100 spk=100",Matcher paired the PC-GITA 0.60 with the Pitt zero shot (0.7619). Both PC-GITA files round to 0.60.,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.
added_23sep,149,L149_940,0.60,0.9213,<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,MISPAIRING,yes,"NeuroVoz five quiet-frame channel features, logistic probe, after loudness and noise floor normalisation",edaic_rerun/part16/POD4/channel_norm_neurovoz.csv column fivefeat_oof_after,"after 0.6025 [0.5479, 0.6580] n=1270 spk=107 (before 0.7977 [0.7248, 0.8611] n=1270 spk=107)",Matcher paired it with the NeuroVoz encoder probe (0.9213). 'Those features' are the channel features; after normalisation they give 0.60.,Normalising loudness and noise floor lowers those features to 0.60 on NeuroVoz and leaves the encoder probe at 0.89.
added_23sep,149,L149_1063,0.90,0.7953,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,MISPAIRING,yes,"Qwen2.5-Omni encoder probe, NeuroVoz 38 age and sex matched pairs, mean of 5 seeds",scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv,"0.8986 [0.8430, 0.9428] n=907 spk=76; pairs file rows 38",Matcher paired it with the Pitt age matched probe (0.7953). The NeuroVoz matched run gives 0.90.,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.
added_23sep,149,L149_1096,0.63,0.654,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,yes,"Qwen2.5-Omni zero shot, NeuroVoz 38 age and sex matched pairs",scores/part20/POD6/B_neurovoz_matched/B_zeroshot_nvmatched.csv,"0.6282 [0.5584, 0.6985] n=907 spk=76",Matcher paired it with the Pitt age matched zero shot (0.654). The NeuroVoz matched run gives 0.63.,On 38 age and sex matched NeuroVoz pairs the encoder probe stays at 0.90 and the zero-shot answer at 0.63.
