arm,enc_layer,oof_auc
orig,0,0.79621
orig,1,0.821839
orig,2,0.858807
orig,3,0.872631
orig,4,0.869835
orig,5,0.860671
orig,6,0.864244
orig,7,0.869525
orig,8,0.875272
orig,9,0.869214
orig,10,0.875272
orig,11,0.884436
orig,12,0.878844
orig,13,0.86005
orig,14,0.853526
orig,15,0.856788
orig,16,0.861758
orig,17,0.875893
orig,18,0.867661
orig,19,0.865952
orig,20,0.856632
orig,21,0.869525
orig,22,0.866418
orig,23,0.873563
orig,24,0.882106
orig,25,0.889096
orig,26,0.897484
orig,27,0.903852
orig,28,0.90758
orig,29,0.904784
orig,30,0.894532
orig,31,0.898882
paronly,0,0.757689
paronly,1,0.778969
paronly,2,0.80817
paronly,3,0.830537
paronly,4,0.834731
paronly,5,0.829139
paronly,6,0.84374
paronly,7,0.848089
paronly,8,0.866573
paronly,9,0.863467
paronly,10,0.866573
paronly,11,0.877136
paronly,12,0.873563
paronly,13,0.856943
paronly,14,0.855701
paronly,15,0.860982
paronly,16,0.86036
paronly,17,0.86968
paronly,18,0.86238
paronly,19,0.868282
paronly,20,0.854303
paronly,21,0.869059
paronly,22,0.866729
paronly,23,0.870457
paronly,24,0.868748
paronly,25,0.875738
paronly,26,0.881796
paronly,27,0.887698
paronly,28,0.876825
paronly,29,0.869835
paronly,30,0.868282
paronly,31,0.86471
durmatch,0,0.788754
durmatch,1,0.823548
durmatch,2,0.862224
durmatch,3,0.882417
durmatch,4,0.877912
durmatch,5,0.873097
durmatch,6,0.876825
durmatch,7,0.880087
durmatch,8,0.891737
durmatch,9,0.884902
durmatch,10,0.897639
durmatch,11,0.892979
durmatch,12,0.889407
durmatch,13,0.872631
durmatch,14,0.868748
durmatch,15,0.867039
durmatch,16,0.870767
durmatch,17,0.883038
durmatch,18,0.879621
durmatch,19,0.881019
durmatch,20,0.871233
durmatch,21,0.882883
durmatch,22,0.881174
durmatch,23,0.874185
durmatch,24,0.88133
durmatch,25,0.889873
durmatch,26,0.897018
durmatch,27,0.898105
durmatch,28,0.903541
durmatch,29,0.906337
durmatch,30,0.900124
durmatch,31,0.899348
