arm,enc_layer,oof_auc
orig,0,0.655161
orig,1,0.655161
orig,2,0.64908
orig,3,0.681624
orig,4,0.680309
orig,5,0.652202
orig,6,0.685404
orig,7,0.704142
orig,8,0.719264
orig,9,0.739645
orig,10,0.766272
orig,11,0.783366
orig,12,0.776956
orig,13,0.787475
orig,14,0.774655
orig,15,0.788133
orig,16,0.798488
orig,17,0.817554
orig,18,0.795858
orig,19,0.788626
orig,20,0.784352
orig,21,0.81098
orig,22,0.803419
orig,23,0.786736
orig,24,0.804898
orig,25,0.825444
orig,26,0.810158
orig,27,0.818376
orig,28,0.797995
orig,29,0.803912
orig,30,0.79783
orig,31,0.785667
paronly,0,0.644477
paronly,1,0.615549
paronly,2,0.6476
paronly,3,0.666174
paronly,4,0.663544
paronly,5,0.659599
paronly,6,0.679323
paronly,7,0.700197
paronly,8,0.71499
paronly,9,0.732084
paronly,10,0.754602
paronly,11,0.749343
paronly,12,0.745233
paronly,13,0.754931
paronly,14,0.746713
paronly,15,0.759862
paronly,16,0.793393
paronly,17,0.812788
paronly,18,0.80572
paronly,19,0.80687
paronly,20,0.809336
paronly,21,0.816732
paronly,22,0.805062
paronly,23,0.791913
paronly,24,0.819198
paronly,25,0.829882
paronly,26,0.807364
paronly,27,0.806706
paronly,28,0.795201
paronly,29,0.792571
paronly,30,0.787147
paronly,31,0.789119
durmatch,0,0.639218
durmatch,1,0.645792
durmatch,2,0.654504
durmatch,3,0.685569
durmatch,4,0.688034
durmatch,5,0.664859
durmatch,6,0.696581
durmatch,7,0.695266
durmatch,8,0.714826
durmatch,9,0.734057
durmatch,10,0.761177
durmatch,11,0.774326
durmatch,12,0.757068
durmatch,13,0.771368
durmatch,14,0.769888
durmatch,15,0.781887
durmatch,16,0.800953
durmatch,17,0.82002
durmatch,18,0.806213
durmatch,19,0.803254
durmatch,20,0.804241
durmatch,21,0.828567
durmatch,22,0.821992
durmatch,23,0.811473
durmatch,24,0.821335
durmatch,25,0.8381
durmatch,26,0.825608
durmatch,27,0.820842
durmatch,28,0.802104
durmatch,29,0.818047
durmatch,30,0.814267
durmatch,31,0.808021
