clip,p_yes_pod,p_yes_paper,diff,within_1e3,prompt_identical
conflict_Con_015-0_67805.wav,0.407792742925051,0.42304143252224663,-0.015248689597195608,False,True
conflict_Con_015-1_4987.wav,0.43833767629166787,0.4383725568880873,-3.4880596419428755e-05,True,True
conflict_Con_017-4_6597.wav,0.28172285959626947,0.2945101207978238,-0.012787261201554323,False,True
conflict_Con_021-1_38448.wav,0.4078637028018391,0.407791662661338,7.204014050110619e-05,True,True
conflict_Con_034-4_46285.wav,0.33502348116060615,0.34900008690585105,-0.013976605745244897,False,True
conflict_Con_042-2_2251.wav,0.3212992843127266,0.3212697094597388,2.9574852987768185e-05,True,True
conflict_Con_045-0_35325.wav,0.37789682740909314,0.37789704301448723,-2.1560539409382073e-07,True,True
conflict_Con_045-2_39349.wav,0.37780882703664825,0.3632750552825416,0.014533771754106639,False,True
conflict_Con_052-0_3822.wav,0.18271536409388725,0.1826921976161607,2.31664777265439e-05,True,True
conflict_Con_068-0_1810.wav,0.33491608888083085,0.3349619201426691,-4.5831261838269466e-05,True,True
