perm_seed,auc_probe,auc_wo_trainz,auc_wo_foldz
0,0.9249711580538649,0.9254087599952262,0.9293471774674782
1,0.9237776982137884,0.9283924095954171,0.9078649003461033
2,0.9272785137446792,0.9313760591956081,0.9230616223097426
3,0.9292676134781398,0.9296256514301627,0.9259657079205952
4,0.9170545411146915,0.9236583522297808,0.9063531845486733
5,0.9291084854994629,0.9367466284759518,0.8979989656681386
6,0.9275967697020329,0.9262441818832796,0.924812030075188
7,0.916418029199984,0.916577157178661,0.9153439153439153
8,0.941082865894896,0.9415602498309266,0.934916656721168
9,0.9237379162191193,0.925368978000557,0.9050403787245892
10,0.9224648923897044,0.9294267414568167,0.9186856028961292
11,0.9216692524963201,0.9261646178939412,0.9231809682937503
12,0.9233400962724271,0.9270398217766639,0.9199586267255441
13,0.9182480009547679,0.9271989497553408,0.9005847953216374
14,0.9217488164856585,0.9233400962724271,0.9192425508214982
15,0.9186856028961292,0.9259259259259259,0.9096153081115487
16,0.9240163901818037,0.925010940048534,0.9197994987468672
17,0.9329275569877074,0.9345984007638143,0.9313760591956081
18,0.9383776902573895,0.9412419938735728,0.9237379162191193
19,0.9266420018299718,0.9276763336913713,0.9295858694354935
20,0.9279150256593865,0.9292278314834705,0.9259259259259259
21,0.9234594422564347,0.9243744281338266,0.922942276325735
22,0.924255082149819,0.9306599832915622,0.9138321995464853
23,0.932847992998369,0.9421171977562955,0.9073477344154036
24,0.9293471774674782,0.9303815093288778,0.9288697935314477
25,0.9260850539046028,0.9256872339579106,0.9285515375740939
26,0.9246131201018419,0.9291084854994629,0.9222659824163584
27,0.9101324740422485,0.9120022277917015,0.8909177706170187
28,0.9150654413812308,0.9205951386402514,0.8885706329315352
29,0.9336834148864224,0.9398098420654811,0.9113259338823249
30,0.9297449974141704,0.9339618888491069,0.9195608067788519
31,0.9383379082627203,0.9391733301507738,0.9388550741934201
32,0.9253291960058877,0.9321716990889923,0.9280741536380634
33,0.9262441818832796,0.9290289215101245,0.9201177547042209
34,0.932291045073,0.9367068464812826,0.9193221148108366
35,0.9196005887735211,0.9205553566455822,0.9135139435891315
36,0.9269204757926562,0.9280741536380634,0.9197199347575288
37,0.9296654334248319,0.9309384572542467,0.9132354696264471
38,0.9256474519632414,0.929307395472809,0.9117237538290169
39,0.9156223893065998,0.921629470501651,0.9183275649441063
40,0.9150654413812308,0.9166169391733302,0.9209531765922744
41,0.9294267414568167,0.9301825993555317,0.9233400962724271
