pid,win_dur_s,samples_est,q3o_feature_frames,q3o_audio_tokens,q3o_heard_s,q3o_cut,af3_feature_frames,af3_audio_tokens,af3_heard_s,af3_cut
300,759.8001,12156802,75980,9877,759.8,0,60000,15000,600.0,1
301,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
302,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
303,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
304,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
305,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
306,619.1,9905600,61910,8049,619.1,0,60000,15000,600.0,1
307,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
308,369.4999,5911998,36949,4804,369.49,0,36950,9237,369.5,0
309,192.7,3083200,19270,2505,192.7,0,19270,4817,192.7,0
310,297.8,4764800,29780,3871,297.8,0,29780,7445,297.8,0
311,217.7999,3484798,21779,2831,217.79,0,21780,5445,217.8,0
312,340.3999,5446398,34039,4425,340.39,0,34040,8510,340.4,0
313,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
314,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
315,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
316,226.3,3620800,22630,2942,226.3,0,22630,5657,226.3,0
317,233.9999,3743998,23399,3042,233.99,0,23400,5850,234.0,0
318,249.5999,3993598,24959,3245,249.59,0,24960,6240,249.6,0
319,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
320,249.1,3985600,24910,3239,249.1,0,24910,6227,249.1,0
321,311.5999,4985598,31159,4051,311.59,0,31160,7790,311.6,0
322,537.0999,8593598,53709,6983,537.09,0,53710,13427,537.1,0
323,417.3001,6676802,41730,5425,417.3,0,41731,10433,417.3,0
324,275.7001,4411202,27570,3584,275.7,0,27571,6893,275.7,0
325,528.2,8451200,52820,6867,528.2,0,52820,13205,528.2,0
326,196.3,3140800,19630,2552,196.3,0,19630,4907,196.3,0
327,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
328,679.2,10867200,67920,8830,679.2,0,60000,15000,600.0,1
329,365.4,5846400,36540,4750,365.4,0,36540,9135,365.4,0
330,181.6,2905600,18160,2361,181.6,0,18160,4540,181.6,0
331,447.8,7164800,44780,5821,447.8,0,44780,11195,447.8,0
332,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
333,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
334,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
335,452.7001,7243202,45270,5885,452.7,0,45271,11318,452.7,0
336,379.1,6065600,37910,4929,379.1,0,37910,9477,379.1,0
337,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
338,287.8,4604800,28780,3741,287.8,0,28780,7195,287.8,0
339,443.5,7096000,44350,5766,443.5,0,44350,11087,443.5,0
340,204.2999,3268798,20429,2656,204.29,0,20430,5107,204.3,0
341,418.6001,6697602,41860,5442,418.6,0,41861,10465,418.6,0
343,272.6999,4363198,27269,3545,272.69,0,27270,6817,272.7,0
344,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
345,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
346,699.4999,11191998,69949,9094,699.49,0,60000,15000,600.0,1
347,145.1,2321600,14510,1887,145.1,0,14510,3627,145.1,0
348,328.0999,5249598,32809,4266,328.09,0,32810,8202,328.1,0
349,503.0,8048000,50300,6539,503.0,0,50300,12575,503.0,0
350,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
351,900.0001,14400002,90000,11700,900.0,0,60000,15000,600.0,1
352,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
353,415.1999,6643198,41519,5398,415.19,0,41520,10380,415.2,0
354,167.4999,2679998,16749,2178,167.49,0,16750,4187,167.5,0
355,358.3,5732800,35830,4658,358.3,0,35830,8957,358.3,0
356,591.4999,9463998,59149,7690,591.49,0,59150,14787,591.5,0
357,530.4,8486400,53040,6895,530.4,0,53040,13260,530.4,0
358,258.0,4128000,25800,3354,258.0,0,25800,6450,258.0,0
359,605.3001,9684802,60530,7869,605.3,0,60000,15000,600.0,1
360,218.3,3492800,21830,2838,218.3,0,21830,5457,218.3,0
361,397.8001,6364802,39780,5171,397.8,0,39781,9945,397.8,0
362,286.7,4587200,28670,3727,286.7,0,28670,7167,286.7,0
363,804.5001,12872002,80450,10459,804.5,0,60000,15000,600.0,1
364,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
365,718.1001,11489602,71810,9336,718.1,0,60000,15000,600.0,1
366,847.1,13553600,84710,11013,847.1,0,60000,15000,600.0,1
367,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
368,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
369,749.3,11988800,74930,9741,749.3,0,60000,15000,600.0,1
370,849.3001,13588802,84930,11041,849.3,0,60000,15000,600.0,1
371,309.8001,4956802,30980,4027,309.8,0,30981,7745,309.8,0
372,751.3001,12020802,75130,9767,751.3,0,60000,15000,600.0,1
373,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
374,900.0,14400000,90000,11700,900.0,0,60000,15000,600.0,1
375,177.1,2833600,17710,2303,177.1,0,17710,4427,177.1,0
376,615.6,9849600,61560,8003,615.6,0,60000,15000,600.0,1
377,843.8999,13502398,84389,10971,843.89,0,60000,15000,600.0,1
378,432.0999,6913598,43209,5618,432.09,0,43210,10802,432.1,0
