stage,auc_mean,auc_std,auc_oof
0,0.5950620155038759,0.11072781384588515,0.5895316804407713
1,0.6008217054263566,0.11933569454403886,0.596636218645788
2,0.603108527131783,0.11446709755773433,0.6005509641873278
3,0.6112015503875969,0.11823216576436743,0.6095403798753081
4,0.6206744186046512,0.11212862933906256,0.6154849934754242
5,0.6407131782945736,0.09124344043683924,0.6317964332318398
6,0.5925503875968993,0.08214234707129364,0.5868493547919386
7,0.6209922480620154,0.07964566683541743,0.6115702479338843
8,0.6745581395348836,0.07584754411924846,0.6633318834275772
9,0.6741007751937984,0.0898214629061777,0.6673916195447296
10,0.7162480620155038,0.08852615226382166,0.7043642163259388
11,0.7113023255813953,0.06249143249973744,0.7101638393504422
12,0.7264883720930233,0.06793102296282896,0.7232854864433812
13,0.7404496124031008,0.06998303296049421,0.7398869073510222
14,0.7662558139534884,0.053643487027772226,0.7630129041612296
15,0.7649457364341086,0.06576916418622743,0.7613455125416848
16,0.7547984496124032,0.04193378878265316,0.7577207481513702
17,0.7346821705426356,0.039209080096598986,0.7382195157314775
18,0.7405581395348838,0.059879155391551905,0.7463389879657822
19,0.7200077519379846,0.06583192201822144,0.7287951283166595
20,0.7217286821705426,0.07195136369838036,0.7327098738581991
21,0.7145116279069768,0.06555909603107349,0.7221980571262868
22,0.7165426356589147,0.07276231129558365,0.7214006089604176
23,0.7219612403100776,0.06468783745902541,0.7251703639263448
24,0.7203333333333333,0.06743505089029306,0.7209656372335799
25,0.715062015503876,0.06968193554356311,0.7124836885602436
26,0.7144883720930232,0.07362990655456803,0.7075540089894158
27,0.7156124031007751,0.06949468387635198,0.7098738581992171
28,0.7201240310077519,0.07616657741538194,0.7156009859359141
