stage,auc_mean,auc_std,auc_oof
0,0.6119224806201551,0.11271118591161033,0.6093953892996955
1,0.6362790697674419,0.11276534785323793,0.63179643323184
2,0.6481085271317829,0.10941301064600993,0.6441206321589097
3,0.6755891472868216,0.11611272960189346,0.6641293315934464
4,0.6757906976744186,0.10998735689506413,0.6647092938958967
5,0.6762635658914729,0.08680375160435515,0.6663041902276352
6,0.6389457364341085,0.07863832130577175,0.6341162824416413
7,0.6567984496124032,0.06603149554524773,0.6491953023053502
8,0.7047441860465116,0.05275061711974593,0.687835290706104
9,0.7185968992248062,0.06361716782303664,0.7059591126576773
10,0.7444883720930232,0.06565721422250848,0.738871973321734
11,0.7677519379844961,0.05097593314958665,0.7606930549514281
12,0.7480697674418605,0.055630925138279705,0.7437291576047557
13,0.7398682170542635,0.05468110455835186,0.7351747136436132
14,0.7466511627906977,0.05921322586568669,0.7443816151950123
15,0.7518062015503876,0.07183899397419935,0.7519211251268667
16,0.727124031007752,0.06283183837408181,0.7307525010874293
17,0.7176434108527131,0.06477423732321393,0.7162534435261708
18,0.7401550387596899,0.07539301110467786,0.7361896476729013
19,0.7184728682170543,0.08714478095552017,0.7143685660432072
20,0.7275736434108527,0.09665497153599935,0.7185732927359721
21,0.7165271317829458,0.08757831524071824,0.70864143830651
22,0.7144186046511628,0.0704669881468228,0.7092938958967667
23,0.7382558139534884,0.059787617624393156,0.732419892706974
24,0.733875968992248,0.058899610463343556,0.7288676236044657
25,0.7324806201550387,0.061566275066690546,0.7292301000434972
26,0.7479457364341084,0.0577248258507553,0.7473539219950703
27,0.7659457364341085,0.07061923433057352,0.7596056256343338
28,0.7816279069767442,0.07275824209779581,0.775264607800493
