stream,stage,recomputed,pod,absdiff
encoder,0,0.5832245904016239,0.583514571552849,0.00028998115122513823
encoder,1,0.5593011454255473,0.5593011454255473,0.0
encoder,2,0.6051906626069307,0.6051181673191243,7.249528780639558e-05
encoder,3,0.5997535160214585,0.5998260113092649,7.249528780639558e-05
encoder,4,0.6072205306655067,0.6070755400898942,0.00014499057561256912
encoder,5,0.5968537045092069,0.5969986950848195,0.00014499057561256912
encoder,6,0.6045382050166739,0.6046831955922864,0.00014499057561256912
encoder,7,0.5864868783529071,0.586704364216326,0.00021748586341885368
encoder,8,0.5830071045382051,0.5824271422357546,0.0005799623024504985
encoder,9,0.592938958967667,0.5932289401188923,0.00028998115122524926
encoder,10,0.6154124981876178,0.6151225170363926,0.00028998115122513823
encoder,11,0.6088154269972452,0.6092503987240829,0.00043497172683770735
encoder,12,0.601565898216616,0.601348412353197,0.0002174858634189647
encoder,13,0.6088879222850515,0.6087429317094389,0.00014499057561256912
encoder,14,0.6096128751631145,0.609757865738727,0.00014499057561256912
encoder,15,0.6239669421487604,0.6240394374365666,7.249528780628456e-05
encoder,16,0.6466579672321299,0.6468029578077426,0.00014499057561268014
encoder,17,0.6605770624909382,0.6604320719153255,0.00014499057561268014
encoder,18,0.6845005074670147,0.6847179933304335,0.00021748586341874265
encoder,19,0.6876178048426852,0.6874728142670726,0.00014499057561256912
encoder,20,0.6750036247643904,0.6752211106278092,0.00021748586341885368
encoder,21,0.6676816006959548,0.6673916195447296,0.00028998115122524926
encoder,22,0.6612295200811947,0.661302015369001,7.249528780628456e-05
encoder,23,0.6514426562273452,0.6519501232419893,0.0005074670146441029
encoder,24,0.6611570247933884,0.6610845295055822,7.249528780628456e-05
encoder,25,0.665289256198347,0.6654342467739597,0.00014499057561268014
encoder,26,0.6396984196027259,0.6396259243149195,7.249528780639558e-05
encoder,27,0.6233869798463101,0.6233507322024069,3.624764390319779e-05
encoder,28,0.629331593446426,0.6291141075830071,0.00021748586341885368
encoder,29,0.6178773379730317,0.6177323473974191,0.00014499057561256912
encoder,30,0.5977236479628825,0.5980136291141076,0.00028998115122513823
encoder,31,0.6361461505002175,0.6360011599246049,0.00014499057561256912
llm,0,0.6094678845875018,0.6093953892996955,7.249528780628456e-05
llm,1,0.6320139190952588,0.63179643323184,0.00021748586341885368
llm,2,0.6451355661881978,0.6441206321589097,0.0010149340292880948
llm,3,0.6645643033202843,0.6641293315934464,0.0004349717268378184
llm,4,0.6648542844715094,0.6647092938958967,0.00014499057561268014
llm,5,0.6663041902276353,0.6663041902276352,1.1102230246251565e-16
llm,6,0.634261273017254,0.6341162824416413,0.00014499057561268014
llm,7,0.6489778164419313,0.6491953023053502,0.00021748586341885368
llm,8,0.6878352907061042,0.687835290706104,1.1102230246251565e-16
llm,9,0.7067565608235464,0.7059591126576773,0.0007974481658691301
llm,10,0.7389444686095404,0.738871973321734,7.249528780639558e-05
llm,11,0.7598231114977527,0.7606930549514281,0.0008699434536754147
llm,12,0.7437291576047557,0.7437291576047557,0.0
llm,13,0.7355371900826446,0.7351747136436132,0.0003624764390314228
llm,14,0.7440191387559808,0.7443816151950123,0.0003624764390315338
llm,15,0.7512686675366101,0.7519211251268667,0.000652457590256561
llm,16,0.7301725387849789,0.7307525010874293,0.0005799623024503875
llm,17,0.7156734812237205,0.7162534435261708,0.0005799623024502765
llm,18,0.736624619399739,0.7361896476729013,0.00043497172683770735
llm,19,0.7158909670871395,0.7143685660432072,0.0015224010439323088
llm,20,0.7189357691750037,0.7185732927359721,0.0003624764390315338
llm,21,0.7084239524430912,0.70864143830651,0.00021748586341885368
llm,22,0.7113237639553429,0.7092938958967667,0.0020298680585761897
llm,23,0.7324923879947803,0.732419892706974,7.249528780628456e-05
llm,24,0.7288676236044657,0.7288676236044657,0.0
llm,25,0.7297375670581412,0.7292301000434972,0.0005074670146439919
llm,26,0.7472089314194578,0.7473539219950703,0.00014499057561256912
llm,27,0.7580832245904017,0.7596056256343338,0.0015224010439320868
llm,28,0.775264607800493,0.775264607800493,0.0
