id	claimed	recomputed	lo	hi	verified	file
1_whole	0.8366	0.8366	0.7786	0.8866	yes	A2_edaic_whole_zeroshot_perclip.csv
1_300s	0.8278	0.8278	0.7703	0.8822	yes	A2_edaic_whole_zeroshot_perclip.csv
1_whole_minus_300s	0.0088	0.0088	-0.032	0.051	yes	A2_edaic_whole_zeroshot_perclip.csv
2_encoder_meanof5	0.5981	0.5981	0.5267	0.6672	yes	A3_edaic_whole_meanof5_perclip.csv
2_encoder_minus_zswhole	-0.2385	-0.2385	-0.3244	-0.1505	yes	A3+A2
3_projector_meanof5	0.5866	0.5866	0.5166	0.6585	yes	A3_edaic_whole_meanof5_perclip.csv
3_projector_minus_zswhole	-0.25	-0.25	-0.3339	-0.1623	yes	A3+A2
4_LM_meanof5	0.7437	0.7437	0.6752	0.8097	yes	A3_edaic_whole_meanof5_perclip.csv
4_LM_minus_zswhole	-0.0929	-0.0929	-0.1609	-0.0257	yes	A3+A2
5_answer state_meanof5	0.8359	0.8359	0.7819	0.8832	yes	A3_edaic_whole_meanof5_perclip.csv
5_answer state_minus_zswhole	-0.0007	-0.0007	-0.0455	0.0436	yes	A3+A2
6_ft_whole_pooled	0.7931	0.7931	0.7263	0.8536	yes	FT_whole_fold{k}_oof.csv pooled
6_ft_whole_fold0	0.9079	0.9079			yes	FT_whole_fold0_oof.csv
6_ft_whole_fold1	0.8592	0.8592			yes	FT_whole_fold1_oof.csv
6_ft_whole_fold2	0.8117	0.8117			yes	FT_whole_fold2_oof.csv
6_ft_whole_fold3	0.4302	0.4302			yes	FT_whole_fold3_oof.csv
6_ft_whole_fold4	0.8304	0.8304			yes	FT_whole_fold4_oof.csv
6_ft_whole_minus_zswhole	-0.0435	-0.0435	-0.0939	0.0027	yes	FT_whole pooled + A2
7_ft_ctrl300_pooled	0.815	0.815	0.7465	0.8776	yes	FT_ctrl300_fold{k}_oof.csv pooled
7_ft_ctrl300_fold0	0.9758	0.9758			yes	FT_ctrl300_fold0_oof.csv
7_ft_ctrl300_fold1	0.8233	0.8233			yes	FT_ctrl300_fold1_oof.csv
7_ft_ctrl300_fold2	0.8358	0.8358			yes	FT_ctrl300_fold2_oof.csv
7_ft_ctrl300_fold3	0.7442	0.7442			yes	FT_ctrl300_fold3_oof.csv
7_ft_ctrl300_fold4	0.8043	0.8043			yes	FT_ctrl300_fold4_oof.csv
7_ft_whole_minus_ctrl300	-0.0219	-0.0219	-0.0783	0.0356	yes	FT_whole pooled + FT_ctrl300 pooled
8_fold3_median_mass	0.0	0.0			yes	FT_whole_fold3_oof.csv
8_fold3_count_lt_0.01		55			n/a	FT_whole_fold3_oof.csv
9a_ft_ctrl300_minus_zs300		-0.0128	-0.0483	0.0214	n/a	FT_ctrl300 pooled + A2 p_yes_300s_T7b
9b_ft_whole_pooled_no_fold3		0.8274	0.7569	0.8898	n/a	FT_whole excl fold3 (220 clips)
10_q3o_cut_count	0	0			yes	C_trunc_275_derived.csv
10_af3_cut_count	136	136			yes	C_trunc_275_derived.csv
11_encoder_max_abs_diff		0.0611			n/a	o25_whole_encoder_perlayer.csv vs shards/*.npz (enc)
11_llm_max_abs_diff		0.0578			n/a	o25_whole_llm_perlayer.csv vs shards/*.npz (llm)
11_encoder_stage0	0.5835	0.5859			no	o25_whole_encoder_perlayer.csv
11_encoder_stage1	0.5593	0.5468			no	o25_whole_encoder_perlayer.csv
11_encoder_stage2	0.6051	0.575			no	o25_whole_encoder_perlayer.csv
11_encoder_stage3	0.5998	0.5711			no	o25_whole_encoder_perlayer.csv
