id	what	value_computed	value_verified	lo	hi	n	n_spk	file	agree_4dp
P22_s2_305_tok_full	pid 305 (900.0 s window) audio tokens, paper processor call, full window	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_305_tok_cut300	pid 305 audio tokens, paper processor call, window cut to first 300 s	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_305_pyes_full	pid 305 p_yes (paper 5+5 id set), full window	0.577618	0.577618			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_305_pyes_cut300	pid 305 p_yes (paper 5+5 id set), first 300 s	0.577618	0.577618			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_305_inputs_identical	pid 305 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_tok_full	pid 679 (900.0 s window) audio tokens, paper processor call, full window	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_tok_cut300	pid 679 audio tokens, paper processor call, window cut to first 300 s	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_pyes_full	pid 679 p_yes (paper 5+5 id set), full window	0.233910	0.233910			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_pyes_cut300	pid 679 p_yes (paper 5+5 id set), first 300 s	0.233910	0.233910			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_679_inputs_identical	pid 679 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_tok_full	pid 466 (900.0 s window) audio tokens, paper processor call, full window	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_tok_cut300	pid 466 audio tokens, paper processor call, window cut to first 300 s	7500	7500			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_pyes_full	pid 466 p_yes (paper 5+5 id set), full window	0.706315	0.706315			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_pyes_cut300	pid 466 p_yes (paper 5+5 id set), first 300 s	0.706315	0.706315			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_466_inputs_identical	pid 466 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_tok_full	pid 705 (198.3 s window) audio tokens, paper processor call, full window	4957	4957			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_tok_cut300	pid 705 audio tokens, paper processor call, window cut to first 300 s	4957	4957			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_pyes_full	pid 705 p_yes (paper 5+5 id set), full window	0.960447	0.960447			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_pyes_cut300	pid 705 p_yes (paper 5+5 id set), first 300 s	0.960447	0.960447			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_705_inputs_identical	pid 705 full vs 300 s cut: input_ids, feature mask and input_features tensors byte-identical	True	True			1	1	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s2_overall	step 2 verdict on the 3 longest windows (305, 679, 466): tokens identical and p_yes equal to 6 dp, full vs 300 s cut	TRUNCATION PROVEN	TRUNCATION PROVEN			3	3	scores/part22/p22_step2_truncation_proof.json ; verify/out/s2_default.csv, s2_cut300.csv, tokens_mine.json	True
P22_s1_quotes	step 1 md: quoted code blocks equal to the source files line for line (29 transformers 5.17.0 + HF snapshot ae9e1690 on the pod, 2 scoring scripts on the Mac); negative control vs Mac transformers 5.5.4 gives 25 mismatches	31 blocks quoted	31/31 OK, 0 mismatch			31		scores/part22/P22_step1_processor_config.md ; verify/out/step1_check_pod.json, step1_check_mac_negcontrol.json	True
P22_s1_tf_version	transformers version used by the paper pod and this pod	5.17.0	5.17.0			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_fe_class	Qwen2_5OmniProcessor feature extractor class	WhisperFeatureExtractor	WhisperFeatureExtractor			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_chunk_length	feature extractor chunk_length (preprocessor_config.json:2)	300	300			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_sampling_rate	feature extractor sampling_rate	16000	16000			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_max_length	effective max_length = n_samples = chunk_length x sampling_rate (feature_extraction_whisper.py:91, :303)	4800000	4800000			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_truncation_default	WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196)	True	True			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s1_cut_line	line that cuts the waveform	feature_extraction_sequence_utils.py:333	feature_extraction_sequence_utils.py:333			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json	True
P22_s3_probe_tok_lifted	pid 305 900 s window audio tokens, truncation off (audio_kwargs or flat truncation=False, or max_length 900 s)	22500	22500			1	1	scores/part22/p22_step3_probe.json ; verify/out/tokens_mine.json	True
P22_s3_probe_pyes_lifted	pid 305 p_yes, truncation off, model ran on seq_len 22548	0.173336	0.173336			1	1	scores/part22/p22_step3_probe.json ; verify/out/all_lift_merged.csv	True
P22_s3_tokens_all275	lifted audio tokens per clip, pod job vs my rerun (275/275 equal); 89 capped windows all 22500; 217 windows above 7500; max seq_len 22548	275 equal	275/275 equal			275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_s3_short58_unchanged	58 windows <= 300 s: p_yes truncation off minus default, max abs (inputs identical)	0.0	0.0			58	58	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_s3_perclip_lift_pod_vs_mine	lifted p_yes per clip, pod job vs my independent rescore: max abs diff (0 pos-neg order flips)		5.61e-08			275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_all275_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), all 275 E-DAIC windows	0.8278	0.8278	0.7703	0.8822	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_all275_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), all 275 E-DAIC windows	0.8379	0.8379	0.7805	0.8876	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_all275_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), all 275 E-DAIC windows	0.0101	0.0101	-0.0309	0.0518	275	275	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_long217_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), 217 windows longer than 300 s	0.8380	0.8380	0.7758	0.8930	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_long217_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), 217 windows longer than 300 s	0.8571	0.8571	0.8028	0.9062	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_long217_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), 217 windows longer than 300 s	0.0192	0.0192	-0.0309	0.0703	217	217	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_capped89_trunc	E-DAIC zero-shot answer AUC, 300 s cut (paper call; reference per-clip file), 89 windows capped at 900 s	0.8169	0.8169	0.6985	0.9161	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_capped89_lift	E-DAIC zero-shot answer AUC, whole window (truncation off), 89 windows capped at 900 s	0.8552	0.8552	0.7513	0.9414	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_capped89_diff	paired AUC difference, whole window minus 300 s cut (one draw per replicate), 89 windows capped at 900 s	0.0383	0.0383	-0.0424	0.1360	89	89	scores/part22/edaic_lifted_auc.json ; verify/out/auc_mine_p_yes_paper.json, all_lift_merged.csv, all_default.csv	True
P22_S1_tf_version	transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives tf_version 5.17.0 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	5.17.0	5.17.0			1		scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_chunk_length	Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives chunk_length 300 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	300	300					scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_n_samples	feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives n_samples 4800000 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	4800000	4800000					scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_trunc_default	WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives feature_extraction_whisper.py:196 "truncation: bool = True," (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	True	True					scores/part22/P22_step1_processor_config.md ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_tok_300s	audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	7500	7500					scores/part22/P22_step1_proc_probe.json ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
P22_S1_tok_900s_off	audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 22500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]	22500	22500					scores/part22/P22_step1_proc_probe.json ; verify/out/tokens_mine.json, step1_check_pod.json, all_default.csv	True
