family,claim,claimed,tex_line,tex_value,value,lo,hi,p,holm_claimed,survives_claimed,m_claimed,holm_full,survives_full,m_full,excl0,B,skipped,n_le0,n_ge0,n_clips,n_spk,term_aucs,file
ARMS,"E-DAIC conflict minus agreement, Qwen2-Audio",True,180,Table 2 (tex l.168-173): 0.23 / 0.96; l.180 'intervals ... exclude zero for all six models on depression',-0.7328192344566308,-0.7779965200759947,-0.6837209048903733,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,794,138,"[0.22802246008071592, 0.9608416945373467]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"E-DAIC conflict minus agreement, Qwen2.5-Omni",True,180,Table 2 (tex l.168-173): 0.22 / 0.96; l.180 'intervals ... exclude zero for all six models on depression',-0.7428749373451722,-0.7868938951339735,-0.6944484040256372,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,794,138,"[0.22177575013160206, 0.9646506874767743]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"E-DAIC conflict minus agreement, Qwen3-Omni",True,180,Table 2 (tex l.168-173): 0.30 / 0.97; l.180 'intervals ... exclude zero for all six models on depression',-0.6719322152197484,-0.7266207921961361,-0.6105302443655258,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,794,138,"[0.30075451833655026, 0.9726867335562988]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"E-DAIC conflict minus agreement, Audio Flamingo 2",True,180,Table 2 (tex l.168-173): 0.53 / 0.63; l.180 'intervals ... exclude zero for all six models on depression',-0.10112514931361882,-0.16472734981618803,-0.0383837623489771,0.00399800099950025,0.008995502248875561,True,9,0.019990004997501247,True,12,True,2000,0,1997,3,794,138,"[0.5285664151605545, 0.6296915644741733]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"E-DAIC conflict minus agreement, Audio Flamingo 3",True,180,Table 2 (tex l.168-173): 0.42 / 0.84; l.180 'intervals ... exclude zero for all six models on depression',-0.4189537626771086,-0.48775691301850915,-0.3461386092550403,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,794,138,"[0.4235304439375329, 0.8424842066146415]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"E-DAIC conflict minus agreement, Kimi-Audio",True,180,Table 2 (tex l.168-173): 0.53 / 0.89; l.180 'intervals ... exclude zero for all six models on depression',-0.36778026473510794,-0.43943881868036716,-0.30200720169061257,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,794,138,"[0.5258466397613617, 0.8936269044964696]",<local data dir>/release/edaic_rerun/part17/T1_perclip_all966.csv
ARMS,"Pitt conflict minus agreement, Qwen2-Audio",True,180,Table 2: 0.41 / 0.70; l.180 'exclude zero ... for the three Qwen models on Pitt',-0.28525116027535447,-0.3949687042417685,-0.14847664246429185,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,468,228,"[0.41320132013201316, 0.6984524804073676]",<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv
ARMS,"Pitt conflict minus agreement, Qwen2.5-Omni",True,180,Table 2: 0.53 / 0.71; l.180 'exclude zero ... for the three Qwen models on Pitt',-0.1731413241574784,-0.2958098595289466,-0.039183893552420856,0.01199400299850075,0.01199400299850075,True,9,0.047976011994003,True,12,True,2000,0,1989,11,468,228,"[0.5322332233223322, 0.7053745474798107]",<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv
ARMS,"Pitt conflict minus agreement, Qwen3-Omni",True,180,Table 2: 0.61 / 0.82; l.180 'exclude zero ... for the three Qwen models on Pitt',-0.21652859163467364,-0.32422614340770245,-0.10517054551378703,0.0009995002498750624,0.008995502248875561,True,9,0.01199400299850075,True,12,True,2000,0,2000,0,468,228,"[0.6066006600660065, 0.8231292517006802]",<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv
ARMS,"Pitt conflict minus agreement, Audio Flamingo 2",False,180,Table 2: 0.58 / 0.53; not claimed significant (family member only),0.07658144260541344,-0.030711793524685886,0.18691198211973886,0.17391304347826086,,,0,0.5217391304347826,False,12,False,2000,0,173,1827,468,228,"[0.6310231023102311, 0.5544416597048176]",<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv
