ARMS      | E-DAIC conflict minus agreement, Qwen2-Audio                           | l.180 | -0.7328 [-0.7780, -0.6837] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=138 aucs=[0.228, 0.9608]
ARMS      | E-DAIC conflict minus agreement, Qwen2.5-Omni                          | l.180 | -0.7429 [-0.7869, -0.6944] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=138 aucs=[0.2218, 0.9647]
ARMS      | E-DAIC conflict minus agreement, Qwen3-Omni                            | l.180 | -0.6719 [-0.7266, -0.6105] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=138 aucs=[0.3008, 0.9727]
ARMS      | E-DAIC conflict minus agreement, Audio Flamingo 2                      | l.180 | -0.1011 [-0.1647, -0.0384] | p=0.0040 | Holm(claimed)=0.0090 True | Holm(full)=0.0200 True | B=2000 skip=0 spk=138 aucs=[0.5286, 0.6297]
ARMS      | E-DAIC conflict minus agreement, Audio Flamingo 3                      | l.180 | -0.4190 [-0.4878, -0.3461] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=138 aucs=[0.4235, 0.8425]
ARMS      | E-DAIC conflict minus agreement, Kimi-Audio                            | l.180 | -0.3678 [-0.4394, -0.3020] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=138 aucs=[0.5258, 0.8936]
ARMS      | Pitt conflict minus agreement, Qwen2-Audio                             | l.180 | -0.2853 [-0.3950, -0.1485] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=228 aucs=[0.4132, 0.6985]
ARMS      | Pitt conflict minus agreement, Qwen2.5-Omni                            | l.180 | -0.1731 [-0.2958, -0.0392] | p=0.0120 | Holm(claimed)=0.0120 True | Holm(full)=0.0480 True | B=2000 skip=0 spk=228 aucs=[0.5322, 0.7054]
ARMS      | Pitt conflict minus agreement, Qwen3-Omni                              | l.180 | -0.2165 [-0.3242, -0.1052] | p=0.0010 | Holm(claimed)=0.0090 True | Holm(full)=0.0120 True | B=2000 skip=0 spk=228 aucs=[0.6066, 0.8231]
ARMS      | Pitt conflict minus agreement, Audio Flamingo 2                        | l.180 | +0.0766 [-0.0307, +0.1869] | p=0.1739 | Holm(claimed)=nan None | Holm(full)=0.5217 False | B=2000 skip=0 spk=228 aucs=[0.631, 0.5544]
ARMS      | Pitt conflict minus agreement, Audio Flamingo 3                        | l.180 | +0.0347 [-0.0698, +0.1474] | p=0.5057 | Holm(claimed)=nan None | Holm(full)=1.0000 False | B=2000 skip=0 spk=228 aucs=[0.6169, 0.5822]
ARMS      | Pitt conflict minus agreement, Kimi-Audio                              | l.180 | -0.0030 [-0.1134, +0.1065] | p=0.9385 | Holm(claimed)=nan None | Holm(full)=1.0000 False | B=2000 skip=0 spk=228 aucs=[0.7197, 0.7227]
FINE TUNE | projector fine-tune minus zero-shot, PC-GITA                           | l.226 | +0.3227 [+0.2391, +0.4040] | p=0.0010 | Holm(claimed)=0.0060 True | Holm(full)=0.0080 True | B=2000 skip=0 spk=100 aucs=[0.8862, 0.5635]
FINE TUNE | projector fine-tune minus zero-shot, NeuroVoz                          | l.226 | +0.2078 [+0.1588, +0.2578] | p=0.0010 | Holm(claimed)=0.0060 True | Holm(full)=0.0080 True | B=2000 skip=0 spk=107 aucs=[0.9028, 0.6951]
FINE TUNE | projector fine-tune minus zero-shot, MDVR-KCL                          | l.226 | -0.0149 [-0.2709, +0.2364] | p=0.9275 | Holm(claimed)=nan None | Holm(full)=0.9275 False | B=2000 skip=0 spk=37 aucs=[0.6994, 0.7143]
FINE TUNE | projector fine-tune minus zero-shot, Pitt                              | l.226 | +0.1095 [+0.0454, +0.1728] | p=0.0030 | Holm(claimed)=0.0090 True | Holm(full)=0.0150 True | B=2000 skip=0 spk=228 aucs=[0.7673, 0.6578]
FINE TUNE | projector fine-tune minus zero-shot, ADReSSo                           | l.226 | +0.2096 [+0.1294, +0.2867] | p=0.0010 | Holm(claimed)=0.0060 True | Holm(full)=0.0080 True | B=2000 skip=0 spk=237 aucs=[0.8246, 0.615]
FINE TUNE | projector fine-tune minus zero-shot, ADReSS-2020                       | l.226 | +0.1443 [+0.0490, +0.2370] | p=0.0030 | Holm(claimed)=0.0090 True | Holm(full)=0.0150 True | B=2000 skip=0 spk=156 aucs=[0.7684, 0.6241]
FINE TUNE | projector fine-tune minus zero-shot, E-DAIC whole interview (seed 0)   | l.226 | +0.0223 [-0.0064, +0.0547] | p=0.1249 | Holm(claimed)=nan None | Holm(full)=0.2499 False | B=2000 skip=0 spk=275 aucs=[0.8589, 0.8366]
FINE TUNE | LoRA minus projector fine-tune, Pitt                                   | l.226 | +0.0577 [+0.0154, +0.1044] | p=0.0080 | Holm(claimed)=0.0090 True | Holm(full)=0.0240 True | B=2000 skip=0 spk=228 aucs=[0.825, 0.7673]
CONTROLS  | encoder probe after minus before channel normalisation, PC-GITA        | l.149 | -0.0661 [-0.1181, -0.0180] | p=0.0130 | Holm(claimed)=0.0260 True | Holm(full)=0.0520 False | B=2000 skip=0 spk=100 aucs=[0.8298, 0.8959]
CONTROLS  | encoder probe after minus before channel normalisation, NeuroVoz       | l.149 | -0.0308 [-0.0608, -0.0012] | p=0.0370 | Holm(claimed)=0.0370 True | Holm(full)=0.1109 False | B=2000 skip=0 spk=107 aucs=[0.8924, 0.9233]
CONTROLS  | zero-shot answer after minus before channel normalisation, PC-GITA     | l.149 | -0.0054 [-0.0437, +0.0357] | p=0.7786 | Holm(claimed)=nan None | Holm(full)=0.7786 False | B=2000 skip=0 spk=100 aucs=[0.5674, 0.5728]
CONTROLS  | zero-shot answer after minus before channel normalisation, NeuroVoz    | l.149 | -0.0117 [-0.0332, +0.0098] | p=0.2659 | Holm(claimed)=nan None | Holm(full)=0.5317 False | B=2000 skip=0 spk=107 aucs=[0.6991, 0.7108]
