v2_row_index,part,id,paper_role,agree_4dp_v2,value_computed,value_verified_v2,lo_verified_v2,hi_verified_v2,twin_file,twin_where,twin_value_now,twin_lo_now,twin_hi_now,result
435,16,3a_pcgita_llm_best_stage,RELEASED ONLY,NO (twin gives 0.8961),0.8960,0.8961,0.8343,0.9462,scores/leftovers_23sep/p16twins/twins_p16.tsv,id 3a_pcgita_llm_best_stage (kind recompute; file scores/leftovers_23sep/p16twins/lo-p16twins-6/twin_pcgita_llm.json),0.8960,0.8341,0.9463,"STALE: v2 says NO 0.8961 [0.8343, 0.9462] (all-stage AVX2 run); twins_p16.tsv, rewritten 15:33:54 after v2 at 15:30:42, now gives 0.8960 [0.8341, 0.9463] match yes (top-4 AVX512 run)"
437,16,3a_pcgita_ans_best_stage,RELEASED ONLY,yes (twin file); interval: differs,0.8962,0.8962,0.8326,0.9452,scores/leftovers_23sep/p16twins/twins_p16.tsv,id 3a_pcgita_ans_best_stage (kind recompute; file scores/leftovers_23sep/p16twins/lo-p16twins-7/twin_pcgita_ans.json),0.8962,0.8327,0.9452,"STALE: v2 says interval differs lo 0.8326; twins_p16.tsv now gives [0.8327, 0.9452] match yes"
61,16,M11#31:B_xsys_disagree_MEDIAN_PD,RELEASED ONLY,yes (twin file); interval: differs,0.1027,0.1027,0.0323,0.3617,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_MEDIAN_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",0.1027,0.0323,0.3617,match
67,16,M11#37:B_xsys_disagree_POOLED_PD,RELEASED ONLY,yes (twin file); interval: differs,0.2650,0.2650,0.0782,0.4778,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_POOLED_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",0.2650,0.0782,0.4778,match
330,16,MEDAIC_full_llm_minus_answer_POINT,SUPERSEDED / NOT USED,"yes (second record only, not a recompute)",-0.1432,-0.1432,,,scores/leftovers_23sep/p16twins/twins_p16.tsv,"id MEDAIC_full_llm_minus_answer_POINT (kind log twin (second record, not a recompute); file release/edaic_rerun/logs/podA/o25_full_rep.log + release/edaic_rerun/variants/o25_full_zeroshot_scores.csv)",-0.1432,,,"match (second record, labelled as such)"
334,16,MEDAIC_full_ans_minus_answer_POINT,RELEASED ONLY,"yes (second record only, not a recompute)",-0.0743,-0.0743,,,scores/leftovers_23sep/p16twins/twins_p16.tsv,"id MEDAIC_full_ans_minus_answer_POINT (kind log twin (second record, not a recompute); file release/edaic_rerun/logs/podA/o25_full_rep.log + release/edaic_rerun/variants/o25_full_zeroshot_scores.csv)",-0.0743,,,"match (second record, labelled as such)"
417,16,3b_agreement_auc_wo_d,SUPERSEDED / NOT USED,yes (twin file),0.9341,0.9341,0.9021,0.9604,scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_direction.json,"cells[arm=agreement].auc_wo_d_trainz (sklearn 1.9.1, numpy 2.1.2, python 3.12.3)",0.9341,0.9021,0.9604,match
126,16,M5_all_randfloor,SUPERSEDED / NOT USED,yes (twin file),0.0124,0.0124,0.0005,0.0343,scores/leftovers_23sep/p16twins/twins_p16.tsv,id M5_all_randfloor (kind recompute; file scores/leftovers_23sep/p16twins/mac/twin_m5_mac.json),0.0124,0.0005,0.0343,match
441,16,POD4_4b_parshare,RELEASED ONLY,yes (twin file),0.5871,0.5871,,,scores/leftovers_23sep/p16twins/twins_p16.tsv,id POD4_4b_parshare (kind recompute; file release/edaic_rerun/part16/POD4/cha_overlap_468.csv),0.5871,,,match
439,16,POD4_4b_invwin,RELEASED ONLY,yes (twin file),158,158,,,scores/leftovers_23sep/p16twins/twins_p16.tsv,id POD4_4b_invwin (kind recompute; file release/edaic_rerun/part16/POD4/cha_overlap_468.csv),158,,,match
59,16,M11#29:F_wer_vs_local_copy_mean_PD,RELEASED ONLY,yes (twin file),0.3123,0.3123,0.1974,0.4388,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_F_wer_vs_local_copy_mean_PD, verifier_value / verifier_lo / verifier_hi (bootstrap rule: within-cell speakers (final))",0.3123,0.1974,0.4388,match
66,16,M11#36:B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control,RELEASED ONLY,yes (twin file),0.0594,0.0594,-0.1338,0.2707,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_B_xsys_disagree_ge20w_MEAN_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",0.0594,-0.1355,0.2708,STALE interval: v2 lo/hi_verified -0.1338/0.2707 (all-37 run1); m7m11_values.tsv final (15:33:08) gives -0.1355/0.2708 on the 31 cell speakers; row itself has no interval
40,16,M11#10:C_mean_token_logprob_diff_PD_minus_control,RELEASED ONLY,yes (twin file),0.0253,0.0253,-0.0532,0.1288,scores/leftovers_23sep/m7m11/m7m11_values.tsv,"id M11fix_C_mean_token_logprob_diff_PD_minus_control, verifier_value / verifier_lo / verifier_hi (bootstrap rule: all 37 speakers, same idx for both groups (paired))",0.0253,-0.0532,0.1288,match
364,16,1d_agreement_auc,PAPER VALUE,yes (twin file),0.9311,0.9311,0.9028,0.9568,release/edaic_rerun/part16/POD1/POD1_VERIFY.csv,line 11 (interval: id_lo / id_hi rows of the same verifier table),0.9311,0.9028,0.9568,match
360,16,1f_agree_gen_logit_agreement,PAPER VALUE,yes (twin file),0.9814,0.9814,,,release/edaic_rerun/part16/POD1/POD1_VERIFY.csv,line 65,0.9814,,,match
359,16,1f_share_yesno_agreement,PAPER VALUE,yes (twin file),1.0000,1.0000,,,release/edaic_rerun/part16/POD1/POD1_VERIFY.csv,line 64,1.0000,,,match
371,16,1b_p3_conflict_auc,PAPER VALUE,yes (twin file),0.2392,0.2392,0.1940,0.2865,release/edaic_rerun/part16/POD1/POD1_VERIFY.csv,line 32 (interval: id_lo / id_hi rows of the same verifier table),0.2392,0.1940,0.2865,match
557,16,3b_fix#04:Qwen3_Omni_Pitt_conflict_probe,PAPER VALUE,yes (twin file),0.6394,0.6394,0.5323,0.7418,release/edaic_rerun/part17/verify/T3_verify_others.json,,0.6394,0.5323,0.7418,match (twin_where blank; value is /q3o_conflict_probe)
560,16,3b_fix#07:Qwen3_Omni_Pitt_agreement_probe,PAPER VALUE,yes (twin file),0.9032,0.9032,0.8626,0.9374,release/edaic_rerun/part17/verify/T3_verify_others.json,,0.9032,0.8626,0.9374,match (twin_where blank; value is /q3o_agreement_probe)
634,17,T2_adress2020_single_pod_q2a_podA_curves_adress2020_curve,RELEASED ONLY,no twin,1.644e-03,,,,,,,,,"correct: no twin, value_verified blank"
670,17,T2_edaic_seed_pod_kimi_repeats_edaic_auc,RELEASED ONLY,no twin,8.371e-04,,,,,,,,,"correct: no twin, value_verified blank"
804,17,T6_audio_agreement,PAPER VALUE,yes (twin file),0.7054,0.7054,0.6431,0.7658,release/edaic_rerun/part17/verify/T6_verify_cells.csv,line 8,0.7054,0.6431,0.7658,match
590,17,T1_q3o_agreement_NEW_311distinct,PAPER VALUE,yes (twin file),0.9727,0.9727,0.9507,0.9904,release/edaic_rerun/part17/verify/T1_verify_comparison.csv,line 11,0.9727,0.9507,0.9904,match
571,16,SEED09_3a,PAPER VALUE,yes (twin file),0.8122,0.8122,,,release/edaic_rerun/part16/verify/POD3_verify_out.json,/rows[8],0.8122,,,match
170,16,M7_kcl_zeroshot,PAPER VALUE,yes (twin file),0.7143,0.7143,0.5210,0.8810,release/edaic_rerun/part16/verify/M7_verify_out.json,/kcl,0.7143,0.5210,0.8810,match
180,16,M8#01:Qwen2.5_Omni_A_edaic_part14_conflict_src_primary,PAPER VALUE,yes (twin file),0.2218,0.2218,0.1829,0.2632,release/edaic_rerun/part16/verify/M8_verify_compare.csv,line 2,0.2218,0.1829,0.2632,match
768,17,T5_neurovoz_probe_max,PAPER VALUE,yes (twin file),0.9335,0.9335,,,release/edaic_rerun/part17/verify/T5_verify.json,results[dataset=neurovoz] probe_max,0.9335,,,"match, but the twin is a re-read of the same saved curve; the T5 refit does not reproduce curves at 4 dp"
353,16,1a_q2a_pearson_text_audio,PAPER VALUE,yes (twin file),0.5155,0.5155,,,release/edaic_rerun/part16/verify/POD1_verify_out.json,[110],0.5155,,,match
384,16,P16.POD2.V3,PAPER VALUE,yes (twin file),0.5189,0.5189,0.4151,0.6300,release/edaic_rerun/part16/verify/POD2_verify_out.json,/V3_projector_conflict,0.5189,0.4151,0.6300,match
102,16,M4#08:yes_rate_Qwen2_Audio_agreement,PAPER VALUE,yes (twin file),0.8675,0.8675,0.8159,0.9102,release/edaic_rerun/part16/verify/M4_verify_out.json,/cells[3],0.8675,0.8159,0.9102,match
627,17,T2_pitt_single_pod_omni_final_pitt,RELEASED ONLY,yes (twin file),6.126e-02,6.126e-02,,,release/edaic_rerun/part17/verify/T2_verify_compiled.json,[14],6.126e-02,,,match
516,16,4b_adress2020_paired_zs_C_to_B,RELEASED ONLY,yes (twin file),0.0210,0.0210,-0.0325,0.0756,release/edaic_rerun/part16/verify/POD4B_verify_out_integers.json,/4b_adress2020_paired_zs_C_to_B,0.0210,-0.0325,0.0756,match
698,17,T3_agreement_refit_probe,SUPERSEDED / NOT USED,yes (twin file),0.9317,0.9317,0.9020,0.9578,release/edaic_rerun/part17/verify/T3_verify.json,/results/AGREEMENT_refit_probe,0.9317,0.9020,0.9578,match
346,16,MEDAIC_answer_full_minus_30s,RELEASED ONLY,yes (twin file),0.1664,0.1664,0.0848,0.2492,release/edaic_rerun/part16/verify/MEDAIC_verify_results.json,/MEDAIC_answer_full_minus_30s,0.1664,0.0848,0.2492,match
71,16,M2.label_elig.agreement,RELEASED ONLY,yes (twin file),0.4286,0.4286,0.4130,0.4446,release/edaic_rerun/part16/verify/M2_verify_out.json,/cells/label_elig,0.4286,0.4130,0.4446,match
139,16,M5_agreement_refit_auc_probe,SUPERSEDED / NOT USED,yes (twin file),0.9317,0.9317,0.9020,0.9578,release/edaic_rerun/part16/verify/M5_verify_out.json,"checked: ""agreement_refit auc_probe""",0.9317,0.9020,0.9578,match
495,16,POD4_4b_durcue,RELEASED ONLY,yes (twin file),0.6648,0.6648,,,release/edaic_rerun/part16/verify/POD4_VERIFIER_SUMMARY.tsv,line 25,0.6648,,,match
223,16,M9.AudioFlamingo2.adresso.zero_shot_answer,SUPPORT,yes (twin file),0.9614,0.9614,0.9607,0.9628,release/edaic_rerun/part16/verify/M9_verify_cells.json,/cells[1],0.9614,0.9607,0.9628,match
684,17,T3_conflict_perp_z,PAPER VALUE,yes (twin file),0.6013,0.6013,0.4929,0.7114,release/edaic_rerun/part17/verify/T3_verify.log,line 55,0.6013,0.4929,0.7114,match
715,17,T4_edaic_o25_llm_avgprob,SUPERSEDED / NOT USED,yes (twin file),0.7088,0.7088,0.6232,0.7874,release/edaic_rerun/part17/verify/T7b_verify_out/T7b_verify.json,/cells/published_perclip_llm_avgprob_vs_answer,0.7088,0.6232,0.7874,match
