layer,within_agreement_enc,conflict_enc,within_agreement_llm,conflict_llm
0,0.716,0.491,0.882,0.479
1,0.776,0.521,0.882,0.482
2,0.801,0.535,0.882,0.480
3,0.793,0.517,0.886,0.483
4,0.823,0.493,0.887,0.481
5,0.840,0.508,0.889,0.491
6,0.851,0.511,0.895,0.497
7,0.870,0.499,0.901,0.499
8,0.874,0.516,0.905,0.503
9,0.871,0.512,0.911,0.513
10,0.867,0.484,0.919,0.511
11,0.873,0.468,0.922,0.519
12,0.890,0.497,0.931,0.526
13,0.875,0.530,0.939,0.518
14,0.877,0.515,0.942,0.515
15,0.882,0.524,0.940,0.514
16,0.901,0.540,0.944,0.503
17,0.908,0.499,0.949,0.511
18,0.906,0.548,0.953,0.517
19,0.915,0.574,0.953,0.517
20,0.943,0.578,0.951,0.524
21,0.935,0.582,0.951,0.527
22,0.933,0.552,0.949,0.532
23,0.945,0.548,0.950,0.529
24,0.955,0.555,0.949,0.532
25,0.943,0.561,0.949,0.534
26,0.941,0.559,0.949,0.539
27,0.944,0.539,0.949,0.547
28,0.912,0.554,0.949,0.546
29,0.900,0.572,0.951,0.536
30,0.909,0.556,0.947,0.541
31,0.899,0.527,0.945,0.545
32,0.893,0.485,0.943,0.538
