llm_layer,auc_overall,auc_agreement,auc_conflict
0,0.500,0.500,0.500
1,0.751,0.829,0.582
2,0.727,0.804,0.557
3,0.717,0.807,0.515
4,0.700,0.784,0.510
5,0.737,0.826,0.528
6,0.733,0.820,0.538
7,0.725,0.819,0.518
8,0.723,0.821,0.487
9,0.750,0.847,0.511
10,0.750,0.852,0.478
11,0.759,0.858,0.510
12,0.755,0.852,0.503
13,0.767,0.858,0.542
14,0.761,0.855,0.521
15,0.764,0.856,0.534
16,0.812,0.895,0.596
17,0.808,0.891,0.623
18,0.819,0.892,0.651
19,0.823,0.902,0.624
20,0.819,0.894,0.641
21,0.819,0.895,0.632
22,0.828,0.895,0.668
23,0.831,0.894,0.686
24,0.824,0.888,0.671
25,0.817,0.885,0.654
26,0.820,0.888,0.640
27,0.809,0.876,0.636
28,0.810,0.880,0.618
29,0.803,0.884,0.575
30,0.804,0.885,0.583
31,0.807,0.889,0.586
32,0.803,0.885,0.579
