stage,auc_mean,auc_std
0,0.7538482504785577,0.016651224220557818
1,0.7522968990321157,0.016045446000506416
2,0.7565289749217408,0.016159251036187292
3,0.7556942895845292,0.01892763560815756
4,0.7567033843584576,0.01825486189372455
5,0.758890461840601,0.019038565275223695
6,0.7561178195880613,0.02333157707615923
7,0.76283188292646,0.024487249432780814
8,0.7685847067800129,0.026809348123335127
9,0.7732489438736179,0.02541148420630115
10,0.7806683135137257,0.028516114950246932
11,0.7901534941707502,0.027950582263437124
12,0.7983203753895509,0.02454712702633284
13,0.8081555767176043,0.026673157579528897
14,0.8018916730311002,0.02524605591302291
15,0.8069137103080888,0.024653570592103168
16,0.8107302340336602,0.02292486045809592
17,0.8199964112301202,0.02704946726256392
18,0.8262806438485791,0.031237481039564582
19,0.8264562243184927,0.03346363223406061
20,0.8326085830890596,0.032751751732030064
21,0.8425702998539537,0.036240112055907776
22,0.8473001291910567,0.04055196322824346
23,0.8529459721112674,0.03969043703177387
24,0.8547674106892277,0.03891493497693604
25,0.8557337565434062,0.03794547630920158
26,0.856920962728011,0.04020141207898386
27,0.8585488524861408,0.03575476446830194
28,0.8605631897918163,0.034621552204519394
29,0.8618097053270477,0.0346377077919078
30,0.8548493731366149,0.03847803293773487
31,0.8488852215177985,0.035076773842829874
32,0.8508968643172871,0.03069983083285599
