clip,speaker,p_probe_seed0,p_probe_seed1,p_probe_seed2,p_probe_seed3,p_probe_seed4,fold_seed0,fold_seed1,fold_seed2,fold_seed3,fold_seed4,p_probe_single_split,fold_single_split,p_yes_zeroshot,p_yes_zeroshot_part26_pod_rerun
AVPEPUDEAC0001_readtext.wav,AVPEPUDEAC0001,0.143299862742424,0.9957345128059387,0.972963809967041,0.36335667967796326,0.9174206256866455,0,4,1,3,3,0.8563982844352722,4,0.32109490141555586,0.3274937469114217
AVPEPUDEAC0003_readtext.wav,AVPEPUDEAC0003,0.28579699993133545,0.4042901396751404,0.8358678817749023,0.036604031920433044,0.2777436375617981,2,4,3,3,1,0.43039363622665405,3,0.4692662844451852,0.45708027690633
AVPEPUDEAC0004_readtext.wav,AVPEPUDEAC0004,0.1726524382829666,0.013803268782794476,0.5052913427352905,0.9744968414306641,0.9230833053588867,2,2,3,0,4,0.02866899035871029,2,0.3249230498352432,0.3210900164463082
AVPEPUDEAC0005_readtext.wav,AVPEPUDEAC0005,0.06572858989238739,0.09479913860559464,0.0017036993522197008,0.016346920281648636,0.40517857670783997,0,0,2,0,1,0.0012669626157730818,1,0.631439284697332,0.6002247963468906
AVPEPUDEAC0006_readtext.wav,AVPEPUDEAC0006,0.8524644374847412,0.08450839668512344,0.686674177646637,0.027228428050875664,0.19838353991508484,1,3,1,2,0,0.09305404126644135,0,0.40334009261723175,0.42892838309999753
AVPEPUDEAC0007_readtext.wav,AVPEPUDEAC0007,0.509323000907898,0.04147709533572197,0.17716778814792633,0.060235392302274704,0.3040173649787903,1,1,1,1,1,0.4916674494743347,4,0.2384917861470232,0.23701586109947592
AVPEPUDEAC0008_readtext.wav,AVPEPUDEAC0008,0.6680687665939331,0.008808077313005924,0.004982193931937218,0.1886853724718094,0.01367206685245037,3,2,2,0,1,0.0019491637358441949,3,0.43078542313921464,0.43464242528477814
AVPEPUDEAC0010_readtext.wav,AVPEPUDEAC0010,0.0013875827426090837,0.00480859586969018,0.030497008934617043,0.009053454734385014,0.012490340508520603,4,0,2,0,2,0.9455636739730835,2,0.24289141308161724,0.2557693911397229
AVPEPUDEAC0011_readtext.wav,AVPEPUDEAC0011,0.7535322308540344,0.9626673460006714,0.9966365098953247,0.971760094165802,0.9338741898536682,1,0,0,4,0,0.0016109416028484702,1,0.5240010413212467,0.5507142056728553
AVPEPUDEAC0012_readtext.wav,AVPEPUDEAC0012,0.01669134758412838,0.8223427534103394,0.8185864090919495,0.004120153374969959,0.20164619386196136,2,0,1,4,2,0.36678051948547363,0,0.542640486115255,0.5498708684131015
AVPEPUDEAC0013_readtext.wav,AVPEPUDEAC0013,0.6609622836112976,0.9741554260253906,0.8176626563072205,0.5322895646095276,0.8840497732162476,4,3,4,3,2,0.7927197813987732,4,0.5518858431409981,0.5529811451081329
AVPEPUDEAC0014_readtext.wav,AVPEPUDEAC0014,0.0021123536862432957,0.06454969942569733,0.00012050098303006962,0.41143131256103516,0.0712759867310524,1,2,1,3,1,0.7434012293815613,3,0.2784965588579428,0.2948071009535973
AVPEPUDEAC0015_readtext.wav,AVPEPUDEAC0015,0.0004015216254629195,0.0059897564351558685,0.00237172469496727,2.1756636670033913e-06,3.3204782994289417e-06,2,2,2,1,4,0.009072995744645596,2,0.4423437378100938,0.4380119945603606
AVPEPUDEAC0016_readtext.wav,AVPEPUDEAC0016,0.046369150280952454,0.0367276556789875,0.004445078317075968,0.01282588578760624,0.002093314426019788,0,4,2,3,3,0.002867281436920166,1,0.18980829452893697,0.22808816668051793
AVPEPUDEAC0017_readtext.wav,AVPEPUDEAC0017,0.6271969079971313,0.5934076309204102,0.00020419477368704975,0.3515881896018982,0.2682819962501526,0,2,3,3,0,0.14572298526763916,0,0.6922619053302596,0.7146524352317015
AVPEPUDEAC0018_readtext.wav,AVPEPUDEAC0018,0.0037096699234098196,0.0011706002987921238,0.00017314728756900877,0.010134146548807621,0.006195356138050556,3,0,0,0,4,0.00931061152368784,4,0.3630141998116717,0.3359349291684657
