clip,path,speaker,arm,src_clip
conflict_Con_015-0_67805.wav,/workspace/data/pitt468/conflict_Con_015-0_67805.wav,Control015,conflict,conflict_Con_015-0_67805.wav
conflict_Con_015-1_4987.wav,/workspace/data/pitt468/conflict_Con_015-1_4987.wav,Control015,conflict,conflict_Con_015-1_4987.wav
conflict_Con_017-4_6597.wav,/workspace/data/pitt468/conflict_Con_017-4_6597.wav,Control017,conflict,conflict_Con_017-4_6597.wav
conflict_Con_021-1_38448.wav,/workspace/data/pitt468/conflict_Con_021-1_38448.wav,Control021,conflict,conflict_Con_021-1_38448.wav
conflict_Con_034-4_46285.wav,/workspace/data/pitt468/conflict_Con_034-4_46285.wav,Control034,conflict,conflict_Con_034-4_46285.wav
conflict_Con_042-2_2251.wav,/workspace/data/pitt468/conflict_Con_042-2_2251.wav,Control042,conflict,conflict_Con_042-2_2251.wav
conflict_Con_045-0_35325.wav,/workspace/data/pitt468/conflict_Con_045-0_35325.wav,Control045,conflict,conflict_Con_045-0_35325.wav
conflict_Con_045-2_39349.wav,/workspace/data/pitt468/conflict_Con_045-2_39349.wav,Control045,conflict,conflict_Con_045-2_39349.wav
conflict_Con_052-0_3822.wav,/workspace/data/pitt468/conflict_Con_052-0_3822.wav,Control052,conflict,conflict_Con_052-0_3822.wav
conflict_Con_068-0_1810.wav,/workspace/data/pitt468/conflict_Con_068-0_1810.wav,Control068,conflict,conflict_Con_068-0_1810.wav
