dataset	display	condition	scope	refit_status	n_clips	n_speakers	n_pos	answer_auc	answer_lo	answer_hi	boot_usable	refit_above_answer	refit_above_hi	every_layer_on_refit	refit_not_above_answer	refit_not_above_hi	refit_min	refit_min_layer	refit_max	refit_max_layer	refit_min_minus_answer	refit_min_minus_hi	refit_mean_above_answer	refit_mean_above_hi	range_above_answer_same_folds	range_above_hi_same_folds	range_above_answer_mac_folds	range_above_hi_mac_folds	paired_delta_lo_gt0	paired_delta_hi_lt0	paired_delta_min_lo	refit_vs_saved_maxabs_oof	refit_vs_saved_match4dp_oof	refit_vs_saved_maxabs_mean	oof_recompute_maxabs	saved_above_answer	saved_above_hi	saved_min	saved_min_layer	saved_max	saved_not_above_answer	saved_not_above_hi	refit_pod	refit_cpu	refit_openblas	refit_env	refit_states	note	refit_file	saved_curve	answer_file	answer_column	perclip_csv	boot_npz
neurovoz	NeuroVoz	PD	requested	refit	1270	107	621	0.6950814953762632	0.6355883997757804	0.7518676424825447	2000	32	32	holds			0.836113530291865	0	0.9343149004165954	25	0.1410320349156018	0.0842458878093203	32	32	32 to 32 over 3 files	32 to 32 over 3 files	32 to 32 over 1 files	32 to 32 over 1 files	32	0	0.06540422133150849	0.001091732852970706	5	0.0011206968026798991	0.0	32	32	0.8364596592304773	0	0.9335271159147357			lo-t5-8	AMD EPYC 9655P 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	other extraction of the same clips (T5 manifest: p_yes max diff 0.047 vs the saved zero-shot run)		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-8/out/neurovoz_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_neurovoz_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_neurovoz.csv	scores/part25/T5/boot/T5_boot_neurovoz.npz
kcl	MDVR-KCL	PD	requested	NOT LANDED (no refit)	37	37	16	0.7142857142857143	0.520979020979021	0.8809565434565434	2000			no refit																						32	0	0.7470238095238095	0	0.8482142857142857		0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31						no T5 refit: T5 ran only pitt, edaic30, adress2020, neurovoz and edaicfull; the T5 verifier (leftovers_23sep/verify t5v, v5_notpossible.json) scanned 1461 npz files and found no hidden states from the run behind the saved curve; saved curve counts are given instead		<local data dir>/release/omni_final/omni_kcl_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_kcl_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_kcl.csv	scores/part25/T5/boot/T5_boot_kcl.npz
adresso	ADReSSo	AD	requested	NOT LANDED (no refit)	237	237	122	0.61503920171062	0.5432332651905852	0.6889640923339982	2000			no refit																						32	32	0.7413043478260868	0	0.9029935851746257								no T5 refit: T5 ran only pitt, edaic30, adress2020, neurovoz and edaicfull; the T5 verifier (leftovers_23sep/verify t5v, v5_notpossible.json) scanned 1461 npz files and found no hidden states from the run behind the saved curve; saved curve counts are given instead		<local data dir>/release/omni_final/omni_adresso_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_adresso_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_adresso.csv	scores/part25/T5/boot/T5_boot_adresso.npz
adress2020	ADReSS-2020	AD	requested	refit	156	156	78	0.6240959894806049	0.5348478618421052	0.7148052262172812	2000	32	24	holds		0;1;2;3;4;5;6;7	0.6490795529257067	2	0.8254437869822485	25	0.024983563445101886	-0.06572567329157442	32	24	32 to 32 over 3 files	24 to 24 over 3 files	32 to 32 over 1 files	26 to 26 over 1 files	22	0	-0.10976770779472518	0.002876397107166251	1	0.0048958333333334325	0.0	32	24	0.6502301117685733	2	0.8247863247863249		0;1;2;3;4;5;6;7	lo-t5-7	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	other extraction of the same clips (T5 manifest: p_yes max diff 0.038 vs the saved zero-shot run)		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-7/out/adress2020_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_adress2020_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_adress2020_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_adress2020.csv	scores/part25/T5/boot/T5_boot_adress2020.npz
edaic_whole_p23	E-DAIC whole interview, lifted limit, answer 0.84 of Table 1 (PART 23 A2 p_yes_whole)	MDD	requested	refit	275	275	66	0.8365956212846165	0.7785777395969262	0.886634568107391	2000	0	0	fails (0/32)	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0.6921850079744816	21	-0.2677250978686385	-0.31776404469141306	0	0	0 to 0 over 3 files	0 to 0 over 3 files	0 to 0 over 1 files	0 to 0 over 1 files	0	32	-0.3659418423519493	0.002972306800058	2	0.002829457364341037	0.0	0	0	0.5683630564013339	30	0.6895751776134552	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	default input limit whole interview states (part17 T7 shards); the refit is NOT the lifted-limit PART 23 run behind the Figure 1 E-DAIC curve		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv	scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv	p_yes_whole	scores/part25/T5/perclip/T5_perclip_edaic_whole_p23.csv	scores/part25/T5/boot/T5_boot_edaic_whole_p23.npz
edaic_lifted_p22	E-DAIC whole interview, lifted limit (PART 22 p_yes_lifted)	MDD	requested	refit	275	275	66	0.8379005364651297	0.7804703303300632	0.8875656883135696	2000	0	0	fails (0/32)	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0.6921850079744816	21	-0.26903001304915175	-0.31869516489759164	0	0	0 to 0 over 3 files	0 to 0 over 3 files	0 to 0 over 1 files	0 to 0 over 1 files	0	32	-0.36668644345838375	0.002972306800058	2	0.002829457364341037	0.0	0	0	0.5683630564013339	30	0.6895751776134552	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	default input limit whole interview states (part17 T7 shards)		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv	<local data dir>/release/scores/part22/edaic_lifted_perclip.csv	p_yes_lifted	scores/part25/T5/perclip/T5_perclip_edaic_lifted_p22.csv	scores/part25/T5/boot/T5_boot_edaic_lifted_p22.npz
edaic_full_o25	E-DAIC whole interview, default limit (variants o25_full)	MDD	requested	refit	275	275	66	0.8284761490503119	0.7707812285181903	0.882681912475135	2000	0	0	fails (0/32)	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0.6921850079744816	21	-0.25960562563433387	-0.31381138905915706	0	0	0 to 0 over 3 files	0 to 0 over 3 files	0 to 0 over 1 files	0 to 0 over 1 files	0	32	-0.3489149561130693	0.002972306800058	2	0.002829457364341037	0.0	0	0	0.5683630564013339	30	0.6895751776134552	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	other extraction of the same clips (T5 manifest: p_yes max diff 0.030 vs o25_full)		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_edaic_full_o25.csv	scores/part25/T5/boot/T5_boot_edaic_full_o25.npz
edaic_full_statesrun	E-DAIC whole interview, default limit, answer from the states run (part16 EDAICFULL)	MDD	requested	refit	275	275	66	0.8277511961722488	0.7702680190413038	0.882162099811676	2000	0	0	fails (0/32)	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.568870523415978	30	0.6921850079744816	21	-0.2588806727562708	-0.31329157639569805	0	0	0 to 0 over 3 files	0 to 0 over 3 files	0 to 0 over 1 files	0 to 0 over 1 files	0	32	-0.3474430367383262	0.002972306800058	2	0.002829457364341037	0.0	0	0	0.5683630564013339	30	0.6895751776134552	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	lo-t5-9	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	same run as this answer file (order file of the T5 edaicfull states)		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-9/out/edaicfull_encproj_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/variants/o25_full_encoder_perlayer.csv	<local data dir>/release/edaic_rerun/part16/EDAICFULL/full_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_edaic_full_statesrun.csv	scores/part25/T5/boot/T5_boot_edaic_full_statesrun.npz
edaic_first30	E-DAIC first 30 s (omni_final)	MDD	requested	refit	275	275	66	0.6620269682470641	0.5831034055337068	0.7314586558773856	2000	2	0	fails (2/32)	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0.4814412063215891	31	0.6686240394374365	1	-0.18058576192547499	-0.25001744955579647	1	0	2 to 2 over 32 files	0 to 0 over 32 files	0 to 0 over 3 files	0 to 0 over 3 files	0	13	-0.2860860062565513	0.0	32	0.0	0.0	2	0	0.4814412063215891	31	0.6686240394374365	2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31	lo-t5-10	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	same extraction run as the saved zero-shot file		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-10/out/edaic30_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_edaic_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_edaic_first30.csv	scores/part25/T5/boot/T5_boot_edaic_first30.npz
pitt	Pitt (extra, not asked)	AD	extra	refit	468	228	290	0.6577683068578071	0.6033242994024883	0.7125368049704085	2000	31	25	fails (31/32)	2	0;1;2;3;4;5;6	0.6517241379310345	2	0.808330104610616	27	-0.0060441689267726195	-0.060812667039374046	32	25	31 to 31 over 21 files	25 to 25 over 21 files	32 to 32 over 2 files	25 to 25 over 2 files	18	0	-0.09293775739838467	0.0	32	0.0	0.0	31	25	0.6517241379310345	2	0.808330104610616	2	0;1;2;3;4;5;6	lo-t5-10	AMD EPYC 9654 96-Core Processor	SkylakeX	numpy 2.1.2 scipy 1.18.1 sklearn 1.9.1	same extraction run as the saved zero-shot file		<local data dir>/release_from_mac/scores/leftovers_23sep/t5/pull/lo-t5-10/out/pitt_encproj_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_encoder_perlayer.csv	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	p_yes	scores/part25/T5/perclip/T5_perclip_pitt.csv	scores/part25/T5/boot/T5_boot_pitt.npz
