pid,fold,p_yes,p_yes_rule,answer_mass,audio_tok,dur_s,seq_len
304,0,0.05184547230601311,0.08516147266763242,0.9971897751092911,7500,900.0,7548
309,0,0.917302668094635,0.9555741417499074,0.9984423667192459,4817,192.7,4865
314,0,0.016657039523124695,0.02443494003983437,0.9978062473237514,7500,900.0,7548
319,0,0.8774768114089966,0.9430671185821498,0.9972279965877533,7500,900.0,7548
324,0,0.02517884224653244,0.03124019017412895,0.9983236063271761,6893,275.7001,6941
329,0,0.01590639166533947,0.02302073795451869,0.9974476769566536,7500,365.4,7548
334,0,0.22270014882087708,0.3347650863130533,0.9940817058086395,7500,900.0,7548
339,0,0.793105959892273,0.9054702054302177,0.9960766136646271,7500,443.5,7548
345,0,0.8856314420700073,0.943410115829104,0.9978857263922691,7500,900.0,7548
350,0,0.8615382313728333,0.9364701356307567,0.9974548518657684,7500,900.0,7548
355,0,0.4532618820667267,0.6346500032993075,0.996329128742218,7500,358.3,7548
360,0,0.13660839200019836,0.22282014696066774,0.9968198835849762,5457,218.3,5505
365,0,0.685949444770813,0.8181734468706364,0.9968152046203613,7500,718.1001,7548
370,0,0.020023440942168236,0.027608474492058725,0.9979523345828056,7500,849.3001,7548
375,0,0.0446808747947216,0.06379516309107255,0.9978885874152184,4427,177.1,4475
380,0,0.030214589089155197,0.056679195119387876,0.9963205605745316,7500,900.0,7548
385,0,0.1276526302099228,0.21232933122235692,0.9965654015541077,2008,80.3001,2056
390,0,0.4532618820667267,0.6085798728890017,0.9975950717926025,7500,569.8,7548
396,0,0.07055959850549698,0.11306889324183085,0.9972998574376106,7500,389.7,7548
402,0,0.665410578250885,0.8083834840419476,0.9973286986351013,7500,462.9999,7548
407,0,0.04146227240562439,0.07160828141683864,0.9967462792992592,7500,900.0,7548
412,0,0.672331690788269,0.7985288261446543,0.9977473020553589,7500,900.0,7548
417,0,0.18010665476322174,0.36331767754997335,0.9915526211261749,7500,451.4999,7548
422,0,0.03567855432629585,0.05675064344432212,0.9975146949291229,7500,804.1,7548
427,0,0.16451644897460938,0.24594209230290487,0.9977422803640366,7500,357.6,7548
432,0,0.04885777831077576,0.08041985265501675,0.9978848993778229,7500,415.5,7548
437,0,0.08035746961832047,0.11298776067836847,0.9980569332838058,7500,485.9001,7548
442,0,0.8221890926361084,0.8992642487900764,0.9970414862036705,7500,900.0,7548
447,0,0.27202457189559937,0.4532083510502568,0.9951952993869781,7500,462.0,7548
452,0,0.24508501589298248,0.3779857832851247,0.9960971474647522,7500,900.0,7548
457,0,0.021287351846694946,0.02761561251515878,0.9981787372380495,7500,900.0,7548
463,0,0.026355354115366936,0.042189612996860255,0.9980659037828445,7500,386.7999,7548
468,0,0.017442483454942703,0.02760042723381312,0.9978505987673998,7500,900.0,7548
473,0,0.023689471185207367,0.027648175083993604,0.9985735863447189,2527,101.1,2575
478,0,0.05108273774385452,0.0638573248640666,0.9970883578062057,7500,900.0,7548
483,0,0.09009299427270889,0.1561734627868881,0.9965052008628845,7500,900.0,7548
488,0,0.039048291742801666,0.06030092740318327,0.997321542352438,7500,455.5,7548
600,0,0.8633915781974792,0.9255151061753046,0.9984833523631096,2455,98.1999,2503
605,0,0.5234203934669495,0.6931639546398675,0.997397243976593,5212,208.5,5260
612,0,0.02931223064661026,0.047447539270418934,0.9976651668548584,7162,286.5,7210
620,0,0.06187598407268524,0.10652523811906688,0.9981664419174194,7500,393.2,7548
626,0,0.042087726294994354,0.050432720865620166,0.9983507506549358,2245,89.8,2293
632,0,0.043365802615880966,0.06381989105020812,0.998022735118866,7500,581.2001,7548
637,0,0.9353464841842651,0.968926616297554,0.9985657427459955,7500,714.6001,7548
650,0,0.14033624529838562,0.22330549401418137,0.9961327314376831,7500,418.5,7548
655,0,0.9773707389831543,0.9842764281277431,0.9992817211896181,6658,266.3001,6706
660,0,0.13296423852443695,0.2229384761062981,0.9951529204845428,7500,900.0,7548
666,0,0.04885777831077576,0.06773813402953104,0.9979515895247459,7500,628.0999,7548
676,0,0.09009299427270889,0.14029818758361365,0.9961965978145599,7500,701.0,7548
683,0,0.13846179842948914,0.2229898241248131,0.9924505949020386,7500,900.0,7548
691,0,0.04742587357759476,0.0638274140278278,0.9979467764496803,7500,900.0,7548
697,0,0.043365802615880966,0.05685952067114331,0.9969559051096439,7500,900.0,7548
705,0,0.9407896995544434,0.9649898638903023,0.9980149045586586,4957,198.3,5005
712,0,0.026759283617138863,0.039693816533267784,0.9976549781858921,7500,900.0,7548
718,0,0.027585284784436226,0.04217086800287938,0.9969687536358833,7500,776.5999,7548
