stage,auc_mean,per_repeat
0,0.661253,0.680017|0.621736|0.665808|0.659473|0.679233
1,0.671265,0.692154|0.635355|0.671678|0.666796|0.690343
2,0.676422,0.691466|0.645157|0.672956|0.684337|0.688193
3,0.670967,0.689084|0.640527|0.669769|0.685074|0.670380
4,0.678198,0.700697|0.646348|0.684057|0.692125|0.667764
5,0.703427,0.725688|0.673286|0.708117|0.715236|0.694808
6,0.692358,0.710122|0.659967|0.697724|0.704698|0.689277
7,0.688842,0.700726|0.653206|0.692019|0.708475|0.689781
8,0.701497,0.731906|0.666631|0.691592|0.707730|0.709628
9,0.705149,0.726027|0.673566|0.700523|0.718907|0.706722
10,0.715494,0.733553|0.684812|0.701143|0.727654|0.730308
11,0.715963,0.721968|0.694973|0.703419|0.724835|0.734618
12,0.715566,0.726036|0.695961|0.710267|0.720670|0.724893
13,0.743255,0.760103|0.724254|0.741302|0.745670|0.744944
14,0.751534,0.756645|0.743985|0.750601|0.756219|0.750223
15,0.754537,0.757226|0.743665|0.754078|0.760664|0.757052
16,0.761858,0.764374|0.760238|0.758427|0.768249|0.758001
17,0.765169,0.765818|0.752460|0.763754|0.783107|0.760703
18,0.779797,0.784308|0.759425|0.775591|0.799971|0.779688
19,0.798582,0.810655|0.775571|0.790856|0.821445|0.794382
20,0.795847,0.799884|0.778913|0.788038|0.821077|0.791321
21,0.790558,0.795370|0.777625|0.777557|0.818084|0.784153
22,0.786519,0.790992|0.777644|0.784812|0.804998|0.774148
23,0.798034,0.797288|0.787292|0.793578|0.815692|0.796319
24,0.815405,0.812137|0.811885|0.809851|0.835839|0.807313
25,0.809930,0.814210|0.799312|0.803216|0.824322|0.808592
26,0.812551,0.819062|0.795874|0.807555|0.825862|0.814403
27,0.814275,0.818365|0.797520|0.809037|0.831519|0.814936
28,0.812303,0.812108|0.795418|0.811914|0.829601|0.812476
29,0.826453,0.830192|0.812592|0.823053|0.842484|0.823944
30,0.827577,0.831064|0.812592|0.825920|0.847695|0.820612
31,0.813925,0.812883|0.793258|0.818917|0.834231|0.810335
