level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	4	0	0	0	0	0.000000	0.000000	612.000000	792.000000	-1	###PAGE###
3	4	0	0	0	0	54.129000	81.953184	245.200484	60.178558	-1	###FLOW###
4	4	0	0	0	0	54.129000	81.953184	244.073482	8.123558	-1	###LINE###
5	4	0	0	0	0	54.13	81.95	20.72	8.06	100	Table
5	4	0	0	0	1	77.11	81.95	6.61	8.06	100	2.
5	4	0	0	0	2	86.52	82.06	34.27	8.02	100	Zero-shot
5	4	0	0	0	3	123.03	82.06	18.11	8.02	100	AUC
5	4	0	0	0	4	143.40	82.06	8.81	8.02	100	on
5	4	0	0	0	5	154.46	82.06	8.81	8.02	100	30
5	4	0	0	0	6	164.78	82.06	3.43	8.02	100	s
5	4	0	0	0	7	170.45	82.06	32.67	8.02	100	segments
5	4	0	0	0	8	205.37	82.06	22.52	8.02	100	whose
5	4	0	0	0	9	230.14	82.06	21.45	8.02	100	words
5	4	0	0	0	10	253.84	82.06	26.44	8.02	100	conflict
5	4	0	0	0	11	282.53	82.06	15.67	8.02	100	with
4	4	0	0	1	0	54.425000	92.471781	244.904484	8.015962	-1	###LINE###
5	4	0	0	1	0	54.43	92.47	10.74	8.02	100	the
5	4	0	0	1	1	67.05	92.47	33.19	8.02	100	diagnosis
5	4	0	0	1	2	102.13	92.47	12.69	8.02	100	and
5	4	0	0	1	3	116.70	92.47	8.79	8.02	100	on
5	4	0	0	1	4	127.38	92.47	32.57	8.02	100	segments
5	4	0	0	1	5	161.83	92.47	22.45	8.02	100	whose
5	4	0	0	1	6	186.17	92.47	21.38	8.02	100	words
5	4	0	0	1	7	209.44	92.47	19.02	8.02	100	agree
5	4	0	0	1	8	230.34	92.47	15.62	8.02	100	with
5	4	0	0	1	9	247.85	92.47	7.08	8.02	100	it.
5	4	0	0	1	10	257.60	92.47	41.73	8.02	100	Depression,
4	4	0	0	2	0	54.425000	102.882781	243.782158	8.015962	-1	###LINE###
5	4	0	0	2	0	54.43	102.88	29.41	8.02	100	E-DAIC
5	4	0	0	2	1	86.05	102.88	17.26	8.02	100	[17]:
5	4	0	0	2	2	106.08	102.88	13.18	8.02	100	483
5	4	0	0	2	3	121.46	102.88	26.36	8.02	100	conflict
5	4	0	0	2	4	150.04	102.88	32.57	8.02	100	segments
5	4	0	0	2	5	184.82	102.88	21.96	8.02	100	paired
5	4	0	0	2	6	208.99	102.88	15.62	8.02	100	with
5	4	0	0	2	7	226.82	102.88	36.60	8.02	100	agreement
5	4	0	0	2	8	265.63	102.88	32.57	8.02	100	segments
4	4	0	0	3	0	54.425000	113.293781	243.776798	8.015962	-1	###LINE###
5	4	0	0	3	0	54.43	113.29	7.55	8.02	100	of
5	4	0	0	3	1	64.21	113.29	11.08	8.02	100	the
5	4	0	0	3	2	77.52	113.29	18.63	8.02	100	same
5	4	0	0	3	3	98.38	113.29	31.12	8.02	100	speakers
5	4	0	0	3	4	131.73	113.29	16.62	8.02	100	(311
5	4	0	0	3	5	150.58	113.29	31.98	8.02	100	distinct),
5	4	0	0	3	6	184.80	113.29	13.60	8.02	100	138
5	4	0	0	3	7	200.63	113.29	33.39	8.02	100	speakers.
5	4	0	0	3	8	236.79	113.29	46.59	8.02	100	Alzheimer’s,
5	4	0	0	3	9	285.60	113.29	12.60	8.02	100	Pitt
4	4	0	0	4	0	54.425000	123.704781	243.783039	8.015962	-1	###LINE###
5	4	0	0	4	0	54.43	123.70	17.60	8.02	100	[19]:
5	4	0	0	4	1	76.57	123.70	32.00	8.02	100	unpaired
5	4	0	0	4	2	111.70	123.70	17.78	8.02	100	arms
5	4	0	0	4	3	132.61	123.70	7.62	8.02	100	of
5	4	0	0	4	4	143.35	123.70	13.72	8.02	100	146
5	4	0	0	4	5	160.20	123.70	13.21	8.02	100	and
5	4	0	0	4	6	176.52	123.70	13.72	8.02	100	322
5	4	0	0	4	7	193.37	123.70	33.90	8.02	100	segments
5	4	0	0	4	8	230.40	123.70	17.78	8.02	100	from
5	4	0	0	4	9	251.31	123.70	13.72	8.02	100	100
5	4	0	0	4	10	268.16	123.70	13.21	8.02	100	and
5	4	0	0	4	11	284.49	123.70	13.72	8.02	100	175
4	4	0	0	5	0	54.425000	134.115781	160.812384	8.015962	-1	###LINE###
5	4	0	0	5	0	54.43	134.12	33.02	8.02	100	speakers.
5	4	0	0	5	1	90.23	134.12	31.15	8.02	100	Intervals
5	4	0	0	5	2	123.62	134.12	11.45	8.02	100	per
5	4	0	0	5	3	137.31	134.12	12.95	8.02	100	cell
5	4	0	0	5	4	152.50	134.12	10.95	8.02	100	are
5	4	0	0	5	5	165.69	134.12	6.98	8.02	100	in
5	4	0	0	5	6	174.91	134.12	10.96	8.02	100	the
5	4	0	0	5	7	188.11	134.12	27.13	8.02	100	release.
3	4	0	1	0	0	164.248000	147.925781	40.339834	8.015962	-1	###FLOW###
4	4	0	1	0	0	164.248000	147.925781	40.339834	8.015962	-1	###LINE###
5	4	0	1	0	0	164.25	147.93	40.34	8.02	100	Depression
3	4	0	2	0	0	54.425000	163.139781	23.411270	8.015962	-1	###FLOW###
4	4	0	2	0	0	54.425000	163.139781	23.411270	8.015962	-1	###LINE###
5	4	0	2	0	0	54.43	163.14	23.41	8.02	100	Model
3	4	1	0	0	0	240.928653	147.925781	43.827763	8.015962	-1	###FLOW###
4	4	1	0	0	0	240.928653	147.925781	43.827763	8.015962	-1	###LINE###
5	4	1	0	0	0	240.93	147.93	43.83	8.02	100	Alzheimer’s
3	4	2	0	0	0	151.055893	163.139781	28.898707	8.015962	-1	###FLOW###
4	4	2	0	0	0	151.055893	163.139781	28.898707	8.015962	-1	###LINE###
5	4	2	0	0	0	151.06	163.14	28.90	8.02	100	Conflict
3	4	3	0	0	0	193.637326	163.139781	24.146515	8.015962	-1	###FLOW###
4	4	3	0	0	0	193.637326	163.139781	24.146515	8.015962	-1	###LINE###
5	4	3	0	0	0	193.64	163.14	24.15	8.02	100	Agree.
3	4	4	0	0	0	231.475534	163.139781	28.898707	8.015962	-1	###FLOW###
4	4	4	0	0	0	231.475534	163.139781	28.898707	8.015962	-1	###LINE###
5	4	4	0	0	0	231.48	163.14	28.90	8.02	100	Conflict
3	4	5	0	0	0	274.056968	163.139781	24.146515	8.015962	-1	###FLOW###
4	4	5	0	0	0	274.056968	163.139781	24.146515	8.015962	-1	###LINE###
5	4	5	0	0	0	274.06	163.14	24.15	8.02	100	Agree.
3	4	6	0	0	0	157.655163	178.552781	15.691200	60.069962	-1	###FLOW###
4	4	6	0	0	0	157.655163	178.552781	15.691200	8.015962	-1	###LINE###
5	4	6	0	0	0	157.66	178.55	15.69	8.02	100	0.23
4	4	6	0	1	0	157.655163	188.963781	15.691200	8.015962	-1	###LINE###
5	4	6	0	1	0	157.66	188.96	15.69	8.02	100	0.22
4	4	6	0	2	0	157.655163	199.374781	15.691200	8.015962	-1	###LINE###
5	4	6	0	2	0	157.66	199.37	15.69	8.02	100	0.30
4	4	6	0	3	0	157.655163	209.785781	15.691200	8.015962	-1	###LINE###
5	4	6	0	3	0	157.66	209.79	15.69	8.02	100	0.53
4	4	6	0	4	0	157.655163	220.195781	15.691200	8.015962	-1	###LINE###
5	4	6	0	4	0	157.66	220.20	15.69	8.02	100	0.42
4	4	6	0	5	0	157.655163	230.606781	15.691200	8.015962	-1	###LINE###
5	4	6	0	5	0	157.66	230.61	15.69	8.02	100	0.53
3	4	7	0	0	0	197.869467	178.552781	15.691200	60.069962	-1	###FLOW###
4	4	7	0	0	0	197.869467	178.552781	15.691200	8.015962	-1	###LINE###
5	4	7	0	0	0	197.87	178.55	15.69	8.02	100	0.96
4	4	7	0	1	0	197.869467	188.963781	15.691200	8.015962	-1	###LINE###
5	4	7	0	1	0	197.87	188.96	15.69	8.02	100	0.96
4	4	7	0	2	0	197.869467	199.374781	15.691200	8.015962	-1	###LINE###
5	4	7	0	2	0	197.87	199.37	15.69	8.02	100	0.97
4	4	7	0	3	0	197.869467	209.785781	15.691200	8.015962	-1	###LINE###
5	4	7	0	3	0	197.87	209.79	15.69	8.02	100	0.63
4	4	7	0	4	0	197.869467	220.195781	15.691200	8.015962	-1	###LINE###
5	4	7	0	4	0	197.87	220.20	15.69	8.02	100	0.84
4	4	7	0	5	0	197.869467	230.606781	15.691200	8.015962	-1	###LINE###
5	4	7	0	5	0	197.87	230.61	15.69	8.02	100	0.89
3	4	8	0	0	0	238.074805	178.552781	15.691200	60.069962	-1	###FLOW###
4	4	8	0	0	0	238.074805	178.552781	15.691200	8.015962	-1	###LINE###
5	4	8	0	0	0	238.07	178.55	15.69	8.02	100	0.41
4	4	8	0	1	0	238.074805	188.963781	15.691200	8.015962	-1	###LINE###
5	4	8	0	1	0	238.07	188.96	15.69	8.02	100	0.53
4	4	8	0	2	0	238.074805	199.374781	15.691200	8.015962	-1	###LINE###
5	4	8	0	2	0	238.07	199.37	15.69	8.02	100	0.61
4	4	8	0	3	0	238.074805	209.785781	15.691200	8.015962	-1	###LINE###
5	4	8	0	3	0	238.07	209.79	15.69	8.02	100	0.58
4	4	8	0	4	0	238.074805	220.195781	15.691200	8.015962	-1	###LINE###
5	4	8	0	4	0	238.07	220.20	15.69	8.02	100	0.61
4	4	8	0	5	0	238.074805	230.606781	15.691200	8.015962	-1	###LINE###
5	4	8	0	5	0	238.07	230.61	15.69	8.02	100	0.72
3	4	9	0	0	0	278.289109	178.552781	15.691200	60.069962	-1	###FLOW###
