level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0.000000	0.000000	612.000000	792.000000	-1	###PAGE###
3	1	0	0	0	0	78.785000	94.933912	455.851776	10.747725	-1	###FLOW###
4	1	0	0	0	0	78.785000	94.933912	455.851776	10.747725	-1	###LINE###
5	1	0	0	0	0	78.79	94.93	25.25	10.75	100	THE
5	1	0	0	0	1	107.02	94.93	108.72	10.75	100	REPRESENTATION
5	1	0	0	0	2	218.73	94.93	50.49	10.75	100	UTILITY
5	1	0	0	0	3	272.21	94.93	25.24	10.75	100	GAP
5	1	0	0	0	4	300.43	94.93	13.28	10.75	100	IN
5	1	0	0	0	5	316.71	94.93	39.25	10.75	100	AUDIO
5	1	0	0	0	6	358.94	94.93	33.88	10.75	100	LLMS
5	1	0	0	0	7	395.81	94.93	25.24	10.75	100	FOR
5	1	0	0	0	8	424.04	94.93	59.78	10.75	100	CLINICAL
5	1	0	0	0	9	486.80	94.93	47.83	10.75	100	SPEECH
3	1	0	1	0	0	74.878000	121.896926	463.168358	10.293427	-1	###FLOW###
4	1	0	1	0	0	74.878000	121.896926	463.168358	10.293427	-1	###LINE###
5	1	0	1	0	0	74.88	121.90	49.82	10.29	100	Chaitanya
5	1	0	1	0	1	127.68	121.90	51.85	10.29	100	Parwatkar,
5	1	0	1	0	2	182.52	121.90	25.91	10.29	100	Nima
5	1	0	1	0	3	211.42	121.90	42.43	10.29	100	Kelidari,
5	1	0	1	0	4	256.84	121.90	31.22	10.29	100	Minoo
5	1	0	1	0	5	291.04	121.90	40.18	10.29	100	Ahmadi,
5	1	0	1	0	6	334.21	121.90	43.84	10.29	100	Ashutosh
5	1	0	1	0	7	381.04	121.90	44.47	10.29	100	Chaubey,
5	1	0	1	0	8	428.50	121.90	57.11	10.29	100	Mohammad
5	1	0	1	0	9	488.60	121.90	49.45	10.29	100	Soleymani
3	1	0	2	0	0	167.151000	148.277374	279.118054	10.687949	-1	###FLOW###
4	1	0	2	0	0	167.151000	148.277374	279.118054	10.687949	-1	###LINE###
5	1	0	2	0	0	167.15	148.28	50.00	10.69	100	University
5	1	0	2	0	1	220.14	148.28	9.96	10.69	100	of
5	1	0	2	0	2	233.08	148.28	43.17	10.69	100	Southern
5	1	0	2	0	3	279.24	148.28	51.47	10.69	100	California,
5	1	0	2	0	4	333.70	148.28	17.93	10.69	100	Los
5	1	0	2	0	5	354.62	148.28	42.17	10.69	100	Angeles,
5	1	0	2	0	6	399.78	148.28	19.59	10.69	100	CA,
5	1	0	2	0	7	422.36	148.28	23.91	10.69	100	USA
