level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	5	0	0	0	0	0.000000	0.000000	612.000000	792.000000	-1	###PAGE###
3	5	0	0	0	0	54.425000	75.883781	245.379487	643.081962	-1	###FLOW###
4	5	0	0	0	0	58.908000	75.883781	239.295098	8.015962	-1	###LINE###
5	5	0	0	0	0	58.91	75.88	10.45	8.02	100	[2]
5	5	0	0	0	1	74.34	75.88	8.54	8.02	100	N.
5	5	0	0	0	2	85.00	75.88	6.09	8.02	100	P.
5	5	0	0	0	3	93.21	75.88	34.88	8.02	100	Narendra,
5	5	0	0	0	4	130.24	75.88	20.02	8.02	100	Björn
5	5	0	0	0	5	152.37	75.88	31.12	8.02	100	Schuller,
5	5	0	0	0	6	185.64	75.88	12.69	8.02	100	and
5	5	0	0	0	7	200.45	75.88	20.98	8.02	100	Paavo
5	5	0	0	0	8	223.55	75.88	19.77	8.02	100	Alku,
5	5	0	0	0	9	246.31	75.88	17.57	8.02	100	“The
5	5	0	0	0	10	265.99	75.88	32.21	8.02	100	detection
4	5	0	0	1	0	74.344000	86.294781	225.344946	8.015962	-1	###LINE###
5	5	0	0	1	0	74.34	86.29	7.36	8.02	100	of
5	5	0	0	1	1	83.95	86.29	41.12	8.02	100	Parkinson’s
5	5	0	0	1	2	127.32	86.29	25.53	8.02	100	disease
5	5	0	0	1	3	155.10	86.29	17.19	8.02	100	from
5	5	0	0	1	4	174.52	86.29	24.06	8.02	100	speech
5	5	0	0	1	5	200.82	86.29	19.16	8.02	100	using
5	5	0	0	1	6	222.23	86.29	18.97	8.02	100	voice
5	5	0	0	1	7	243.44	86.29	23.07	8.02	100	source
5	5	0	0	1	8	268.76	86.29	30.93	8.02	100	informa-
4	5	0	0	2	0	74.344000	96.704781	224.978455	8.015962	-1	###LINE###
5	5	0	0	2	0	74.34	96.70	19.15	8.02	100	tion,”
5	5	0	0	2	1	96.47	96.79	39.75	7.72	100	IEEE/ACM
5	5	0	0	2	2	138.34	96.79	22.08	7.72	100	Trans.
5	5	0	0	2	3	162.54	96.79	23.00	7.72	100	Audio,
5	5	0	0	2	4	187.69	96.79	26.95	7.72	100	Speech,
5	5	0	0	2	5	216.78	96.79	20.12	7.72	100	Lang.
5	5	0	0	2	6	239.02	96.79	31.81	7.72	100	Process.,
5	5	0	0	2	7	272.98	96.70	13.24	8.02	100	vol.
5	5	0	0	2	8	288.34	96.70	10.98	8.02	100	29,
4	5	0	0	3	0	74.344000	107.115781	78.456000	8.015962	-1	###LINE###
5	5	0	0	3	0	74.34	107.12	11.21	8.02	100	pp.
5	5	0	0	3	1	87.79	107.12	42.59	8.02	100	1925-1936,
