level	page_num	par_num	block_num	line_num	word_num	left	top	width	height	conf	text
1	2	0	0	0	0	0.000000	0.000000	612.000000	792.000000	-1	###PAGE###
3	2	0	0	0	0	54.425000	75.740318	244.380822	50.481336	-1	###FLOW###
4	2	0	0	0	0	54.425000	75.740318	243.928789	8.159424	-1	###LINE###
5	2	0	0	0	0	54.43	75.88	33.02	8.02	100	language
5	2	0	0	0	1	90.18	75.88	25.15	8.02	100	model.
5	2	0	0	0	2	119.62	75.88	12.57	8.02	100	For
5	2	0	0	0	3	134.93	75.88	18.28	8.02	100	layer
5	2	0	0	0	4	155.95	75.74	3.81	7.96	100	ℓ
5	2	0	0	0	5	162.49	75.88	10.66	8.02	100	we
5	2	0	0	0	6	175.90	75.88	39.12	8.02	100	mean-pool
5	2	0	0	0	7	217.76	75.88	11.18	8.02	100	the
5	2	0	0	0	8	231.67	75.88	24.89	8.02	100	hidden
5	2	0	0	0	9	259.31	75.88	20.32	8.02	100	states
5	2	0	0	0	10	282.38	75.88	15.98	8.02	100	over
4	2	0	0	1	0	54.425000	86.294781	243.779380	8.015962	-1	###LINE###
5	2	0	0	1	0	54.43	86.29	16.26	8.02	100	time
5	2	0	0	1	1	73.17	86.29	13.21	8.02	100	and
5	2	0	0	1	2	88.86	86.29	7.63	8.02	100	fit
5	2	0	0	1	3	98.97	86.29	4.06	8.02	100	a
5	2	0	0	1	4	105.51	86.29	26.93	8.02	100	logistic
5	2	0	0	1	5	134.93	86.29	20.82	8.02	100	probe
5	2	0	0	1	6	158.24	86.29	9.15	8.02	100	on
5	2	0	0	1	7	169.87	86.29	58.15	8.02	100	speaker-disjoint
5	2	0	0	1	8	230.51	86.29	20.58	8.02	100	folds,
5	2	0	0	1	9	253.63	86.29	13.21	8.02	100	and
5	2	0	0	1	10	269.32	86.29	11.18	8.02	100	the
5	2	0	0	1	11	282.98	86.29	15.23	8.02	100	area
4	2	0	0	2	0	54.425000	96.704781	110.824704	8.015962	-1	###LINE###
5	2	0	0	2	0	54.43	96.70	20.42	8.02	100	under
5	2	0	0	2	1	77.08	96.70	10.96	8.02	100	the
5	2	0	0	2	2	90.28	96.70	18.08	8.02	100	ROC
5	2	0	0	2	3	110.60	96.70	19.78	8.02	100	curve
5	2	0	0	2	4	132.62	96.70	24.41	8.02	100	(AUC)
5	2	0	0	2	5	159.27	96.70	5.98	8.02	100	is
4	2	0	0	3	0	241.261000	114.865411	4.224071	5.756429	-1	###LINE###
5	2	0	0	3	0	241.26	114.87	4.22	5.76	100	
4	2	0	0	4	0	104.585000	114.049187	33.830995	10.175294	-1	###LINE###
5	2	0	0	4	0	104.59	116.26	20.22	7.96	100	AUC
5	2	0	0	4	1	124.81	114.05	13.61	5.34	100	probe
4	2	0	0	5	0	141.474000	113.694800	106.570907	11.526854	-1	###LINE###
5	2	0	0	5	0	141.47	116.26	7.17	7.96	100	=
5	2	0	0	5	1	151.20	116.26	20.23	7.96	100	AUC
5	2	0	0	5	2	175.65	116.26	16.84	7.96	100	σ(w
5	2	0	0	5	3	192.48	119.91	3.10	5.31	100	ℓ
5	2	0	0	5	4	192.63	113.69	5.76	5.64	100	⊤
5	2	0	0	5	5	198.88	116.26	5.89	7.96	100	h̄
5	2	0	0	5	6	204.78	119.40	3.10	5.31	100	ℓ
5	2	0	0	5	7	210.42	116.26	7.17	7.96	100	+
5	2	0	0	5	8	219.64	116.26	3.95	7.96	100	b
5	2	0	0	5	9	223.59	119.40	3.10	5.31	100	ℓ
5	2	0	0	5	10	227.19	116.26	6.14	7.96	100	),
5	2	0	0	5	11	236.41	116.26	4.54	7.96	100	y
5	2	0	0	5	12	245.49	116.26	2.56	7.96	100	,
4	2	0	0	6	0	288.351000	116.405781	10.454822	8.015962	-1	###LINE###
5	2	0	0	6	0	288.35	116.41	10.45	8.02	100	(1)
4	2	0	0	7	0	124.805000	120.913546	3.099386	5.308109	-1	###LINE###
5	2	0	0	7	0	124.81	120.91	3.10	5.31	100	ℓ
3	2	0	1	0	0	54.102000	137.169318	244.703822	73.275336	-1	###FLOW###
4	2	0	1	0	0	54.102000	137.169318	244.102437	8.445336	-1	###LINE###
5	2	0	1	0	0	54.10	137.31	22.34	8.02	100	where
5	2	0	1	0	1	78.76	137.17	4.54	7.96	100	y
5	2	0	1	0	2	85.94	137.31	6.10	8.02	100	is
5	2	0	1	0	3	94.35	137.31	11.18	8.02	100	the
5	2	0	1	0	4	107.85	137.31	17.77	8.02	100	label
5	2	0	1	0	5	127.95	137.31	13.21	8.02	100	and
5	2	0	1	0	6	143.47	137.17	5.89	7.96	100	h̄
5	2	0	1	0	7	149.36	140.31	3.10	5.31	100	ℓ
5	2	0	1	0	8	155.27	137.31	6.10	8.02	100	is
5	2	0	1	0	9	163.69	137.31	11.18	8.02	100	the
5	2	0	1	0	10	177.19	137.31	47.74	8.02	100	mean-pooled
5	2	0	1	0	11	227.25	137.31	37.91	8.02	100	activation.
5	2	0	1	0	12	268.16	137.31	11.98	8.02	100	We
5	2	0	1	0	13	282.46	137.31	15.75	8.02	100	then
4	2	0	1	1	0	54.425000	147.723781	243.929119	8.015962	-1	###LINE###
5	2	0	1	1	0	54.43	147.72	11.71	8.02	100	ask
5	2	0	1	1	1	68.21	147.72	10.74	8.02	100	the
5	2	0	1	1	2	81.02	147.72	21.97	8.02	100	model
5	2	0	1	1	3	105.07	147.72	10.74	8.02	100	the
5	2	0	1	1	4	117.89	147.72	18.06	8.02	100	same
5	2	0	1	1	5	138.02	147.72	25.39	8.02	100	prompt
5	2	0	1	1	6	165.48	147.72	28.80	8.02	100	(clinical
5	2	0	1	1	7	196.35	147.72	32.70	8.02	100	question)
5	2	0	1	1	8	231.13	147.72	12.69	8.02	100	and
5	2	0	1	1	9	245.90	147.72	15.12	8.02	100	read
5	2	0	1	1	10	263.09	147.72	8.30	8.02	100	its
5	2	0	1	1	11	273.47	147.72	24.88	8.02	100	answer
4	2	0	1	2	0	54.425000	158.134781	243.777936	8.015962	-1	###LINE###
5	2	0	1	2	0	54.43	158.13	17.76	8.02	100	from
5	2	0	1	2	1	74.43	158.13	11.17	8.02	100	the
5	2	0	1	2	2	87.84	158.13	20.31	8.02	100	logits
5	2	0	1	2	3	110.39	158.13	6.60	8.02	100	at
5	2	0	1	2	4	119.22	158.13	11.17	8.02	100	the
5	2	0	1	2	5	132.64	158.13	14.22	8.02	100	first
5	2	0	1	2	6	149.09	158.13	25.88	8.02	100	answer
5	2	0	1	2	7	177.20	158.13	31.73	8.02	100	position,
5	2	0	1	2	8	211.18	158.13	7.11	8.02	100	in
5	2	0	1	2	9	220.53	158.13	13.19	8.02	100	one
5	2	0	1	2	10	235.96	158.13	28.84	8.02	100	forward
5	2	0	1	2	11	267.04	158.13	15.73	8.02	100	pass
5	2	0	1	2	12	285.01	158.13	13.19	8.02	100	and
4	2	0	1	3	0	54.102000	168.545781	69.480634	8.015962	-1	###LINE###
5	2	0	1	3	0	54.10	168.55	15.94	8.02	100	with
5	2	0	1	3	1	72.29	168.55	8.97	8.02	100	no
5	2	0	1	3	2	83.49	168.55	40.09	8.02	100	generation,
4	2	0	1	4	0	233.060000	186.475411	9.727647	5.756429	-1	###LINE###
5	2	0	1	4	0	233.06	186.48	9.73	5.76	100	P
4	2	0	1	5	0	96.438000	192.104187	16.928563	5.343974	-1	###LINE###
5	2	0	1	5	0	96.44	192.10	16.93	5.34	100	answer
4	2	0	1	6	0	242.788000	187.354318	23.420120	10.121336	-1	###LINE###
5	2	0	1	6	0	242.79	192.17	12.76	5.31	100	t∈Y
5	2	0	1	6	1	258.08	187.35	5.27	7.96	100	π
5	2	0	1	6	2	263.36	190.42	2.85	5.31	100	t
