pid,fold,seed,p_yes,answer_mass,audio_tok
300,4,1,0.07696083933115005,0.995079293847084,18995
301,3,1,0.011508150026202202,0.9942465219646692,22500
302,2,1,0.14414885640144348,0.986222118139267,22500
303,1,1,0.014728613197803497,0.9878738559782505,22500
304,0,1,0.019271135330200195,0.9858411774039268,22500
305,4,1,0.02262919954955578,0.9959627240896225,22500
306,3,1,0.03283695504069328,0.9951988607645035,15477
307,2,1,0.03760863468050957,0.9918536394834518,22500
308,1,1,0.9736446738243103,0.9977714121341705,9237
309,0,1,0.8056321740150452,0.9962756112217903,4817
310,4,1,0.021287351846694946,0.9970656335353851,7445
311,3,1,0.8705973029136658,0.9982329830527306,5445
312,2,1,0.01428193412721157,0.9986382909119129,8510
313,1,1,0.3106943964958191,0.9834717810153961,22500
314,0,1,0.01374232117086649,0.9290546365082264,22500
315,4,1,0.018264278769493103,0.9969183504581451,22500
316,3,1,0.7799928784370422,0.9981822669506073,5657
317,2,1,0.3073580265045166,0.9965446889400482,5850
318,1,1,0.013636834919452667,0.9963327869772911,6240
319,0,1,0.8688268065452576,0.978511668741703,22500
320,4,1,0.16026602685451508,0.9942317008972168,6227
321,3,1,0.9111796617507935,0.9975795224308968,7790
322,2,1,0.1755380630493164,0.9956083595752716,13427
323,1,1,0.004503272473812103,0.9976948807016015,10432
324,0,1,0.025565212592482567,0.9977289475500584,6893
325,4,1,0.30074557662010193,0.9931921660900116,13205
326,3,1,0.014957087114453316,0.9987553805112839,4907
327,2,1,0.2628418505191803,0.9948790669441223,22500
328,1,1,0.006338921375572681,0.9948469689115882,16980
329,0,1,0.029760094359517097,0.9982426539063454,9135
330,4,1,0.10818894952535629,0.995403990149498,4540
331,3,1,0.4073334336280823,0.9945235848426819,11195
332,2,1,0.8558511734008789,0.9962901696562767,22500
333,1,1,0.01342825498431921,0.9907671399414539,22500
334,0,1,0.018833130598068237,0.9885297231376171,22500
335,4,1,0.03210070729255676,0.9961511790752411,11317
336,3,1,0.05834583565592766,0.9950019046664238,9477
337,2,1,0.39606815576553345,0.9924008548259735,22500
338,1,1,0.14223188161849976,0.9914464950561523,7195
339,0,1,0.12421300262212753,0.9945899248123169,11087
340,4,1,0.026759283617138863,0.9977763034403324,5107
341,3,1,0.03258974477648735,0.997465655207634,10465
343,2,1,0.18476751446723938,0.9955810606479645,6817
344,1,1,0.02517884224653244,0.9938329644501209,22500
345,0,1,0.970687747001648,0.9916194109246135,22500
346,4,1,0.9511421918869019,0.9985567014664412,17487
347,3,1,0.022977370768785477,0.9977584034204483,3627
348,2,1,0.8633915781974792,0.9981635585427284,8202
349,1,1,0.8933094143867493,0.9956397227942944,12575
350,0,1,0.8705973029136658,0.992190383374691,22500
351,4,1,0.4843800961971283,0.9906487464904785,22500
352,3,1,0.16026602685451508,0.9896897971630096,22500
353,2,1,0.7279754281044006,0.9976705610752106,10380
354,1,1,0.025565212592482567,0.9984991028904915,4187
355,0,1,0.28140559792518616,0.9956079721450806,8957
356,4,1,0.18010665476322174,0.988778680562973,14787
357,3,1,0.014063626527786255,0.9972682911902666,13260
358,2,1,0.3380771279335022,0.993610143661499,6450
359,1,1,0.8479677438735962,0.9953543394804001,15132
360,0,1,0.10669060051441193,0.996104821562767,5457
361,4,1,0.01342825498431921,0.9981028642505407,9945
362,3,1,0.08882028609514236,0.9964283257722855,7167
363,2,1,0.004829722456634045,0.9988274704664946,20112
364,1,1,0.018264278769493103,0.99404476583004,22500
365,0,1,0.8104788661003113,0.9940686523914337,17952
366,4,1,0.008187909610569477,0.9984996216371655,21177
367,3,1,0.7490872144699097,0.9957274198532104,22500
368,2,1,0.2538610100746155,0.9940237998962402,22500
369,1,1,0.00877910852432251,0.9943155683577061,18732
370,0,1,0.01065251138061285,0.9838938564062119,21232
371,4,1,0.3106943964958191,0.9919829368591309,7745
372,3,1,0.9348725080490112,0.9964660964906216,18782
373,2,1,0.04958902671933174,0.9954805299639702,22500
374,1,1,0.20689405500888824,0.988088458776474,22500
375,0,1,0.020645931363105774,0.998910391703248,4427
376,4,1,0.7431679368019104,0.9960112422704697,15390
