pid,fold,seed,p_yes,answer_mass,audio_tok
300,4,0,0.020023440942168236,0.9974082633852959,18995
301,3,0,0.016914913430809975,0.9960330799221992,22500
302,2,0,0.09947021305561066,0.955649271607399,22500
303,1,0,0.05707140266895294,0.9831784814596176,22500
304,0,0,0.012821214273571968,0.983825720846653,22500
305,4,0,0.020023440942168236,0.9976056925952435,22500
306,3,0,0.05184547230601311,0.9970608875155449,15477
307,2,0,0.026963500306010246,0.9921555444598198,22500
308,1,0,0.9178933501243591,0.9946307856589556,9237
309,0,0,0.6992543935775757,0.9974630326032639,4817
310,4,0,0.030214589089155197,0.9966141544282436,7445
311,3,0,0.9658995866775513,0.9992975890636444,5445
312,2,0,0.020023440942168236,0.9990305602550507,8510
313,1,0,0.44167301058769226,0.9925523102283478,22500
314,0,0,0.01098694372922182,0.9497126638889313,22500
315,4,0,0.02161533385515213,0.9976532533764839,22500
316,3,0,0.8774768114089966,0.9989550113677979,5657
317,2,0,0.622459352016449,0.9979135990142822,5850
318,1,0,0.030675798654556274,0.996628750115633,6240
319,0,0,0.7025300860404968,0.9915808066725731,22500
320,4,0,0.30074557662010193,0.9959913492202759,6227
321,3,0,0.9603611826896667,0.9991106856614351,7790
322,2,0,0.6297746300697327,0.9978367388248444,13427
323,1,0,0.021948255598545074,0.9956455267965794,10432
324,0,0,0.023689471185207367,0.9965193346142769,6893
325,4,0,0.46101680397987366,0.9949904382228851,13205
326,3,0,0.017712296918034554,0.998795460909605,4907
327,2,0,0.4804786741733551,0.9933295845985413,22500
328,1,0,0.02262919954955578,0.9971631243824959,16980
329,0,0,0.018404891714453697,0.9938538074493408,9135
330,4,0,0.11920291930437088,0.9968909174203873,4540
331,3,0,0.7025300860404968,0.9979328215122223,11195
332,2,0,0.8856314420700073,0.9966583475470543,22500
333,1,0,0.03676946461200714,0.9850247800350189,22500
334,0,0,0.02161533385515213,0.9932177066802979,22500
335,4,0,0.02228618785738945,0.9977884367108345,11317
336,3,0,0.06954174488782883,0.9973934665322304,9477
337,2,0,0.6959583163261414,0.9953840225934982,22500
338,1,0,0.16667540371418,0.9932578206062317,7195
339,0,0,0.16885696351528168,0.9945031404495239,11087
340,4,0,0.034618839621543884,0.9983604103326797,5107
