model	dataset	condition	source_kind	probe_stream	encoder_probe	probe_used	probe_master_row	probe_recomputed	per_repeat_recomputed_4dp	per_repeat_original_4dp	probe_status	zero_shot_answer	answer_master_row	answer_recomputed	answer_status	row_status	diff_probe_minus_answer	diff_from_perclip	ci_lo	ci_hi	interval_excludes_0	probe_above_answer	interval_kind	boot_usable	n	n_speakers	n_pos	speaker_ids	independent_check	probe_perclip_source	probe_origin	answer_perclip_source	perclip_file	sidecar_file	draws_file
Qwen2-Audio	PC-GITA	PD	master_lookup rows 17..178	encoder probe	0.9097	0.9097	72	0.9097	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	[0.9242, 0.9, 0.9011, 0.9041, 0.9191]	verified	0.5369	73	0.5369	verified	verified	+0.3728	+0.3728	+0.3104	+0.4271	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1100	100	550	probe file speaker column; the answer file speaker column has 1100 ids for 100 probe-file speakers; it is not the same grouping, so only the probe-file speaker ids are used	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-2/q2a_pcgita_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-2	<local data dir>/paper1_local_runs/probe2/pcgita_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_pcgita_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_pcgita_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_pcgita_enc_draws.npz
Qwen2-Audio	NeuroVoz	PD	master_lookup rows 17..178	encoder probe	0.9324	0.9324	68	0.9324	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	[0.931, 0.9296, 0.9283, 0.9386, 0.9346]	verified	0.5519	69	0.5519	verified	verified	+0.3805	+0.3805	+0.3278	+0.4325	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1270	107	621	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-3/q2a_neurovoz_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-3	<local data dir>/paper1_local_runs/probe2/neurovoz_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_neurovoz_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_neurovoz_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_neurovoz_enc_draws.npz
Qwen2-Audio	MDVR-KCL	PD	master_lookup rows 17..178	encoder probe	0.7714	0.7714	64	0.7714	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	[0.8065, 0.8095, 0.6786, 0.7679, 0.7946]	verified	0.5923	65	0.5923	verified	verified	+0.1791	+0.1792	-0.0503	+0.4305	no	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	37	37	16	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-2/q2a_kcl_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-2	<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_kcl_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_kcl_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_kcl_enc_draws.npz
Qwen2-Audio	E-DAIC	MDD	master_lookup rows 17..178	encoder probe	0.5673	0.5673	52	0.5673	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	verified	0.6464	54	0.6464	verified	verified	-0.0791	-0.0791	-0.1664	+0.0120	no	no	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	275	275	66	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-4/q2a_edaic_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-4	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_edaic_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_edaic_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_edaic_enc_draws.npz
Qwen2-Audio	Pitt	AD	master_lookup rows 17..178	encoder probe	0.7846	0.7846	76	0.7846	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	verified	0.6173	78	0.6173	verified	verified	+0.1673	+0.1673	+0.0944	+0.2432	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	468	228	290	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-4/q2a_pitt_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-4	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_pitt_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_pitt_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_pitt_enc_draws.npz
Qwen2-Audio	ADReSSo	AD	master_lookup rows 17..178	encoder probe	0.8537	0.8537	46	0.8537	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	verified	0.6649	48	0.6649	verified	verified	+0.1888	+0.1888	+0.1154	+0.2682	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	237	237	122	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-3/q2a_adresso_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-3	<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_adresso_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_adresso_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_adresso_enc_draws.npz
Qwen2-Audio	ADReSS-2020	AD	master_lookup rows 17..178	encoder probe	0.8315	0.8315	41	0.8315	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	verified	0.6824	43	0.6824	verified	verified	+0.1491	+0.1491	+0.0640	+0.2368	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	156	156	78	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-2/q2a_adress2020_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-2	<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q2a_adress2020_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q2a_adress2020_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q2a_adress2020_enc_draws.npz
Qwen3-Omni-30B-A3B	PC-GITA	PD	master_lookup rows 17..178	encoder probe	0.8969	0.8969	169	0.8969	[0.9223, 0.8697, 0.8742, 0.8988, 0.9196]	[0.9223, 0.8697, 0.8742, 0.8988, 0.9196]	verified	0.5967	172	0.5967	verified	verified	+0.3002	+0.3002	+0.2298	+0.3695	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1100	100	550	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	per-clip file named by the master row (PART 16 POD3, five per-repeat columns)	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_pcgita_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_pcgita_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_pcgita_enc_draws.npz
Qwen3-Omni-30B-A3B	NeuroVoz	PD	master_lookup rows 17..178	encoder probe	0.9372	0.9372	163	0.9372	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	verified	0.6393	166	0.6393	verified	verified	+0.2979	+0.2980	+0.2360	+0.3578	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1270	107	621	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-5/q3o_neurovoz_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-5	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_neurovoz_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_neurovoz_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_neurovoz_enc_draws.npz
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	master_lookup rows 17..178	encoder probe	0.7661	0.7661	157	0.7661	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	verified	0.7738	160	0.7738	verified	verified	-0.0077	-0.0077	-0.1618	+0.1385	no	no	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	37	37	16	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-4/q3o_kcl_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-4	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_kcl_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_kcl_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_kcl_enc_draws.npz
Qwen3-Omni-30B-A3B	E-DAIC	MDD	master_lookup rows 17..178	encoder probe	0.5828	0.5828	144	0.5828	[0.538, 0.6103, 0.5941, 0.6149, 0.5567]	[0.538, 0.6103, 0.5941, 0.6149, 0.5567]	verified	0.6290	147	0.6290	verified	verified	-0.0462	-0.0462	-0.1412	+0.0527	no	no	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	275	275	66	probe file speaker column	PART 26 run interval [-0.1412, +0.0527], PART 26 draws key 'diff' max abs diff 0.0	<local data dir>/release_from_mac/scores/part26/Qwen3-Omni-30B-A3B_E-DAIC/Q3O_EDAIC_perclip.csv	PART 26 Qwen3-Omni E-DAIC re-extraction (GPU, zero-shot p_yes reproduced with max abs diff 0.0) and five-repeat Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1)	<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_edaic_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_edaic_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_edaic_enc_draws.npz
Qwen3-Omni-30B-A3B	Pitt	AD	master_lookup rows 17..178	encoder probe	0.8122	0.8122	175	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	verified	0.7619	178	0.7619	verified	verified	+0.0503	+0.0503	-0.0087	+0.1095	no	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	468	228	290	probe file speaker column; answer-file ids give [-0.0058, +0.1108]	first attempt draws (C_build.py) max abs diff 0.0e+00	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	per-clip file named by the master row (PART 16 POD3, five per-repeat columns)	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_pitt_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_pitt_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_pitt_enc_draws.npz
Qwen3-Omni-30B-A3B	ADReSSo	AD	master_lookup rows 17..178	encoder probe	0.8750	0.8750	137	0.8750	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	verified	0.7774	140	0.7774	verified	verified	+0.0976	+0.0976	+0.0362	+0.1616	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	237	237	122	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-4/q3o_adresso_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-4	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_adresso_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_adresso_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_adresso_enc_draws.npz
Qwen3-Omni-30B-A3B	ADReSS-2020	AD	master_lookup rows 17..178	encoder probe	0.8445	0.8445	131	0.8445	[0.8337, 0.8555, 0.8458, 0.8401, 0.8475]	[0.8337, 0.8555, 0.8458, 0.8401, 0.8475]	verified	0.7097	134	0.7097	verified	verified	+0.1348	+0.1348	+0.0417	+0.2335	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	156	156	78	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-4/q3o_adress2020_enc_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-4	<local data dir>/release/overnight2/q3o_new/q3o_adress2020_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_q3o_adress2020_enc_perclip.csv	scores/part25/C/r2/sidecars/C_r2_q3o_adress2020_enc.sidecar.json	scores/part25/C/r2/draws/C_r2_q3o_adress2020_enc_draws.npz
Kimi-Audio	PC-GITA	PD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.8715	33	0.8715	[0.8664, 0.8698, 0.8752, 0.8702, 0.8762]	[0.8664, 0.8698, 0.8752, 0.8702, 0.8762]	verified	0.6147	35	0.6147	verified	verified	+0.2568	+0.2568	+0.1839	+0.3284	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1100	100	550	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-7/kimi_pcgita_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-7	<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_pcgita_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_pcgita_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_pcgita_llm_draws.npz
Kimi-Audio	NeuroVoz	PD	master_lookup rows 17..178	LM probe (substitute: Kimi-Audio has no encoder probe row)	none in master_lookup	0.9334	30	0.9334	[0.9354, 0.9192, 0.9397, 0.9334, 0.9391]	[0.9354, 0.9192, 0.9397, 0.9334, 0.9391]	verified	0.6204	32	0.6204	verified	verified	+0.3130	+0.3129	+0.2556	+0.3681	yes	yes	paired speaker bootstrap, mean of the five per-repeat AUCs minus the answer AUC in each draw	2000	1270	107	621	probe file speaker column	first attempt draws (C_build.py) max abs diff 0.0e+00	scores/part25/C/pod/p25C-6/kimi_neurovoz_llm_rep5_oof.csv	PART 25 Linux CPU refit (sklearn 1.9.1, numpy 2.1.2, scipy 1.18.1), p25C-6	<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot_scores.csv	scores/part25/C/r2/perclip/C_r2_kimi_neurovoz_llm_perclip.csv	scores/part25/C/r2/sidecars/C_r2_kimi_neurovoz_llm.sidecar.json	scores/part25/C/r2/draws/C_r2_kimi_neurovoz_llm_draws.npz
