item_id,line,col,kind,text,value,value2,decimals,decimals2,unit,range_labels,in_red,in_comment,section,table,table_key,table_row,table_col,table_group,clause,context,prev_context,table_caption,para_before
L33_839,33,839,range,0.75 to 0.92,0.75,0.92,2,2,,,no,yes,Abstract,,,,,,"Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92,","Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92, whereas the LLM's AUC is much lower due to a representation utility gap.",\beginabstract,,
L34_702,34,702,range,0.75 to 0.92,0.75,0.92,2,2,,,no,no,Abstract,,,,,,"Probes detect the disorders from the representations with AUC from 0.75 to 0.92,","Probes detect the disorders from the representations with AUC from 0.75 to 0.92, while the zero-shot answer sits well below on Parkinson's and Alzheimer's, a representation utility gap.","We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.",,
L34_863,34,863,word,four,4.0,,0,,word,,no,no,Abstract,,,,,,four of six models fall below chance.,"Where the words contradict the diagnosis, four of six models fall below chance.","Probes detect the disorders from the representations with AUC from 0.75 to 0.92, while the zero-shot answer sits well below on Parkinson's and Alzheimer's, a representation utility gap.",,
L48_119,48,119,integer,32,32.0,,0,,,,no,no,Introduction,,,,,,"The 32 audio encoder stages come first,","The 32 audio encoder stages come first, then the projector, then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure","\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each stage of Qwen2.5-Omni, speaker-disjoint folds, one dataset per condition.",,
L48_184,48,184,integer,29,29.0,,0,,,,no,no,Introduction,,,,,,then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure,"The 32 audio encoder stages come first, then the projector, then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure","\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each stage of Qwen2.5-Omni, speaker-disjoint folds, one dataset per condition.",,
L88_277,88,277,integer,1100,1100.0,,0,,,,no,no,Implementation Details,,,,,,"1100 clips) ,","We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice.",,
L88_323,88,323,integer,1270,1270.0,,0,,,,no,no,Implementation Details,,,,,,"1270 clips) and MDVR-KCL (English,","We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice.",,
L88_374,88,374,integer,37,37.0,,0,,,,no,no,Implementation Details,,,,,,37 speakers) .,"We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice.",,
L90_208,90,208,integer,275,275.0,,0,,,,no,no,Implementation Details,,,,,,"with 275 participants,","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.","The clinical interviews for depression diagnosis sit in between, with language containing information that points to the diagnosis.",,
L90_399,90,399,integer,15,15.0,,0,,,,no,no,Implementation Details,,,,,,capped at 15 minutes for the 89 longest.,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.",,
L90_418,90,418,integer,89,89.0,,0,,,,no,no,Implementation Details,,,,,,capped at 15 minutes for the 89 longest.,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.",,
L92_189,92,189,integer,468,468.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 228 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L92_207,92,207,integer,228,228.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 228 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L92_327,92,327,integer,237,237.0,,0,,,,no,no,Implementation Details,,,,,,"the ADReSSo recordings from 237 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L92_461,92,461,integer,108,108.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L92_478,92,478,integer,48,48.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L92_721,92,721,integer,30,30.0,,0,,s,,no,no,Implementation Details,,,,,,"Models hear the first 30 s,","Models hear the first 30 s, the length Qwen2-Audio accepts, so the conflict test in Table \reftab:conflict runs on the same clips for all six models.","Each Pitt segment starts at the participant's first timed utterance, and the ADReSSo and ADReSS-2020 windows start at the beginning of the recording, so interviewer prompts inside the window are kept.",,
L94_123,94,123,point,0.995,0.995,,3,,,,no,yes,Implementation Details,,,,,,was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).,"%An eighth corpus, an Italian Parkinson's dataset, was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).",,,
L96_110,96,110,integer,1,1.0,,0,,,,no,no,Implementation Details,,,,,,"Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1,","Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L96_141,96,141,integer,2000,2000.0,,0,,,,no,no,Implementation Details,,,,,,"balanced class weights and 2000 iterations,","Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L96_249,96,249,integer,5,5.0,,0,,,,no,no,Implementation Details,,,,,,"5 folds) and the layer is chosen inside the training folds. %Where a layer is chosen,","Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Probing. The probe of Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
