line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
126,127,table_row,edited,0.688,0.52 0.56 0.89 100 1100,[tab:main] PC-GITA & 1100 (100) & 0.56 & 0.52 & 0.89,[tab:main] AD & Pitt & 0.78 & 0.62 & 0.68
127,128,table_row,edited,0.688,0.54 0.70 0.90 107 1270,[tab:main] NeuroVoz & 1270 (107) & 0.70 & 0.54 & 0.90,[tab:main] PD & NeuroVoz & 0.96 & 0.55 & --
128,129,table_row,edited,0.703,0.70 0.71 0.76 37,[tab:main] MDVR-KCL & 37 (37) & 0.71 & 0.76 & 0.70,[tab:main] AD & Pitt & 0.78 & 0.62 & 0.68
131,132,table_row,edited,0.725,0.64 0.82 0.83 275,[tab:main] E-DAIC & 275 (275) & 0.83 & 0.82 & 0.64,[tab:main] AD & Pitt & 0.78 & 0.62 & 0.68
134,135,table_row,edited,0.697,0.66 0.77 228 468,[tab:main] Pitt & 468 (228) & 0.66 & 0.66 & 0.77,[tab:main] AD & Pitt & 0.78 & 0.62 & 0.68
135,136,table_row,edited,0.716,0.55 0.62 0.82 237,[tab:main] ADReSSo & 237 (237) & 0.62 & 0.55 & 0.82,[tab:main] AD & ADReSSo & 0.87 & 0.66 & 0.68
136,137,table_row,edited,0.673,0.62 0.75 0.77 156,[tab:main] ADReSS-2020 & 156 (156) & 0.62 & 0.75 & 0.77,[tab:main] AD & ADReSS-2020 & 0.82 & 0.68 & --
172,173,table_row,edited,0.851,0.23 0.95,[tab:conflict] Qwen2-Audio & 0.23 & 0.95 & 0.41 & 0.70,[tab:conflict] Qwen2-Audio & 0.41 & 0.70
173,174,table_row,edited,0.792,0.22 0.53 0.71 0.95,[tab:conflict] Qwen2.5-Omni & 0.22 & 0.95 & 0.53 & 0.71,[tab:conflict] Qwen2.5-Omni & 0.31 & 0.85
174,175,table_row,edited,0.804,0.30 0.61 0.82 0.96,[tab:conflict] Qwen3-Omni & 0.30 & 0.96 & 0.61 & 0.82,[tab:conflict] Qwen3-Omni & 0.35 & 0.87
175,176,table_row,edited,0.827,0.53 0.55 0.61 0.63 2,[tab:conflict] Audio Flamingo 2 & 0.53 & 0.61 & 0.63 & 0.55,[tab:conflict] Audio Flamingo 3 & 0.36 & 0.93
176,177,table_row,edited,0.808,0.42 0.59 0.61 0.81,[tab:conflict] Audio Flamingo 3 & 0.42 & 0.81 & 0.61 & 0.59,[tab:conflict] Audio Flamingo 3 & 0.36 & 0.93
177,178,table_row,edited,0.826,0.53 0.72,[tab:conflict] Kimi-Audio & 0.53 & 0.87 & 0.72 & 0.72,[tab:conflict] Kimi-Audio & 0.52 & 0.87
