order_group,line,context,paper_value,file_value,file_path,estimator,status,reason,item_id,kind,section,value_key,value_status,value_row,method_constant,in_comment
added_23sep,34,"Probes detect the disorders from the representations with AUC from 0.75 to 0.92, while the zero-shot answer sits well below on Parkinson's and Alzheimer's, a representation utility gap.",0.75 to 0.92,0.7506 to 0.9213,omni_adress2020_nested_repeats.json ; omni_adresso_nested_repeats.json ; omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json ; pitt_enc_nested5_oof.npz,"Qwen2.5-Omni encoder_probe, PD+AD",MATCH,"range matches SET 'Qwen2.5-Omni encoder_probe, PD+AD': min 0.7506 (kcl) max 0.9213 (neurovoz); members: pcgita 0.8941; neurovoz 0.9213; kcl 0.7506; pitt 0.7706; adresso 0.8752; adress2020 0.8043; compatible sets that do NOT match: Qwen2.5-Omni encoder_probe, PD+AD without MDVR-KCL gives 0.77 to 0.92 | Qwen2.5-Omni lm_probe, PD+AD gives 0.62 to 0.93 | Qwen2.5-Omni lm_probe, PD+AD without MDVR-KCL gives 0.80 to 0.93 | Qwen2.5-Omni answer_state_probe, PD+AD gives 0.58 to 0.89",L34_702,range,Abstract,,,,no,no
added_23sep,34,"Where the words contradict the diagnosis, four of six models fall below chance.",four,,,,MATCH,"count of models with conflict-arm AUC < 0.5 (M8/T1 primary files); the sentence names no dataset: holds on edaic_conflict_v2 only: edaic_conflict_v2: 4 of 6 (Qwen2-Audio 0.2280, Qwen2.5-Omni 0.2218, Qwen3-Omni 0.3008, Audio Flamingo 3 0.4235); pitt: 1 of 6 (Qwen2-Audio 0.4132)",L34_863,word,Abstract,,,,no,no
added_23sep,48,"The 32 audio encoder stages come first, then the projector, then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure",32,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L48_119,integer,Introduction,,,,yes,no
added_23sep,48,"The 32 audio encoder stages come first, then the projector, then the 29 language model stages read at the audio-token positions. \labelfig:gap \endfigure",29,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L48_184,integer,Introduction,,,,yes,no
other,88,"We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",1100,1100,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",MATCH,count: 100 index rows for pcgita carry n = 1100 (e.g. handcheck_values.csv:23),L88_277,integer,Implementation Details,eGeMAPS|pcgita|egemaps|all,current,handcheck_values.csv:23,no,no
other,88,"We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",1270,1270,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,count: 89 index rows for neurovoz carry n = 1270 (e.g. handcheck_values.csv:24),L88_323,integer,Implementation Details,eGeMAPS|neurovoz|egemaps|all,current,handcheck_values.csv:24,no,no
other,88,"We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",37,37,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",MATCH,count: 80 index rows for kcl carry n_spk/n = 37 (e.g. handcheck_values.csv:25),L88_374,integer,Implementation Details,eGeMAPS|kcl|egemaps|all,current,handcheck_values.csv:25,no,no
added_23sep,90,"We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.",275,,<local data dir>/release/edaic_rerun/variants/o25_full_nested_repeats.json,"five split nested, mean of 5 repeats (json field ans.mean)",MATCH,"count: 222 index rows for edaic_full,edaic,edaic_mid300,edaic_mid30 carry n_spk/n = 275 (e.g. handcheck_values.csv:60)",L90_208,integer,Implementation Details,Qwen2.5-Omni|edaic_full|answer_state_probe|all,current,handcheck_values.csv:60,no,no
added_23sep,90,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.",15,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L90_399,integer,Implementation Details,,,,yes,no
added_23sep,90,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.",89,,,,UNMATCHED,"method/design constant, not a result; no file value indexed",L90_418,integer,Implementation Details,,,,yes,no
added_23sep,92,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",468,228,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,count: 256 index rows for pitt carry n_spk/n = 468 (e.g. handcheck_values.csv:12),L92_189,integer,Implementation Details,Qwen2.5-Omni|pitt|projector_ft|all,current,handcheck_values.csv:12,no,no
