dataset,feature,auc,auc_rev,strength,n_speakers,n_pos,n_neg,n_clips,n_unique,mean_pos,mean_neg,FLAG,perm_p_two_sided
adress2020,noise_floor_db,0.3642,0.6358,0.6358,156,78,78,156,156,-81.7121,-75.3762,,0.0026
adress2020,snr_db,0.5879,0.4121,0.5879,156,78,78,156,156,48.0427,44.7746,,0.0585
adress2020,quiet_centroid_hz,0.5901,0.4099,0.5901,156,78,78,156,156,2019.3572,1914.8927,,0.0506
adress2020,quiet_rolloff85_hz,0.6269,0.3731,0.6269,156,78,78,156,156,4647.8107,4259.1471,,0.0062
adress2020,quiet_tilt_db_per_khz,0.5833,0.4167,0.5833,156,78,78,156,156,-2.5262,-2.6415,,0.074
adress2020,dur_s,0.4486,0.5514,0.5514,156,78,78,156,15,29.1013,29.7366,,0.028
adress2020,loudness_db,0.405,0.595,0.595,156,78,78,156,156,-40.1965,-36.6595,,0.0382
adress2020,sample_rate,,,,156,78,78,156,1,16000.0,16000.0,,
adresso,noise_floor_db,0.4605,0.5395,0.5395,237,122,115,237,237,-57.2066,-56.2067,,0.2935
adresso,snr_db,0.454,0.546,0.546,237,122,115,237,237,22.7824,23.9271,,0.2234
adresso,quiet_centroid_hz,0.4974,0.5026,0.5026,237,122,115,237,237,1802.8248,1816.1844,,0.9432
adresso,quiet_rolloff85_hz,0.5078,0.4922,0.5078,237,122,115,237,237,4068.2944,4091.847,,0.8311
adresso,quiet_tilt_db_per_khz,0.496,0.504,0.504,237,122,115,237,237,-3.0265,-2.9141,,0.9142
adresso,dur_s,0.4655,0.5345,0.5345,237,122,115,237,26,28.8453,29.4534,,0.0807
adresso,loudness_db,0.435,0.565,0.565,237,122,115,237,237,-40.3435,-37.9593,,0.0814
adresso,sample_rate,,,,237,122,115,237,1,16000.0,16000.0,,
edaic,noise_floor_db,0.4263,0.5737,0.5737,275,66,209,275,275,-71.0013,-70.1459,,0.072
edaic,snr_db,0.4916,0.5084,0.5084,275,66,209,275,275,29.4488,29.5734,,0.8359
edaic,quiet_centroid_hz,0.52,0.48,0.52,275,66,209,275,275,1828.4829,1783.2738,,0.6211
edaic,quiet_rolloff85_hz,0.5415,0.4585,0.5415,275,66,209,275,275,4119.4552,4050.1709,,0.31
edaic,quiet_tilt_db_per_khz,0.5254,0.4746,0.5254,275,66,209,275,275,-2.3403,-2.3868,,0.5318
edaic,dur_s,0.4453,0.5547,0.5547,275,66,209,275,274,676.9424,798.3124,,0.1841
edaic,loudness_db,0.4406,0.5594,0.5594,275,66,209,275,275,-47.4027,-46.4513,,0.1436
edaic,sample_rate,0.5183,0.4817,0.5183,275,66,209,275,2,20848.4848,19674.6411,,0.5265
kcl,noise_floor_db,0.5476,0.4524,0.5476,37,16,21,37,37,-69.0472,-69.4394,,0.6457
kcl,snr_db,0.6905,0.3095,0.6905,37,16,21,37,37,34.6232,32.1217,FLAG,0.0505
kcl,quiet_centroid_hz,0.5149,0.4851,0.5149,37,16,21,37,37,6084.8901,6014.7873,,0.8921
kcl,quiet_rolloff85_hz,0.5179,0.4821,0.5179,37,16,21,37,37,14633.8721,14679.7477,,0.8677
kcl,quiet_tilt_db_per_khz,0.5565,0.4435,0.5565,37,16,21,37,37,-0.5007,-0.5172,,0.5744
kcl,dur_s,0.3006,0.6994,0.6994,37,16,21,37,37,127.2535,149.7713,FLAG,0.0426
kcl,loudness_db,0.7054,0.2946,0.7054,37,16,21,37,37,-40.5617,-43.3006,FLAG,0.0333
kcl,sample_rate,,,,37,16,21,37,1,44100.0,44100.0,,
neurovoz,noise_floor_db,0.6965,0.3035,0.6965,107,52,55,600,107,-59.8281,-62.1697,FLAG,0.0005
neurovoz,snr_db,0.2839,0.7161,0.7161,107,52,55,600,107,26.0601,29.2008,FLAG,0.0001
neurovoz,quiet_centroid_hz,0.135,0.865,0.865,107,52,55,600,107,3946.5228,4759.762,FLAG,0.0
neurovoz,quiet_rolloff85_hz,0.2014,0.7986,0.7986,107,52,55,600,107,9986.5764,11843.8268,FLAG,0.0
neurovoz,quiet_tilt_db_per_khz,0.1832,0.8168,0.8168,107,52,55,600,107,-1.2601,-1.0168,FLAG,0.0
neurovoz,dur_s,0.3276,0.6724,0.6724,107,52,55,600,107,2.9083,3.1844,FLAG,0.0017
neurovoz,loudness_db,0.4748,0.5252,0.5252,107,52,55,600,107,-38.6278,-38.355,,0.6563
neurovoz,sample_rate,,,,107,52,55,600,1,44100.0,44100.0,,
pcgita,noise_floor_db,0.6872,0.3128,0.6872,100,50,50,600,100,-62.0255,-67.6534,FLAG,0.0009
pcgita,snr_db,0.3732,0.6268,0.6268,100,50,50,600,100,26.7498,28.6529,,0.0288
pcgita,quiet_centroid_hz,0.3976,0.6024,0.6024,100,50,50,600,100,5016.1463,5390.3135,,0.0752
pcgita,quiet_rolloff85_hz,0.4064,0.5936,0.5936,100,50,50,600,100,11246.6629,12089.188,,0.1117
pcgita,quiet_tilt_db_per_khz,0.4048,0.5952,0.5952,100,50,50,600,100,-0.9774,-0.8872,,0.1044
pcgita,dur_s,0.4288,0.5712,0.5712,100,50,50,600,100,4.7547,5.0616,,0.228
pcgita,loudness_db,0.6036,0.3964,0.6036,100,50,50,600,100,-40.3852,-44.2227,,0.075
pcgita,sample_rate,,,,100,50,50,600,1,44100.0,44100.0,,
pitt,noise_floor_db,0.4972,0.5028,0.5028,228,144,84,468,228,-78.7946,-79.276,,0.9474
pitt,snr_db,0.5943,0.4057,0.5943,228,144,84,468,228,47.3437,44.551,,0.0181
pitt,quiet_centroid_hz,0.4371,0.5629,0.5629,228,144,84,468,228,1949.53,2072.5487,,0.1128
pitt,quiet_rolloff85_hz,0.465,0.535,0.535,228,144,84,468,228,4442.5676,4657.3011,,0.383
pitt,quiet_tilt_db_per_khz,0.4535,0.5465,0.5465,228,144,84,468,228,-2.6455,-2.4007,,0.238
pitt,dur_s,0.5324,0.4676,0.5324,228,144,84,468,218,34.8483,34.125,,0.4112
pitt,loudness_db,0.5778,0.4222,0.5778,228,144,84,468,228,-37.8296,-40.9192,,0.0485
pitt,sample_rate,,,,228,144,84,468,1,16000.0,16000.0,,
