275 pids, 275 to fetch, workers 6
10/275 19s 3.82 GB 197.6 MB/s fails 0
20/275 33s 7.73 GB 230.7 MB/s fails 0
30/275 46s 11.17 GB 241.6 MB/s fails 0
40/275 59s 14.75 GB 249.5 MB/s fails 0
50/275 75s 18.97 GB 253.1 MB/s fails 0
60/275 85s 22.06 GB 260.0 MB/s fails 0
70/275 106s 27.11 GB 256.5 MB/s fails 0
80/275 123s 31.90 GB 258.9 MB/s fails 0
90/275 138s 36.20 GB 261.8 MB/s fails 0
100/275 150s 39.97 GB 266.7 MB/s fails 0
110/275 168s 44.59 GB 265.4 MB/s fails 0
120/275 182s 48.68 GB 267.9 MB/s fails 0
130/275 196s 52.74 GB 269.7 MB/s fails 0
140/275 212s 57.09 GB 269.8 MB/s fails 0
150/275 228s 61.83 GB 270.9 MB/s fails 0
160/275 241s 65.80 GB 273.1 MB/s fails 0
170/275 256s 70.19 GB 273.9 MB/s fails 0
180/275 273s 74.03 GB 271.3 MB/s fails 0
190/275 287s 77.87 GB 271.7 MB/s fails 0
200/275 300s 81.89 GB 272.9 MB/s fails 0
210/275 318s 86.36 GB 272.0 MB/s fails 0
220/275 338s 90.97 GB 269.4 MB/s fails 0
230/275 351s 94.79 GB 270.4 MB/s fails 0
240/275 365s 98.89 GB 270.8 MB/s fails 0
250/275 382s 103.29 GB 270.7 MB/s fails 0
260/275 395s 107.25 GB 271.8 MB/s fails 0
270/275 411s 111.32 GB 270.8 MB/s fails 0
FETCH_DONE ok 275 fails 0 wav_on_disk 275 416s 113.48 GB
