clip,speaker
HC_ABLANDADA_0034.wav,34
HC_PIDIO_0034.wav,34
HC_BURRO_0034.wav,34
HC_GANGA_0034.wav,34
HC_MANGA_0034.wav,34
HC_PERRO_0034.wav,34
HC_SOMBRA_0034.wav,34
HC_BARBAS_0034.wav,34
HC_DIABLO_0034.wav,34
HC_TOMAS_0034.wav,34
HC_CARMEN_0034.wav,34
HC_CALLE_0034.wav,34
HC_PIDIO_0036.wav,36
HC_DIABLO_0036.wav,36
HC_ABLANDADA_0036.wav,36
HC_MANGA_0036.wav,36
HC_TOMAS_0036.wav,36
HC_CARMEN_0036.wav,36
HC_BARBAS_0036.wav,36
HC_CALLE_0036.wav,36
HC_BURRO_0036.wav,36
HC_SOMBRA_0036.wav,36
HC_PERRO_0036.wav,36
HC_GANGA_0036.wav,36
HC_PIDIO_0048.wav,48
HC_ABLANDADA_0048.wav,48
HC_CALLE_0048.wav,48
HC_MANGA_0048.wav,48
HC_CARMEN_0048.wav,48
HC_BARBAS_0048.wav,48
HC_GANGA_0048.wav,48
HC_TOMAS_0048.wav,48
HC_DIABLO_0048.wav,48
HC_PERRO_0048.wav,48
HC_BURRO_0048.wav,48
HC_SOMBRA_0048.wav,48
HC_PERRO_0049.wav,49
HC_BARBAS_0049.wav,49
HC_TOMAS_0049.wav,49
HC_CALLE_0049.wav,49
HC_DIABLO_0049.wav,49
HC_BURRO_0049.wav,49
HC_CARMEN_0049.wav,49
HC_MANGA_0049.wav,49
HC_ABLANDADA_0049.wav,49
HC_SOMBRA_0049.wav,49
HC_GANGA_0049.wav,49
HC_PIDIO_0049.wav,49
HC_CARMEN_0051.wav,51
HC_TOMAS_0051.wav,51
HC_SOMBRA_0051.wav,51
HC_BURRO_0051.wav,51
HC_CALLE_0051.wav,51
HC_ABLANDADA_0051.wav,51
HC_PERRO_0051.wav,51
HC_GANGA_0051.wav,51
HC_PIDIO_0051.wav,51
HC_BARBAS_0051.wav,51
HC_DIABLO_0051.wav,51
HC_MANGA_0051.wav,51
HC_PERRO_0053.wav,53
HC_MANGA_0053.wav,53
HC_TOMAS_0053.wav,53
HC_CALLE_0053.wav,53
