id	what	value	lo	hi	value_verified	lo_verified	hi_verified	agree_4dp	published	matches_published_4dp	n	n_speakers	file	verifier_file	closes	note
3b_all_cosine	cosine of probe weight with the mass-weighted Yes minus No readout direction (lm_head as POD3 dumped it, float16)	0.005109			0.005109			yes	0.0051	yes	468	228	lo-pod3b-1 pod3b_primary_fp16.json (orig_direction_by_arm_fp16.csv prints 0.0051)	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	Mac check from the 10 lm_head rows + saved log-sum-exp: 0.005109
3b_all_cosine_bf16exact	same cosine with the exact bf16 lm_head (no float16 rounding)	0.005109			0.005109			yes	0.0051	yes	468	228	lo-pod3b-1 pod3b_primary_bf16exact.json (orig_direction_by_arm_bf16exact.csv prints 0.0051)	lo-pod3b-2 pod3b_verify.json bf16exact_all	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
3b_all_cosine_random_floor	mean |cosine| of the probe weight with 2000 random unit directions, seed 0, and its 2.5/97.5 percentiles	0.017700	0.0008	0.0498	0.017666	0.0008	0.0498	yes	0.0177	yes	468	228	lo-pod3b-1 orig_direction_by_arm_fp16.csv (4 dp as the original script prints)	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
3b_all_auc_probe_oof	probe OOF AUC, GroupKFold(5) by speaker, sklearn 1.9.1 folds	0.830686	0.7833	0.8741	0.830686	0.7833	0.8741	yes	0.8307	yes	468	228	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col oof	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / STATUS_LEDGER 5.3 and 6.5: 3b cosine 0.0051 had no twin (lm_head never reached the Mac)	
3b_all_auc_d	AUC of the projection on the readout direction alone	0.765633	0.7088	0.8179	0.765633	0.7088	0.8179	yes	0.7656	yes	468	228	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col proj_d	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
3b_all_auc_probe_without_d_trainz	probe AUC with d removed, held-out scores standardised with the TRAINING fold (as shipped)	0.830511	0.7826	0.8737	0.830511	0.7826	0.8737	yes	0.8305	yes	468	228	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_trainz	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
3b_all_auc_probe_without_d_foldz	probe AUC with d removed, standardised WITHIN the held-out fold (canonical)	0.827567	0.7795	0.8696	0.827567	0.7795	0.8696	yes	0.8276	yes	468	228	lo-pod3b-1 pod3b_primary_fp16_perclip.csv col perp_foldz	lo-pod3b-2 pod3b_verify.json fp16_all	audit_p16 item 2 / partF: 3b auc_d and auc_without_d UNVERIFIABLE ON MAC	
3b_conflict_cosine	cosine of probe weight with the mass-weighted Yes minus No readout direction (lm_head as POD3 dumped it, float16)	-0.006677			-0.006677			yes	-0.0067	yes	146	100	lo-pod3b-1 pod3b_primary_fp16.json (orig_direction_by_arm_fp16.csv prints -0.0067)	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
3b_conflict_cosine_bf16exact	same cosine with the exact bf16 lm_head (no float16 rounding)	-0.006677			-0.006677			yes	-0.0067	yes	146	100	lo-pod3b-1 pod3b_primary_bf16exact.json (orig_direction_by_arm_bf16exact.csv prints -0.0067)	lo-pod3b-2 pod3b_verify.json bf16exact_conflict	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
3b_conflict_cosine_random_floor	mean |cosine| of the probe weight with 2000 random unit directions, seed 0, and its 2.5/97.5 percentiles	0.017700	0.0008	0.0516	0.017716	0.0008	0.0516	yes	0.0177	yes	146	100	lo-pod3b-1 orig_direction_by_arm_fp16.csv (4 dp as the original script prints)	lo-pod3b-2 pod3b_verify.json fp16_conflict	audit_p16 item 6: POD3 cosines (3 rows) had no twin	
