orig_clip_id,clip_id,speaker_id,arm,p_yes,answer_mass,p_yes_rule3
agreement_Con_002-1_3044.wav,noinv_agreement_Con_002-1_3044.wav,Control002,agreement,0.526166886046141,0.9585906863212585,0.5261668501627234
agreement_Con_002-2_11623.wav,noinv_agreement_Con_002-2_11623.wav,Control002,agreement,0.5841511489825683,0.9568623006343842,0.5841511301767502
agreement_Con_002-3_12270.wav,noinv_agreement_Con_002-3_12270.wav,Control002,agreement,0.5902747702018513,0.9584286212921143,0.5902747425642699
agreement_Con_002-3_50179.wav,noinv_agreement_Con_002-3_50179.wav,Control002,agreement,0.5592314515149477,0.9610656201839447,0.5592314174270459
agreement_Con_006-4_37223.wav,noinv_agreement_Con_006-4_37223.wav,Control006,agreement,0.6287327836755876,0.9702882766723633,0.6287327274015286
agreement_Con_013-0_6039.wav,noinv_agreement_Con_013-0_6039.wav,Control013,agreement,0.5740211519475756,0.9641086459159851,0.5740211239284934
agreement_Con_013-2_3373.wav,noinv_agreement_Con_013-2_3373.wav,Control013,agreement,0.5869953207824237,0.9689667224884033,0.5869952746191934
agreement_Con_013-3_5680.wav,noinv_agreement_Con_013-3_5680.wav,Control013,agreement,0.5881352934465089,0.9628189206123352,0.5881352789663705
agreement_Con_013-4_8853.wav,noinv_agreement_Con_013-4_8853.wav,Control013,agreement,0.5536644404869704,0.9635708034038544,0.5536644111366179
agreement_Con_015-0_2695.wav,noinv_agreement_Con_015-0_2695.wav,Control015,agreement,0.6139762124029202,0.9627185165882111,0.6139761565163864
agreement_Con_015-2_49054.wav,noinv_agreement_Con_015-2_49054.wav,Control015,agreement,0.5546621863768448,0.9699673652648926,0.5546621667163713
agreement_Con_017-4_41988.wav,noinv_agreement_Con_017-4_41988.wav,Control017,agreement,0.42595067363030165,0.9583121538162231,0.4259506845527654
agreement_Con_022-0_6924.wav,noinv_agreement_Con_022-0_6924.wav,Control022,agreement,0.5801504562578846,0.9658561646938324,0.5801504327047124
agreement_Con_022-2_4290.wav,noinv_agreement_Con_022-2_4290.wav,Control022,agreement,0.5582145559153854,0.9583218097686768,0.558214525460282
agreement_Con_028-1_5398.wav,noinv_agreement_Con_028-1_5398.wav,Control028,agreement,0.5108392485223228,0.9634474813938141,0.5108392404748268
agreement_Con_028-4_8667.wav,noinv_agreement_Con_028-4_8667.wav,Control028,agreement,0.5564798477879677,0.9624331891536713,0.5564798262850373
agreement_Con_034-2_4839.wav,noinv_agreement_Con_034-2_4839.wav,Control034,agreement,0.5515460171609555,0.9735786318778992,0.5515460024862174
agreement_Con_034-3_4119.wav,noinv_agreement_Con_034-3_4119.wav,Control034,agreement,0.6362168725841594,0.9614304006099701,0.6362168163511125
agreement_Con_042-1_5846.wav,noinv_agreement_Con_042-1_5846.wav,Control042,agreement,0.5717679956951923,0.962190717458725,0.5717679511630601
agreement_Con_042-3_2720.wav,noinv_agreement_Con_042-3_2720.wav,Control042,agreement,0.6134921195260532,0.9598833918571472,0.613492082957921
agreement_Con_042-4_510.wav,noinv_agreement_Con_042-4_510.wav,Control042,agreement,0.5470191155241577,0.962338387966156,0.5470191197491233
agreement_Con_045-2_5070.wav,noinv_agreement_Con_045-2_5070.wav,Control045,agreement,0.5645452624706571,0.9710193872451782,0.5645452416556321
agreement_Con_054-0_3830.wav,noinv_agreement_Con_054-0_3830.wav,Control054,agreement,0.5154013807983584,0.9600857198238373,0.5154013853226561
agreement_Con_056-0_4235.wav,noinv_agreement_Con_056-0_4235.wav,Control056,agreement,0.4791101668126031,0.9696439206600189,0.4791101476337984
agreement_Con_056-3_4315.wav,noinv_agreement_Con_056-3_4315.wav,Control056,agreement,0.4228010961208874,0.9735257923603058,0.4228011080465782
agreement_Con_059-3_170.wav,noinv_agreement_Con_059-3_170.wav,Control059,agreement,0.5482942028735396,0.9774280190467834,0.5482941458771489
agreement_Con_071-2_340.wav,noinv_agreement_Con_071-2_340.wav,Control071,agreement,0.4688320571293527,0.9682416319847107,0.46883205129198485
agreement_Con_071-3_2133.wav,noinv_agreement_Con_071-3_2133.wav,Control071,agreement,0.5885193246913081,0.9758777916431427,0.5885192777845448
agreement_Con_073-1_5065.wav,noinv_agreement_Con_073-1_5065.wav,Control073,agreement,0.600287392598023,0.9598793387413025,0.6002873054132635
agreement_Con_086-0_71155.wav,noinv_agreement_Con_086-0_71155.wav,Control086,agreement,0.5935169272119705,0.9704507291316986,0.5935168880004787
agreement_Con_086-2_4188.wav,noinv_agreement_Con_086-2_4188.wav,Control086,agreement,0.6207728057412656,0.9544192254543304,0.6207727238301662
agreement_Con_086-4_34979.wav,noinv_agreement_Con_086-4_34979.wav,Control086,agreement,0.5653954844332805,0.954470694065094,0.5653954462319265
agreement_Con_092-0_7255.wav,noinv_agreement_Con_092-0_7255.wav,Control092,agreement,0.5803164661682239,0.9679661393165588,0.5803164246868279
agreement_Con_093-0_6739.wav,noinv_agreement_Con_093-0_6739.wav,Control093,agreement,0.5237023767756777,0.9565642774105072,0.5237023560982268
agreement_Con_096-2_510.wav,noinv_agreement_Con_096-2_510.wav,Control096,agreement,0.593596396976939,0.973982959985733,0.5935963645689492
agreement_Con_105-0_2779.wav,noinv_agreement_Con_105-0_2779.wav,Control105,agreement,0.4505523617166916,0.9672505855560303,0.45055235832874757
agreement_Con_105-1_12019.wav,noinv_agreement_Con_105-1_12019.wav,Control105,agreement,0.592591376415281,0.9620448350906372,0.5925913075753952
agreement_Con_105-2_3372.wav,noinv_agreement_Con_105-2_3372.wav,Control105,agreement,0.5585396254117675,0.9661459028720856,0.5585395993022891
agreement_Con_109-1_4336.wav,noinv_agreement_Con_109-1_4336.wav,Control109,agreement,0.5325638430788998,0.9582462012767792,0.5325638187720039
agreement_Con_109-3_4932.wav,noinv_agreement_Con_109-3_4932.wav,Control109,agreement,0.5366349017483187,0.9589995741844177,0.5366348653163248
agreement_Con_113-0_7053.wav,noinv_agreement_Con_113-0_7053.wav,Control113,agreement,0.5478937515922176,0.9637169241905212,0.5478937329889234
agreement_Con_113-2_6076.wav,noinv_agreement_Con_113-2_6076.wav,Control113,agreement,0.5739046686022649,0.9535027742385864,0.5739046213194979
agreement_Con_113-3_8288.wav,noinv_agreement_Con_113-3_8288.wav,Control113,agreement,0.6421153035501496,0.9635541141033173,0.6421152400547396
agreement_Con_114-1_5893.wav,noinv_agreement_Con_114-1_5893.wav,Control114,agreement,0.5254018206755964,0.9665268063545227,0.5254018050100391
