item_id,line,col,kind,text,value,value2,decimals,decimals2,unit,range_labels,in_red,in_comment,section,table,table_key,table_row,table_col,table_group,clause,context,prev_context,table_caption,para_before
L25_839,25,839,range,0.75 to 0.92,0.75,0.92,2,2,,,no,yes,Abstract,,,,,,"Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92,","Probes detect disorders from audio representations with AUC ranging from 0.75 to 0.92, whereas the LLM's AUC is much lower due to a representation utility gap.",\beginabstract,,
L26_549,26,549,range,0.75 to 0.92,0.75,0.92,2,2,,,no,no,Abstract,,,,,,"Probes detect the disorders with AUC from 0.75 to 0.92,","Probes detect the disorders with AUC from 0.75 to 0.92, while the zero-shot answers sit well below on Parkinson's and Alzheimer's, suggesting a representation utility gap.","We train linear probes on its hidden states and query the model under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.",,
L26_721,26,721,word,four,4.0,,0,,word,,no,no,Abstract,,,,,,four of six models fall below chance.,"Where the words contradict the diagnosis, four of six models fall below chance.","Probes detect the disorders with AUC from 0.75 to 0.92, while the zero-shot answers sit well below on Parkinson's and Alzheimer's, suggesting a representation utility gap.",,
L77_312,77,312,range,0.43 to 0.62,0.43,0.62,2,2,,,no,no,Implementation Details,,,,,,"reaches 0.43 to 0.62 on the Parkinson's sets,","A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
L77_350,77,350,point,0.68,0.68,,2,,,,no,no,Implementation Details,,,,,,0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
L77_369,77,369,range,0.84 to 0.93,0.84,0.93,2,2,,,no,no,Implementation Details,,,,,,0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
L79_282,79,282,integer,1100,1100.0,,0,,,,no,no,Implementation Details,,,,,,"1100 clips) ,","We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry little of the diagnosis and most of the signal has to come from the voice.",,
L79_328,79,328,integer,1270,1270.0,,0,,,,no,no,Implementation Details,,,,,,"1270 clips) and MDVR-KCL (English,","We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry little of the diagnosis and most of the signal has to come from the voice.",,
L79_379,79,379,integer,37,37.0,,0,,,,no,no,Implementation Details,,,,,,37 speakers) .,"We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry little of the diagnosis and most of the signal has to come from the voice.",,
L81_219,81,219,integer,275,275.0,,0,,,,no,no,Implementation Details,,,,,,"with 275 participants,","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.",,
L81_410,81,410,integer,15,15.0,,0,,,,no,no,Implementation Details,,,,,,capped at 15 minutes for the 89 longest.,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.",,
L81_429,81,429,integer,89,89.0,,0,,,,no,no,Implementation Details,,,,,,capped at 15 minutes for the 89 longest.,"The model hears the participant's whole interview, capped at 15 minutes for the 89 longest.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis.",,
L83_189,83,189,integer,468,468.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 227 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_207,83,207,integer,227,227.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 227 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_357,83,357,integer,237,237.0,,0,,,,no,no,Implementation Details,,,,,,"the ADReSSo recordings from 237 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_491,83,491,integer,108,108.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_508,83,508,integer,48,48.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_751,83,751,integer,30,30.0,,0,,s,,no,no,Implementation Details,,,,,,"Models hear the first 30 s,","Models hear the first 30 s, the length Qwen2-Audio accepts, so the conflict test in Table \reftab:conflict runs on the same clips for all six models.","Each Pitt segment starts at the participant's first timed utterance, and the ADReSSo and ADReSS-2020 windows start at the beginning of the recording, so interviewer prompts inside the window are kept.",,
L85_123,85,123,point,0.995,0.995,,3,,,,no,yes,Implementation Details,,,,,,was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).,"%An eighth corpus, an Italian Parkinson's dataset, was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).",,,
L87_110,87,110,integer,1,1.0,,0,,,,no,no,Implementation Details,,,,,,"Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1,","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L87_141,87,141,integer,2000,2000.0,,0,,,,no,no,Implementation Details,,,,,,"balanced class weights and 2000 iterations,","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L87_249,87,249,integer,5,5.0,,0,,,,no,no,Implementation Details,,,,,,"5 folds),","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L87_516,87,516,point,+0.03,0.03,,2,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L87_541,87,541,integer,18,18.0,,0,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L87_564,87,564,point,+0.14,0.14,,2,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L88_81,88,81,integer,32,32.0,,0,,,,no,no,Implementation Details,,,,,,"end-to-end on 32 hidden states in its audio encoder and 29 in its language model,","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment.",,
L88_123,88,123,integer,29,29.0,,0,,,,no,no,Implementation Details,,,,,,"end-to-end on 32 hidden states in its audio encoder and 29 in its language model,","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment.",,
