line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
25,26,sentence,edited,0.805,,"Audio LLMs can answer clinical questions about a recording, but their output depends on both paralinguistic and linguistic cues, so it is unclear how much of it is grounded in the voice rather than the words.","Their output depends on both paralinguistic and linguistic cues, and it is unclear how much of it is grounded in the voice rather than the words."
26,26,sentence,edited,0.854,,We compare what an Audio LLM's audio representations hold against the answers it generates.,We compare the information present in an Audio LLM's audio representations against the answers it generates.
26,26,sentence,edited,0.961,,"We train linear probes on its hidden states and query the model under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.","We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions."
26,26,sentence,edited,0.893,,"Probes detect the disorders with AUC from 0.75 to 0.92, while the zero-shot answers sit well below on Parkinson's and Alzheimer's, suggesting a representation utility gap.","Probes detect the disorders from the representations with AUC from 0.75 to 0.92, while the zero-shot answer sits well below on Parkinson's and Alzheimer's, a representation utility gap."
26,26,sentence,edited,0.963,,Retraining only the audio projector narrows the gap on Parkinson's and Alzheimer's.,Retraining only the projector narrows the gap on Parkinson's and Alzheimer's.
26,26,sentence,added,0.440,,Evaluations that score answers only where words and diagnosis agree cannot tell a model that listens from one that reads.,"Where the words contradict the diagnosis, four of six models fall below chance."
36,40,sentence,edited,0.870,,\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each layer of Qwen2.5-Omni with one dataset per condition.,"\beginfigure[!t] \includegraphics[width=\columnwidth]fig1_gap.pdf \caption Linear probe AUC at each stage of Qwen2.5-Omni, speaker-disjoint folds, one dataset per condition."
40,42,sentence,added,0.380,,Each point is that layer's out-of-fold AUC. \labelfig:gap \endfigure,The major contributions of this work are as follows.
44,44,sentence,added,0.510,,"Audio LLMs in particular can use the words as well as the voice, because they transcribe the speech internally even when the prompt contains only the audio and no transcript.","Audio LLMs in particular are able to leverage both auditory and linguistic information from speech as they are very well capable of transcribing speech, even when none is given as prompt."
46,46,sentence,added,0.538,,Bhalla et al. benchmarked pretrained audio encoders on clinical conditions and found that no single encoder generalizes across them.,"Bhalla et al. have developed a large benchmark and evaluated a set of large pretrained audio encoders for the diagnosis of clinical conditions, including neuro-degenerative disorders that disrupt speech production."
46,46,sentence,added,0.439,,"Dong et al. built a multilingual Alzheimer's disease (AD) benchmark and found that fusing speech and language does not beat the better single modality, and that which modality dominates depends on the domain.",Dong et al. created a large multi-lingual benchmark for Alzheimer's disease (AD) detection and similarly evaluated the performance of a deep speech encoder for their diagnosis through multimodal fusion of speech and language.
47,48,sentence,added,0.583,,"In this paper, we compare what an Audio LLM's representations hold against what it answers, on the same recordings with the same question, under three conditions in which the spoken words carry different shares of the diagnosis: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions.","We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions."
51,52,sentence,edited,0.771,,"\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, evaluate six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized, and show that the gap shrinks as the words carry more of the diagnosis and reverses on depression.","\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, and test six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized."
58,59,sentence,edited,0.962,,We aim to find whether an Audio LLM's answer to speech-based clinical diagnosis is grounded in the auditory evidence its representations hold.,We aim to establish whether an Audio LLM's answer to speech-based clinical diagnosis is grounded in the auditory evidence its representations hold.
59,59,sentence,edited,0.969,,"We first read the diagnostic information from the frozen model's hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model.","To this end, we first read the diagnostic information from the frozen model's hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model."
