status,line,item_id,paper_value,reason,kind_2325Z,checked_value,checked_file,context
UNMATCHED,26,L26_773,five,word number without a checkable pattern,result,5 of 6 PD/AD sets with FT minus zero-shot interval above zero,<local data dir>/release/edaic_rerun/part15/C_intervals.csv,Retraining only the audio projector narrows the gap on five of the six Parkinson's and Alzheimer's sets.
UNMATCHED,53,L53_177,five,word number without a checkable pattern,result,5 (the same five sets; E-DAIC and MDVR-KCL do not move),<local data dir>/release/edaic_rerun/part15/C_intervals.csv,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance."
UNMATCHED,74,L74_739,47,count 47 not found as n or n_spk in index rows for pitt,count,47 speaker labels in both arms,<local data dir>/DementiaBank/pitt_conflict_manifest.csv,"On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one."
UNMATCHED,81,L81_400,10,"count 10 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30",design,PHQ-8 threshold 10 (constant),,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis."
UNMATCHED,81,L81_408,20,"count 20 not found as n or n_spk in index rows for edaic_full,edaic,edaic_mid300,edaic_mid30",count,20 participants with label 0 and PHQ-8 >= 10,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis."
UNMATCHED,81,L81_551,15,"method/design constant, not a result; no file value indexed",design,900 s cap (constant),,"The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole."
UNMATCHED,81,L81_570,89,"method/design constant, not a result; no file value indexed",count,89 windows capped at 900 s,part23/A/A2_edaic_whole_zeroshot_perclip.csv (capped),"The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole."
UNMATCHED,83,L83_821,30,"method/design constant, not a result; no file value indexed",design,30 s window (constant),,"Models hear the first 30 s, because Qwen2-Audio cannot take more, so the conflict test of Section \refsec:setup runs on the same clips for all six models."
UNMATCHED,87,L87_110,1,"method/design constant, not a result; no file value indexed",design,C=1 (constant),,"Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold."
UNMATCHED,87,L87_141,2000,"method/design constant, not a result; no file value indexed",design,2000 iterations (constant),,"Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold."
