file	kind	columns_dropped	rows
scores/leftovers_23sep/m7m11/lo-m7m11-1/adress2020_pod4b_enc_rep5_oof.csv	csv	label	156
scores/leftovers_23sep/m7m11_verify/lo-vm7m11-1/vrefit_adress2020_pod4b_oof.csv	csv	label	156
scores/leftovers_23sep/p16twins/M7_pitt_gap_twin_perclip.csv	csv	label	468
scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_dir_agreement_perclip.npz	npz	label	322
scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_dir_all_perclip.npz	npz	label	468
scores/leftovers_23sep/p16twins/lo-p16twins-1/twin_dir_conflict_perclip.npz	npz	label	146
scores/leftovers_23sep/p16twins/lo-p16twins-2/twin_pitt_enc_best_oof.npz	npz	label	468
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_anstop4_default_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_anstop4_skx_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_Cooperlake_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_Haswell_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_SapphireRapids_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_SkylakeX_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_Zen_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_enc_default_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_llmtop4_default_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pcgita_llmtop4_skx_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-3/twin_pitt_llm_best_oof.npz	npz	label	468
scores/leftovers_23sep/p16twins/lo-p16twins-4/twin_pitt_ans_best_oof.npz	npz	label	468
scores/leftovers_23sep/p16twins/lo-p16twins-5/twin_pcgita_enc_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-6/twin_pcgita_llm_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins/lo-p16twins-7/twin_pcgita_ans_best_oof.npz	npz	label	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_ans_Haswell_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_ans_SkylakeX_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_ans_default_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_enc_Haswell_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_enc_SkylakeX_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_enc_default_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_llm_Haswell_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_llm_SkylakeX_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pcgita_llm_default_best_oof.npz	npz	y	1100
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_ans_Haswell_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_ans_SkylakeX_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_ans_default_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_enc_Haswell_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_enc_SkylakeX_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_enc_default_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_llm_Haswell_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_llm_SkylakeX_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-1/v_pitt_llm_default_best_oof.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-4/v_dir_agreement_perclip.npz	npz	y	322
scores/leftovers_23sep/p16twins_verify/lo-vp16-4/v_dir_all_perclip.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-4/v_dir_conflict_perclip.npz	npz	y	146
scores/leftovers_23sep/p16twins_verify/lo-vp16-5/v_dir_agreement_perclip.npz	npz	y	322
scores/leftovers_23sep/p16twins_verify/lo-vp16-5/v_dir_all_perclip.npz	npz	y	468
scores/leftovers_23sep/p16twins_verify/lo-vp16-5/v_dir_conflict_perclip.npz	npz	y	146
scores/leftovers_23sep/pod3b/lo-pod3b-1/pod3b_primary_bf16exact_perclip.csv	csv	label	936
scores/leftovers_23sep/pod3b/lo-pod3b-1/pod3b_primary_bf16exact_vectors.npz	npz	W_yes,W_no	5
