seed,auc_probe,cosine,auc_wo_trainz,auc_wo_foldz
0,0.8004455637349865,0.006965379417116634,0.8011817125145293,0.7966485858194498
1,0.8102867105772956,0.007117380032292571,0.8128826036419992,0.7983727237504842
2,0.7915342890352577,0.0040912917094302614,0.7963386284385896,0.7986826811313444
3,0.8197597830298333,0.006608772545799873,0.8220069740410695,0.8271212708252615
4,0.7972685005811702,0.005601464034736173,0.801607903913212,0.7788066640836884
5,0.7848895776830686,0.005893614005996037,0.7874079814025571,0.7943626501356064
6,0.8210577295621853,0.005877482383179327,0.8204571871367687,0.8233630375823324
7,0.8113909337466099,0.005374889348592697,0.8160790391321193,0.8167183262301434
8,0.809938008523828,0.0066204245350369745,0.8171251452925221,0.7993800852382796
9,0.7954475009686168,0.007084765982735933,0.7974622239442076,0.8003487020534676
10,0.7909337466098412,0.004111554405055623,0.792309182487408,0.7922898101511042
11,0.8017047655947307,0.0036507585079631234,0.8147423479271599,0.793180937621077
12,0.8230337078651684,0.007251126986715634,0.8239248353351413,0.8182874854707478
13,0.792619139868268,0.006172229528471385,0.7990507555211157,0.7930259589306469
14,0.791747384734599,0.0077219206363318416,0.7904688105385509,0.7889577683068577
15,0.7899457574583495,0.0056969082945687085,0.793839597055405,0.7831848120883378
16,0.8076327005036807,0.007955146093207601,0.8129213483146067,0.7901007361487795
17,0.82340178225494,0.005521062655441061,0.8237117396358001,0.8271212708252615
18,0.815865943432778,0.005708536505632266,0.8162921348314607,0.8141611778380473
19,0.7886671832623013,0.006078390715771544,0.79984502130957,0.788628438589694
20,0.813308795040682,0.006930450297005904,0.8160015497869042,0.8216970166602092
21,0.8036807438977139,0.005927052381253652,0.8036032545524991,0.7985664471135219
22,0.7988182874854708,0.004416093225207095,0.8081363812475784,0.7913793103448277
23,0.8050755521115847,0.007056829359715895,0.8132506780317704,0.8149360712901976
24,0.8238279736536226,0.006273432834656549,0.8219876017047656,0.825087175513367
25,0.7995931809376211,0.007257609284233435,0.8020340953118946,0.8014722975590858
26,0.8259783029833397,0.004266680535995661,0.8252034095311894,0.8216970166602091
27,0.8174351026733824,0.007927880566988486,0.8218907400232469,0.8192754746222394
28,0.793103448275862,0.0052810556839694885,0.7933359163115072,0.7931615652847733
29,0.7989926385122046,0.002563959534756968,0.8020922123208059,0.7736342502905851
30,0.8110809763657496,0.008323373552620125,0.8141805501743512,0.8077489345215034
31,0.8035063928709805,0.005514063596552777,0.8087562960092989,0.7955443626501355
32,0.8105191786129408,0.007276112537992888,0.8117590081363812,0.8079426578845409
33,0.8099573808601317,0.00504603199648007,0.8138512204571872,0.809531189461449
34,0.7990701278574197,0.007481589803376351,0.8038938395970554,0.7969197985277024
35,0.7924060441689267,0.005348832451536759,0.7973072452537777,0.7966873304920574
36,0.8076327005036807,0.007856083989567128,0.80850445563735,0.805443626501356
37,0.8082138705927936,0.006462292695994861,0.8087562960092987,0.8087950406819061
38,0.8117202634637737,0.006617842347031298,0.8152072839984501,0.8107516466485858
39,0.797907787679194,0.008988301502037999,0.8052305308020145,0.7842696629213484
40,0.8009104998062766,0.006973172975297943,0.7986826811313444,0.7953700116234017
41,0.8083688492832235,0.0056553008170821045,0.8129019759783032,0.8053080201472298
42,0.8023440526927548,0.005434764091217384,0.8037388609066254,0.7960867880666409
43,0.7877179387834172,0.00521380470499587,0.7906819062378923,0.7892289810151104
44,0.8188880278961641,0.005926662379528366,0.8168539325842696,0.8190430065865943
45,0.8225493994575745,0.0059727769667402494,0.8201472297559085,0.8191979852770245
46,0.7829329717163889,0.007947950129676288,0.7844052692754746,0.782448663308795
47,0.7966679581557536,0.006607245876480207,0.7975009686168152,0.7956218519953506
48,0.7976946919798528,0.002293634555915773,0.808833785354514,0.7823518016272764
49,0.8030608291359937,0.006228266542161246,0.8024602867105773,0.8001549786904301
50,0.8174544750096862,0.0033644605170734267,0.8186555598605192,0.8151491669895389
51,0.8083301046106159,0.005343220098398254,0.8107322743122821,0.801762882603642
52,0.8099961255327393,0.004806835546907385,0.815071677644324,0.7867493219682293
53,0.8139093374660984,0.006147920658629517,0.8156915924060442,0.8089306470360327
54,0.807923285548237,0.005317492167189948,0.8127663696241767,0.7932777993025959
55,0.7950794265788454,0.004763354080452267,0.7990120108485084,0.7905850445563735
56,0.7975009686168152,0.004531176725097534,0.7984308407593955,0.7917861294072065
57,0.8141418055017435,0.007574485494638464,0.8135218907400233,0.8112359550561798
58,0.8000581170089113,0.005173164452957605,0.802963967454475,0.7975203409531189
